Subject,Predicate,Object
uvl language,stand,universal variability language
uvl language,be,textual language
uvl language,represent,feature model
uvl language,be,human readable
uvl language,serve,pivot language
uvl language,be,community drive
uvl language,have,boolean level
uvl language,have,arithmetic level
uvl language,have,type level
uvl language,support,language extension
uvl language,integrate,featureide
uvl language,integrate,flamapy
uvl language,parser implementation,python
uvl language,parser implementation,java
uvl language,parser implementation,javascript
uvl language,use,antlr
uvl language,use,tree like structure
uvl language,represent,hierarchical structure
uvl language,core include,mandatory relationship
uvl language,core include,optional relationship
uvl language,core include,relationship
uvl language,core include,alternative relationship
uvl language,core include,cross tree constraint
uvl language,boolean level include,group cardinality
uvl language,arithmetic level include,arithmetic core
uvl language,arithmetic level include,attribute aggregate
uvl language,arithmetic level include,feature cardinality
uvl language,type level include,type core
uvl language,type level include,type numeric constraint
uvl language,type level include,type string constraint
uvl language,be,common textual exchange format
uvl language,be,open source
uvl language,use,nest describe hierarchy
uvl language,use,complete keyword
uvl language,store,cross tree constraint separately
uvl language,support,decomposition
uvl language,support,composition
uvl language,support,conversion strategy level
uvl language,maintain,consortium institution
uvl language,be,concise
uvl language,use,namespace
uvl language,use,import
uvl language,allow,feature attribute
uvl language,allow,feature cardinality
uvl language,allow,group cardinality
uvl language,support,propositional logic constraint
uvl language,support,numeric constraint
uvl language,support,string constraint
uvl language,be,textual variability modeling language
uvl language,be,extensible
uvl language,include,boolean level
uvl language,include,arithmetic level
uvl language,include,type level
uvl language,have,tree like structure
uvl language,use,nest hierarchy
uvl language,use,indentation block
uvl language,contain,feature
uvl language,contain,relationship
uvl language,contain,cross tree constraint
uvl language,support,namespace
uvl language,support,import
uvl language,include,mandatory relationship
uvl language,include,optional relationship
uvl language,include,relationship
uvl language,include,alternative relationship
uvl language,feature,boolean core
uvl language,feature,group cardinality minor level
uvl language,feature,arithmetic core
uvl language,feature,attribute aggregate minor level
uvl language,feature,feature cardinality minor level
uvl language,feature,type core
uvl language,feature,type numeric constraint minor level
uvl language,feature,type string constraint minor level
uvl language,support,numeric constraints feature attribute
uvl language,support,string feature
uvl language,support,integer feature
uvl language,support,float feature
uvl language,originate,modevar initiative
uvl language,development start,2018
uvl language,integrate,pure::variant
uvl language,integrate,travart
uvl language,support,uvls
uvl language,have,antlr base parser
uvl language,use,propositional logic constraint
uvl language,support,model decomposition
uvl language,be,open source format
uvl language,use,line break end statement
uvl language,allow,abstract feature
uvl language,include,cross tree constraint
uvl language,support,feature cardinality
uvl language,support,group cardinality
uvl language,have,import mechanism
uvl language,have,namespace
uvl language,use,antlr parser generator
uvl language,parser,java
uvl language,parser,python
uvl language,parser,javascript
uvl language,integrate,uvls
uvl language,support,propositional logic
uvl language,support,model composition
uvl language,aim,tool interoperability
