Subject,Predicate,Object
uvl language,stand,universal variability language
uvl language,be,human readable
uvl language,serve,pivot language
uvl language,development start,2018
uvl language,be,community drive
uvl language,structure,boolean level
uvl language,structure,arithmetic level
uvl language,structure,type level
uvl language,allow,language extension
uvl language,maintain,consortium institution
uvl language,open source support tool,
uvl language,parser implementation,python
uvl language,parser implementation,java
uvl language,use,antlr parser implementation
uvl language,be use for,knowledge sharing
uvl language,be use for,educational instruction
uvl language,be use for,tool integration
uvl language,contain,feature tree
uvl language,contain,cross tree constraint
uvl language,represent hierarchy,indentation
uvl language,support,mandatory relationship
uvl language,support,alternative relationship
uvl language,support,group cardinality
uvl language,support,feature cardinality
uvl language,support,aggregate function
uvl language,support,string constraint
uvl language,support,type feature
uvl language,support,feature attribute
uvl language,provide,import mechanism
uvl language,enable,decomposition large model
uvl language,have,formal semantic
uvl language,integrate,featureide
uvl language,integrate,flamapy
uvl language,integrate,uvls
uvl language,integrate,pure::variant
uvl language,pivot model,travart
uvl language,be,textual language
uvl language,represent,feature model
uvl language,have,formal syntax
uvl language,integrate,travart
uvl language,integrate,v4rdiac
uvl language,design goal,simplicity
uvl language,design goal,expressiveness
uvl language,design goal,exchangeability
uvl language,design goal,information hiding
uvl language,use,conversion strategy
uvl language,dataset repository,uvlhub
uvl language,consist,feature tree
uvl language,integrate,variability.dev
uvl language,be,open source format
uvl language,integrate,nemo
language extension,introduce,additional construct
language extension,enhance,expressiveness
language extension,accommodate,diverse modelling need
language extension,implement,language level
minor level,be,optional extension major level
group cardinality,be,extension boolean level
feature cardinality,be,optional extension arithmetic level
aggregate function,be,optional extension arithmetic level
language extension,enable,expressiveness need
include mechanism,allow user specify,support language extension
language extension,preserve,simple core language
language extension,allow user tailor model,use case
language extension,allow user tailor model,tool limitation
language extension,allow,representation different feature
language extension,allow,vary type relationship
language extension,include,major level
language extension,include,minor level
include mechanism,ensure,tool compatibility
include mechanism,provide information,language level content
language extension,allow representation,vary type relationship
string constraint,be,optional extension type level
language extension,call,language level
language extension,extend,uvl core language
language extension,consist,major level
language extension,provide,construct cardinality
language extension,provide,construct numeric constraint
language extension,provide,construct type feature
language extension,provide,construct string constraint
language extension,specify,include keyword
language extension,ensure,tool compatibility
language extension,provide information,language level content
language extension,use,conversion strategy level
language extension,translate,high level construct low level
language extension,follow,hierarchical order
language extension,encapsulate,language construct
conversion strategy,translate,high level construct low level
feature tree,be,hierarchically arrange set feature
feature tree,know,feature diagram
feature tree,be,main uvl model
feature tree,consist,feature
feature tree,consist,group
feature tree,require,exactly root feature
feature tree,represent hierarchy,indentation
feature tree,use keyword specify,parent child relationship
feature tree,allow feature,arbitrary number group
feature tree,denote relationship feature group,indentation
feature tree,feature,unique identifier
feature tree,feature,feature cardinality
feature tree,feature,attribute
feature tree,root feature include,configuration
feature tree,exist,cross tree constraint
feature tree,be,main component feature model
feature tree,decompose,subpart
feature tree,decompose,submodel
feature tree,import,subtree
feature tree,allow composition,import mechanism
feature tree,contain,thousand feature
feature tree,support,mandatory group
feature tree,support,optional group
feature tree,support,alternative group
feature tree,support,group cardinality group
cross tree constraint,be,main uvl model
cross tree constraint,represent,feature relationship
