Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL language,is acronym for,Universal Variability Language
1,UVL language,0,UVL language,is a,domain-specific language
1,UVL language,0,UVL language,is used for,modeling feature models
1,UVL language,0,UVL language,is used for,software product line variability modeling
1,UVL language,0,UVL language,supports,feature hierarchies
1,UVL language,0,UVL language,supports,cross-tree constraints
1,UVL language,0,UVL language,supports,group features
1,UVL language,0,UVL language,supports,mandatory features
1,UVL language,0,UVL language,supports,optional features
1,UVL language,0,UVL language,supports,alternative groups
1,UVL language,0,UVL language,supports,or groups
1,UVL language,0,UVL language,has,textual syntax
1,UVL language,0,UVL language,uses,indentation-based notation
1,UVL language,0,UVL language,is designed to be,human-readable
1,UVL language,0,UVL language,is designed to be,tool-independent
1,UVL language,0,UVL language,aims to be,a standard exchange format for feature models
1,UVL language,0,UVL language,supports,feature attributes
1,UVL language,0,UVL language,supports,feature cardinalities
1,UVL language,0,UVL language,supports,group cardinalities
1,UVL language,0,UVL language,supports,type constraints
1,UVL language,0,UVL language,supports,boolean constraints
1,UVL language,0,UVL language,supports,arithmetic constraints
1,UVL language,0,UVL language,supports,string attributes
1,UVL language,0,UVL language,supports,integer attributes
1,UVL language,0,UVL language,supports,real attributes
1,UVL language,0,UVL language,supports,boolean attributes
1,UVL language,0,UVL language,has,namespace concept
1,UVL language,0,UVL language,supports,imports of submodels
1,UVL language,0,UVL language,was developed by,MODEVAR community
1,UVL language,0,UVL language,is related to,MODEVAR initiative
1,UVL language,0,UVL language,has,formal grammar specification
1,UVL language,0,UVL language,grammar is defined using,ANTLR
1,UVL language,0,UVL language,is supported by,FeatureIDE
1,UVL language,0,UVL language,is supported by,UVLS language server
1,UVL language,0,UVL language,has,multiple language levels
1,UVL language,0,UVL language,defines,Boolean level
1,UVL language,0,UVL language,defines,Arithmetic level
1,UVL language,0,UVL language,defines,Type level
1,UVL language,0,UVL language,replaces or complements,XML-based feature model formats
1,UVL language,0,UVL language,can be parsed by,UVL parser
1,UVL language,0,UVL language,has file extension,.uvl
1,UVL language,0,UVL language,supports,include declarations
1,UVL language,0,UVL language,has section,features section
1,UVL language,0,UVL language,has section,constraints section
1,UVL language,0,UVL language,was presented at,SPLC conference
1,UVL language,0,UVL language,enables,interoperability between feature modeling tools
1,UVL language,0,UVL language,supports,nested feature trees
1,UVL language,0,UVL language,supports,abstract features
1,UVL language,0,UVL language,is extensible through,language levels
1,UVL language,0,UVL language,has parsers available in,Java
1,UVL language,0,UVL language,has parsers available in,Python
1,UVL language,0,UVL language,has parsers available in,Rust
1,UVL language,0,UVL language,is hosted on,GitHub
1,UVL language,0,UVL language,supports,SMT-based reasoning
1,UVL language,0,UVL language,supports,SAT-based reasoning
1,UVL language,0,UVL language,can represent,configuration spaces
1,UVL language,0,UVL language,is related to,feature-oriented software development
1,UVL language,1,UVL language,is acronym for,Universal Variability Language
1,UVL language,1,UVL language,is a,domain-specific language
1,UVL language,1,UVL language,is used for,modeling feature models
1,UVL language,1,UVL language,is used for,software product line variability modeling
1,UVL language,1,UVL language,supports,feature hierarchies
1,UVL language,1,UVL language,supports,cross-tree constraints
1,UVL language,1,UVL language,supports,group features
1,UVL language,1,UVL language,supports,mandatory features
1,UVL language,1,UVL language,supports,optional features
1,UVL language,1,UVL language,supports,alternative groups
1,UVL language,1,UVL language,supports,or groups
1,UVL language,1,UVL language,has,textual syntax
1,UVL language,1,UVL language,uses,indentation-based notation
1,UVL language,1,UVL language,is designed to be,human-readable
1,UVL language,1,UVL language,is designed to be,machine-processable
1,UVL language,1,UVL language,supports,feature attributes
1,UVL language,1,UVL language,supports,feature cardinalities
1,UVL language,1,UVL language,supports,group cardinalities
1,UVL language,1,UVL language,supports,type-level constraints
1,UVL language,1,UVL language,supports,Boolean constraints
1,UVL language,1,UVL language,supports,arithmetic constraints
1,UVL language,1,UVL language,supports,string attributes
1,UVL language,1,UVL language,supports,integer attributes
1,UVL language,1,UVL language,supports,real attributes
1,UVL language,1,UVL language,supports,Boolean attributes
1,UVL language,1,UVL language,was developed as,a community standard
1,UVL language,1,UVL language,aims to replace,proprietary variability modeling formats
1,UVL language,1,UVL language,is supported by,UVLS language server
1,UVL language,1,UVL language,is supported by,FeatureIDE
1,UVL language,1,UVL language,is supported by,UVL parser
1,UVL language,1,UVL language,has,modular structure
1,UVL language,1,UVL language,supports,namespace declarations
1,UVL language,1,UVL language,supports,imports of submodels
1,UVL language,1,UVL language,enables,exchange of feature models between tools
1,UVL language,1,UVL language,serves as,interchange format for variability models
1,UVL language,1,UVL language,was proposed by,the software product line community
1,UVL language,1,UVL language,has,formal grammar specification
1,UVL language,1,UVL language,grammar is defined using,ANTLR
1,UVL language,1,UVL language,supports,nested feature trees
1,UVL language,1,UVL language,supports,abstract features
1,UVL language,1,UVL language,supports,concrete features
1,UVL language,1,UVL language,has file extension,.uvl
1,UVL language,1,UVL language,is related to,SPLOT format
1,UVL language,1,UVL language,is related to,FeatureIDE XML format
1,UVL language,1,UVL language,is related to,DIMACS format
1,UVL language,1,UVL language,supports,constraint expressions using propositional logic
1,UVL language,1,UVL language,supports,implication constraints
1,UVL language,1,UVL language,supports,equivalence constraints
1,UVL language,1,UVL language,supports,negation in constraints
1,UVL language,1,UVL language,has,levels of language complexity
1,UVL language,1,UVL language,defines,Boolean level
1,UVL language,1,UVL language,defines,arithmetic level
1,UVL language,1,UVL language,defines,type level
1,UVL language,1,UVL language,is extensible through,language levels
1,UVL language,1,UVL language,was presented at,SPLC conference
1,UVL language,1,UVL language,facilitates,automated analysis of feature models
1,UVL language,1,UVL language,can be translated to,SAT formulas
