Subject,Predicate,Object
arithmetic operation,includes minor level,feature feature cardinality
language extension,are,optional
boolean level,reasoned,sit solver
uvl,aims,tool interoperability
uvl,allows,tool-specific data storage attributes
boolean level,are,major language level
include keyword,declares,language extension
uvl,supports,constraint feature attribute
arithmetic operation,introduce,constraint feature attribute
type level,occupies,language hierarchy
type level,includes,type core
language level,group constructs,reasoning engine
arithmetic operation,supports operator,-
type level,supported,v4rdiac
minor level,includes,major level
boolean level,is used by,pure::variant
uvl,use,complete keyword
import submodel,apply constraints,compose model
type level,allows,explicit boolean domain specification
type level,introduce,numeric operation
uvl,use,identifier protect quotation mark ambiguity
predicate,specify dependencies based,string value
numeric-constraints,are,type level
boolean level,encapsulate,language construct
type level,are,major language level
feature cardinality,allows,select feature multiple time
uvl,allows,abstract feature
language extension,enable,include keyword
uvl,integrated,featureide
boolean level,is used by,nemo
language extension,allows,tailor model tool limitation
uvl,allows,model decomposition
type level,supports,numeric feature
feature tree,utilizes,keyword specify relationship
boolean level,lowest level,language hierarchy
uvl,type level includes,string-constraints
exclude relationship,denotes,feature incompatibility
uvl,use,context-free grammar specification
uvl,allows,attribute
arithmetic operation,includes,floor
feature tree,utilizes,indentation represent relationship
uvl,represents,component feature model
arithmetic operation,allows,term resolve boolean
arithmetic operation,is used by,tool cp solver
feature tree,utilizes,keywords specify parent-child relationships
feature,main element,feature tree
aggregate function,considers attribute values,select feature
uvl,use,indentation
feature cardinality,uses syntax,minmax
feature tree,major,uvl model
uvl,models available,uvlhub repository
uvl,supports,numeric feature
language extension,accommodate,diverse modeling need
predicate,specify dependencies based,numerical value
type level,includes minor level,string-constraints
arithmetic operation,supports operator,>=
uvl,features,boolean core
require relationship,implies,inclusion statement
uvl,integrated,v4rdiac
language extension,adds,complex construct
uvl,design goals include,information hiding
language extension,known,major language level
propositional operator,combine,boolean constant
type level,introduce,numeric feature
type level,introduce,string constraint
uvl,features,type numeric-constraints minor level
boolean level,excludes,constraint feature attribute
uvl,supports,numeric constraint
cross-tree constraints,consist,inclusion statement
include keyword,allows,minor level wildcard
type string-constraints,allows,floor
boolean level,is used by,variability.dev
uvl,features,attribute aggregate
language extension,extended,core language
require relationship,are,cross-tree constraints separately
arithmetic operation,included,type level
uvl,design goals include,expressiveness
uvl,features,arithmetic core
uvl,development started,2018
uvl,use,antlr
uvl,supports,propositional logic constraint
uvl,contains,alternative relationship
boolean level,groups features,reasoning engine
uvl,supports,conversion strategy level
language level,are,level extension
type level,includes minor level,numeric-constraints
type level,supports,floor
uvl,are,community-driven
arithmetic operation,supports operator,*
arithmetic operation,supported,uvls
feature tree,consist,feature
uvl,serves,pivot language
arithmetic operation,is used by,tool smt solver
arithmetic operation,target,type level
predicate,use operator,!=
group,main element,feature tree
type level,supports,string length operation
feature,can have,feature feature cardinality
group cardinality,are,minor level boolean level
extension mechanism,allows,arbitrary datum storage
uvl,use,tree-like structure
uvl,core includes,optional relationship
feature tree,are,hierarchically arrange set feature
language level,provide,expressiveness
arithmetic operation,requires,process sit encode
type level,use,boolean domain default
uvl,use,line break end statement
language extension,enhance,expressiveness
feature cardinality,converts,arithmetic core
type string-constraints,allows,string comparison
uvl,stands,uvls
uvl,use,nest specify hierarchy
aggregate function,introduce,sum
uvl,maintained,consortium institution
type level,supports,string comparison
function constraint,includes,len
type level,represents,cp problem
uvl,has,import mechanism
arithmetic operation,supports,numeric constant
extension mechanism,adds,sophisticated language property
language extension,introduce,additional construct
function constraint,includes,sum
type level,converts,minor level arithmetic level
boolean level,is used by,ddueruem
uvl,includes,import mechanism
binary expression,supports,/
type level,supported,travart
language extension,extended,uvl core language
term,includes,function
uvl,are,textual variability modeling language
feature tree,requires,exactly root feature
boolean level,includes,group keyword
feature tree,supports,group
uvl,supports,string feature
type level,dropped,string-constraints
uvl,supports,float feature
uvl,supports,composition
cross-tree constraints,supports operator,!
uvl,are,concise
uvl,supports,import
submodel constraint,attached,arbitrary location feature tree
arithmetic operation,includes,/
uvl,maintained,uvlhub repository
feature,possess,unique name identifier
uvl,supported,uvls
cross-tree constraints,restrict,number valid configuration
predicate,use operator,<
language extension,provide,expressive language feature
uvl,parser implementation,java
feature cardinality,are,minor level arithmetic level
cross-tree constraints,combine,boolean constant
cross-tree constraints,impose,limitation feature
arithmetic operation,are,major language level
uvl,contains,cross-tree constraints separately
uvl,integrated,pure::variant
language level,are,uvl extension
conversion strategy,translate,language extension
feature tree,contains,feature feature cardinality
feature tree,contains,keywords specify parent-child relationships
extension mechanism,maintained,simple base language
cross-tree constraints,supports operator,|
arithmetic operation,supports operator,>
type level,supports,feature
uvl,structured,minor level arithmetic level
language extension,cover,sophisticated expression
arithmetic operation,includes minor level,aggregate function
boolean level,extended,type level
aggregate function,includes,sum
type level,encapsulate,reasoning engine
uvl,parser implementation,python
feature attribute,contains,-line constraints
arithmetic core,are part of,minor level arithmetic level
binary expression,supports,*
boolean level,allows attributes,store feature information
uvl,arithmetic level includes,attribute aggregate
arithmetic operation,is used by,travart
uvl,integrated,travart
uvl,boolean level includes,group cardinality
arithmetic operation,encoded,cp instance
cross-tree constraints,evaluate,boolean constant
uvl,arithmetic level includes,arithmetic core
string constraint,dropped,conversion
aggregate function,takes,numeric feature
feature tree,supports,group cardinality
arithmetic operation,supports operator,!=
cross-tree constraints,major,uvl model
feature,has,unique name identifier
uvl,features,group cardinality minor level
boolean level,supports operator,!
uvl,are,human-readable
aggregate function,can take,feature second parameter
boolean level,consist,group keyword
boolean level,parsed,python-based parser
uvl,parser implementation,javascript
aggregate function,are,minor level arithmetic level
group,are part of,minor level boolean level
language extension,grouped,reasoning engine
language level,encapsulate,language construct
type string-constraints,allows,len
type level,represents,smt problem
uvl,are,extensible
arithmetic operation,converts,minor level boolean level
uvl,use,import
uvl,are,open-source
boolean level,includes,boolean core
cross-tree constraints,consist,arbitrary propositional formulae
binary expression,supports,+
predicate,connect,term
arithmetic operation,requires processing,sat encode
cross-tree constraints,supports operator,=>
feature tree,contains,feature unique name
language extension,enhance,uvl expressiveness
boolean level,supports operator,|
feature tree,represents,hierarchical structure variability model
function constraint,includes,ceil operation
uvl,features,feature cardinality minor level
aggregate function,introduce,avg
cross-tree constraints,supports operator,&
uvl,core includes,alternative relationship
arithmetic operation,allows wildcard,arithmetic*
binary expression,supports,-
exclude relationship,are,cross-tree constraints separately
predicate,specify,dependencie base numerical value
arithmetic operation,includes,+
feature tree,contains,attribute
function constraint,includes,avg
boolean level,is used by,fm fact label
arithmetic operation,group constructs,reasoning engine
feature,can have,arbitrary number group
uvl,has,minor level arithmetic level
uvl,are,textual language
arithmetic operation,includes,-
cross-tree constraints,are,component feature model
predicate,use operator,==
type level,supports,string feature
uvl,are,common textual exchange format
language extension,encapsulate,language construct
arithmetic operation,supports,numerical feature attribute
uvl,originated,modevar initiative
uvl,includes minor level,group cardinality
uvl,allows,feature feature cardinality
type level,supported,uvls
arithmetic operation,converts,boolean core
arithmetic operation,supports operator,<
uvl,contains,feature
predicate,specify,dependencie base string value
arithmetic operation,encapsulate,arithmetic expression feature
boolean level,are,uvl core language
mandatory group,are part of,minor level boolean level
uvl,structured,minor level boolean level
boolean level,supports,optional group
cross-tree constraints,supports operator,<=>
boolean core,are,conversion target group cardinality
cross-tree constraints,combine,predicate
boolean level,supports operator,=>
boolean level,consist,boolean core
boolean level,use,sit solver
feature tree,decomposed,subpart
uvl,has,antlr-based parser
aggregate function,converts,arithmetic core
boolean variable,refer,feature
string constraint,are,type level
arithmetic operation,includes,ceil operation
boolean level,supports operator,&
boolean level,is used by,featureide
uvl,integrated,ddueruem
uvl,structured,type level
type level,introduce,string feature
type level,introduce,float feature
uvl,represents,hierarchical structure
aggregate function,includes,avg
uvl,design goals include,simplicity
feature,can have,attribute
arithmetic core,supports,standard arithmetic operation
predicate,use operator,<=
feature tree,known,feature diagram
arithmetic operation,encoded,smt instance
boolean level,encoded,sit instance
term,includes,binary expression
type level,encapsulate,features non-boolean types
language level,extended,major level
cross-tree constraints,use,propositional logic constraint
language level,represent,type feature
uvl,core includes,cross-tree constraints separately
type string-constraints,allows,ceil operation
feature tree,contains,arbitrary number group
boolean level,encoded,cnf
feature tree,represents hierarchy,indentation
propositional operator,combine,predicate
uvl,integrated,uvls
boolean variable,refer,boolean-attribute keys
language extension,enable,tailor language specification
feature tree,utilizes,nest specify hierarchy
arithmetic operation,supports operator,/
arithmetic operation,represents,smt problem
boolean level,supports,propositional cross-tree constraints
arithmetic operation,extended,minor level boolean level
feature tree,represents hierarchy,nest
type level,supports,ceil operation
boolean level,supports operator,<=>
arithmetic core,supports,constraint feature attribute
uvl,supports,namespace
arithmetic operation,includes,*
uvl,arithmetic level includes,feature feature cardinality
term,includes,reference variable
uvl,has,minor level boolean level
arithmetic core,converts,boolean core
uvl,supports,string constraint
boolean level,supports,group
language extension,preserve,core language
term,includes,constant
string operation,includes,len
type level,extended,minor level arithmetic level
arithmetic operation,allows,minor level wildcard
predicate,use operator,>
type level,transforms features,boolean feature attribute
uvl,has,type level
type level,converts,minor level boolean level
feature tree,supports,optional group
boolean level,included,type level
arithmetic operation,supports operator,==
uvl,supports,language extension
language extension,are,major language level
boolean level,limits constraints,propositional logic constraint
boolean core,are,level extension
boolean level,includes minor level,group cardinality
boolean level,parsed,clojure-based parser
arithmetic operation,represents,cp problem
predicate,use operator,>=
type level,allows,configuration non-boolean values
uvl,features,type core
boolean level,is used by,flamapy
feature tree,component,component feature model
group cardinality,allows,select n m feature group
import mechanism,supports,feature tree
valid configuration,satisfy,attach constraint
arithmetic operation,supported,travart
uvl,supports,decomposition
uvl,allows,group cardinality
submodel constraint,apply,compose model
uvl,licensed,gnu less general public license
boolean level,included,minor level arithmetic level
uvl,type level includes,type numeric-constraints minor level
cross-tree constraints,marked,constraints keyword
include keyword,allows,major level
type level,introduce,type feature
boolean level,supports,optional relationship
uvl,stores,cross-tree constraints separately
language level,represent,vary relationship type
cross-tree constraints,represent,domain constraint
import feature,referenced,namespace
uvl,type level includes,type core
uvl,integrated,flamapy
cross-tree constraints,handled,reasoning engine
uvl,use,namespace
uvl,integrated,fm fact label
cross-tree constraints,stored,separately tree structure
uvl,supports,compose model
arithmetic operation,includes,arithmetic core
function constraint,includes,floor
