Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,is,textual variability modeling language
1,UVL language,1,UVL language,is,community-driven language
1,UVL language,1,UVL language,is,human-readable language
1,UVL language,1,UVL language,is,pivot language
1,UVL language,1,UVL language,originatesFrom,MODEVAR initiative
1,UVL language,1,UVL language,wasLaunchedIn,2018
1,UVL language,1,UVL language,contains,feature tree
1,UVL language,1,UVL language,contains,cross-tree constraints
1,UVL language,1,UVL language,contains,import mechanism
1,UVL language,1,UVL language,contains,language level declarations
1,UVL language,1,UVL language,has,Boolean level
1,UVL language,1,UVL language,has,Arithmetic level
1,UVL language,1,UVL language,has,Type level
1,UVL language,1,UVL language,has,features
1,UVL language,1,UVL language,has,attributes
1,UVL language,1,UVL language,has,cardinalities
1,UVL language,1,UVL language,has,namespaces
1,UVL language,1,UVL language,has,mandatory relationship
1,UVL language,1,UVL language,has,optional relationship
1,UVL language,1,UVL language,has,alternative relationship
1,UVL language,1,UVL language,has,or relationship
1,UVL language,1,UVL language,has,feature cardinality
1,UVL language,1,UVL language,has,group cardinality
1,UVL language,1,UVL language,has,aggregate functions
1,UVL language,1,UVL language,has,string constraints
1,UVL language,1,UVL language,denotedBy,mandatory keyword
1,UVL language,1,UVL language,denotedBy,optional keyword
1,UVL language,1,UVL language,denotedBy,alternative keyword
1,UVL language,1,UVL language,denotedBy,or keyword
1,UVL language,1,UVL language,denotedBy,include keyword
1,UVL language,1,UVL language,denotedBy,imports keyword
1,UVL language,1,UVL language,denotedBy,namespace keyword
1,UVL language,1,UVL language,denotedBy,constraints keyword
1,UVL language,1,UVL language,denotedBy,cardinality keyword
1,UVL language,1,UVL language,denotedBy,as keyword
1,UVL language,1,UVL language,denotedBy,exclamation mark for mandatory
1,UVL language,1,UVL language,denotedBy,! for NOT
1,UVL language,1,UVL language,denotedBy,& for AND
1,UVL language,1,UVL language,denotedBy,| for OR
1,UVL language,1,UVL language,denotedBy,=> for implication
1,UVL language,1,UVL language,denotedBy,<=> for equivalence
1,UVL language,1,UVL language,denotedBy,== for equality
1,UVL language,1,UVL language,denotedBy,[n..m] for cardinalities
1,UVL language,1,UVL language,denotedBy,sum() function
1,UVL language,1,UVL language,denotedBy,avg() function
1,UVL language,1,UVL language,denotedBy,len() function
1,UVL language,1,UVL language,denotedBy,curly brackets for attributes
1,UVL language,1,UVL language,denotedBy,indentation for hierarchy
1,UVL language,1,UVL language,supports,knowledge sharing
1,UVL language,1,UVL language,supports,tool integration
1,UVL language,1,UVL language,supports,educational instruction
1,UVL language,1,UVL language,supports,decomposing models
1,UVL language,1,UVL language,supports,model transformation
1,UVL language,1,UVL language,supports,variability analysis
1,UVL language,1,UVL language,supports,product configuration
1,UVL language,1,UVL language,supports,extension mechanisms
1,UVL language,1,UVL language,supports,conversion strategies
1,UVL language,1,UVL language,uses,ANTLR parser generator
1,UVL language,1,UVL language,supports,Java implementation
1,UVL language,1,UVL language,supports,Python implementation
1,UVL language,1,UVL language,supports,JavaScript implementation
1,UVL language,1,UVL language,isDevelopedBy,Universidad de Sevilla
1,UVL language,1,UVL language,isDevelopedBy,University of Ulm
1,UVL language,1,UVL language,isDevelopedBy,Karlsruhe Institute of Technology
1,UVL language,1,UVL language,isDevelopedBy,Johannes Kepler University Linz
1,UVL language,1,UVL language,isDevelopedBy,TU Braunschweig
1,UVL language,1,UVL language,isMaintainedBy,consortium of institutions
1,UVL language,1,Boolean level,is,core language level
1,UVL language,1,Boolean level,supports,SAT solvers
1,UVL language,1,Arithmetic level,contains,numeric constraints
1,UVL language,1,Arithmetic level,supports,SMT solvers
1,UVL language,1,Type level,contains,typed features
1,UVL language,1,Type level,contains,string constraints
1,UVL language,2,UVL language,is,textual variability modeling language
1,UVL language,2,UVL language,is,community-driven language
1,UVL language,2,UVL language,originatedFrom,MODEVAR initiative
1,UVL language,2,UVL language,has,human-readable design
1,UVL language,2,UVL language,is,pivot language for diverse software engineering tools
1,UVL language,2,UVL language,contains,feature tree
1,UVL language,2,UVL language,contains,cross-tree constraints
1,UVL language,2,UVL language,contains,language levels
1,UVL language,2,UVL language,contains,import mechanism
1,UVL language,2,UVL language,contains,feature attributes
1,UVL language,2,UVL language,defines,Boolean level
1,UVL language,2,UVL language,defines,Arithmetic level
1,UVL language,2,UVL language,defines,Type level
1,UVL language,2,Boolean level,is,core language level
1,UVL language,2,Arithmetic level,supports,numeric constraints
1,UVL language,2,Arithmetic level,contains,feature cardinalities
1,UVL language,2,Arithmetic level,contains,aggregate functions
1,UVL language,2,Type level,supports,string features
1,UVL language,2,Type level,supports,integer features
1,UVL language,2,Type level,supports,float features
1,UVL language,2,Type level,supports,string constraints
1,UVL language,2,Aggregate functions,defines,sum()
1,UVL language,2,Aggregate functions,defines,avg()
1,UVL language,2,String constraints,defines,len()
1,UVL language,2,UVL language,supports,group cardinalities
1,UVL language,2,Feature tree section,denotedBy,features
1,UVL language,2,Constraints section,denotedBy,constraints
1,UVL language,2,Mandatory relationship,denotedBy,mandatory
1,UVL language,2,Optional relationship,denotedBy,optional
1,UVL language,2,Alternative group,denotedBy,alternative
1,UVL language,2,Or group,denotedBy,or
1,UVL language,2,Language level declaration,denotedBy,include
1,UVL language,2,Import declaration,denotedBy,imports
1,UVL language,2,UVL language,has,ANTLR4 grammar
1,UVL language,2,UVL language,has,Java parser
1,UVL language,2,UVL language,has,Python parser
1,UVL language,2,UVL language,has,JavaScript parser
1,UVL language,2,UVL language,has,Rust-based language server protocol
1,UVL language,2,UVL language,supports,FeatureIDE
1,UVL language,2,UVL language,supports,flamapy
1,UVL language,2,UVL language,supports,TraVarT
1,UVL language,2,UVL language,supports,pure::variants
1,UVL language,2,UVL language,defines,namespace
1,UVL language,2,Namespace,denotedBy,namespace
1,UVL language,2,UVL language,has,David Benavides
1,UVL language,2,UVL language,has,Chico Sundermann
1,UVL language,2,UVL language,has,Kevin Feichtinger
1,UVL language,2,UVL language,has,José A. Galindo
1,UVL language,2,UVL language,has,Rick Rabiser
1,UVL language,2,UVL language,has,Thomas Thüm
1,UVL language,2,UVL language,supports,knowledge sharing
1,UVL language,2,UVL language,supports,educational instruction
1,UVL language,2,UVL language,supports,tool integration
1,UVL language,2,UVL language,supports,tool interoperability
1,UVL language,2,UVL language,supports,feature modeling standardization
1,UVL language,3,UVL language,is,textual language
1,UVL language,3,UVL language,is,community-driven language
1,UVL language,3,UVL language,is,pivot language
1,UVL language,3,UVL language,is,open-source format
1,UVL language,3,UVL language,is,human-readable
1,UVL language,3,UVL language,is,community effort
1,UVL language,3,UVL language,is,context-free grammar
1,UVL language,3,UVL language,has,community-driven design
1,UVL language,3,UVL language,has,launch year 2018
1,UVL language,3,UVL language,has,David Benavides
1,UVL language,3,UVL language,has,Chico Sundermann
1,UVL language,3,UVL language,has,Kevin Feichtinger
1,UVL language,3,UVL language,has,Rick Rabiser
1,UVL language,3,UVL language,has,Thomas Thüm
1,UVL language,3,UVL language,has,José A. Galindo
1,UVL language,3,UVL language,has,Universidad de Sevilla
1,UVL language,3,UVL language,has,University of Ulm
1,UVL language,3,UVL language,has,Karlsruhe Institute of Technology
1,UVL language,3,UVL language,has,Johannes Kepler University Linz
1,UVL language,3,UVL language,has,TU Braunschweig
1,UVL language,3,UVL language,defines,Boolean level
1,UVL language,3,UVL language,defines,Arithmetic level
1,UVL language,3,UVL language,defines,Type level
1,UVL language,3,UVL language,contains,feature tree
1,UVL language,3,UVL language,contains,cross-tree constraints
1,UVL language,3,UVL language,contains,import mechanism
1,UVL language,3,UVL language,contains,language levels
1,UVL language,3,UVL language,contains,namespaces
