Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,stands for,Universal Variability Language
1,UVL language,1,UVL language,is,human-readable
1,UVL language,1,UVL language,serves as,pivot language
1,UVL language,1,UVL language,development started in,2018
1,UVL language,1,UVL language,is,community-driven
1,UVL language,1,UVL language,is structured into,Boolean level
1,UVL language,1,UVL language,is structured into,Arithmetic level
1,UVL language,1,UVL language,is structured into,Type level
1,UVL language,1,UVL language,allows,language extensions
1,UVL language,1,UVL language,is maintained by,consortium of institutions
1,UVL language,1,UVL language,has open-source support tools,
1,UVL language,1,UVL language,has parser implementation for,Python
1,UVL language,1,UVL language,has parser implementation for,Java
1,UVL language,1,UVL language,uses,ANTLR for parser implementations
1,UVL language,1,UVL language,is used for,knowledge sharing
1,UVL language,1,UVL language,is used for,educational instruction
1,UVL language,1,UVL language,is used for,tool integration
1,UVL language,1,UVL language,is used for,tool interoperability
1,UVL language,1,UVL language,contains,feature tree
1,UVL language,1,UVL language,contains,cross-tree constraints
1,UVL language,1,UVL language,represents hierarchy with,indentation
1,UVL language,1,UVL language,supports,mandatory relationship
1,UVL language,1,UVL language,supports,optional relationship
1,UVL language,1,UVL language,supports,alternative relationship
1,UVL language,1,UVL language,supports,or relationship
1,UVL language,1,UVL language,supports,group cardinality
1,UVL language,1,UVL language,supports,feature cardinality
1,UVL language,1,UVL language,supports,aggregate functions
1,UVL language,1,UVL language,supports,string constraints
1,UVL language,1,UVL language,supports,typed features
1,UVL language,1,UVL language,supports,feature attributes
1,UVL language,1,UVL language,provides,import mechanism
1,UVL language,1,UVL language,enables,decomposition of large models
1,UVL language,1,UVL language,has,formal semantics
1,UVL language,1,UVL language,is integrated into,FeatureIDE
1,UVL language,1,UVL language,is integrated into,flamapy
1,UVL language,1,UVL language,is integrated into,UVLS
1,UVL language,1,UVL language,is integrated into,pure::variants
1,UVL language,1,UVL language,is pivot model for,TRAVART
1,UVL language,2,UVL language,stands for,Universal Variability Language
1,UVL language,2,UVL language,is,a textual language
1,UVL language,2,UVL language,represents,feature models
1,UVL language,2,UVL language,is,human-readable
1,UVL language,2,UVL language,serves as,a pivot language
1,UVL language,2,UVL language,development started in,2018
1,UVL language,2,UVL language,is,community-driven
1,UVL language,2,UVL language,is structured into,a Boolean level
1,UVL language,2,UVL language,is structured into,an Arithmetic level
1,UVL language,2,UVL language,is structured into,a Type level
1,UVL language,2,UVL language,allows,language extensions
1,UVL language,2,UVL language,is maintained by,a consortium of institutions
1,UVL language,2,UVL language,has parser implementations for,Python
1,UVL language,2,UVL language,has parser implementations for,Java
1,UVL language,2,UVL language,uses,ANTLR for parser implementations
1,UVL language,2,UVL language,is used for,knowledge sharing
1,UVL language,2,UVL language,is used for,educational instruction
1,UVL language,2,UVL language,is used for,tool integration
1,UVL language,2,UVL language,is used for,tool interoperability
1,UVL language,2,UVL language,contains,a feature tree
1,UVL language,2,UVL language,contains,cross-tree constraints
1,UVL language,2,UVL language,represents hierarchy with,indentation
