Subject,Predicate,Object
language extension,provide,string constraint
uvl,support,string constraint
arithmetic level model,support operator,<=
cross-tree constraints,import submodel,apply compose model
arithmetic level model,directly represent,smt problem
feature tree,denote relationship feature group,indentation
cross-tree constraints,predicate use,<=
boolean level,fully include,mandatory relationship
feature tree,decompose,submodel
uvl,represent hierarchy,indentation
uvl core language constraint,exclude,exclude constraint attribute
type level,convert,arithmetic level
cross-tree constraints,compose model,reference feature namespace
uvl,support,group cardinality
uvl,be use for,tool integration
language extension,allow,representation different feature
cross-tree constraints,satisfy,valid configuration
uvl,open-source support tools,
language extension,ensure,tool compatibility
type level,allow feature,deselecte
cross-tree constraints,use,propositional logic operator
cross-tree constraints,binary expression include,+
uvl,parser implementation,java
conversion strategy,translate,high level construct low level
cross-tree constraints,predicate use,term
cross-tree constraints,arithmetic level,numeric constraints feature attribute
predicate,fully include,!=
uvl,maintain,consortium institution
cross-tree constraints,binary expression include,/
boolean level,fully include,alternative relationship
uvl,design goal,information hiding
boolean level,influence,valid configuration
language extension,introduce,additional construct
feature tree,support,optional group
type level,extend,boolean level
boolean variable,refer,feature name
language extension,extend,uvl core language
uvl,integrate,variability.dev
feature tree,require,exactly root feature
language extension,enable,expressiveness
cross-tree constraints,be,inclusion statement
cross-tree constraints,evaluate,true false
arithmetic operator,fully include,>
predicate,fully include,<=
term,fully include,binary expression
language extension,provide,construct numeric constraint
arithmetic level model,support,v4rdiac
language extension,translate,high level construct low level
cross-tree constraints,combine,predicate
uvl,structure,type level
cross-tree constraints,term include,binary expression
arithmetic level model,extend,boolean level
cross-tree constraints,term include,function
arithmetic level model,fully include,arithmetic*
arithmetic level model,grow exponentially size,boolean level
term,fully include,constant
arithmetic operator,fully include,+
feature tree,root feature include,valid configuration
boolean level,support,featureide
language extension,provide,construct cardinality
compose model constraint,reference feature,namespace
cross-tree constraints,be,exclusion statement
contextual clone constraint,create,feature cardinality interaction
uvl,support,mandatory relationship
uvl,design goal,extensibility
arithmetic level model,encapsulate,language construct
propositional logic operator,fully include,!
feature tree,allow feature,arbitrary number group
arithmetic operator,fully include,/
cross-tree constraints,exclude,exclude constraint attribute
type level,support,equality check string
uvl,support,feature attribute
arithmetic level model,fully include,boolean level
uvl,support,feature cardinality interaction
feature tree,feature,unique identifier
boolean level,automatically include,minor level
type level,introduce,type feature
feature cardinality,be,optional extension arithmetic level
uvl,be,textual language
boolean level,represent,cnf instance
boolean level,be,optional extension
propositional logic operator,fully include,&
arithmetic level model,support,uvl
type level,have,high hierarchy
boolean level,be,uvl core language
cross-tree constraints,predicate use,>
boolean level,fully include,arithmetic-level
uvl,represent,feature model
term,fully include,variable reference
uvl,be use for,knowledge sharing
language extension,accommodate,diverse modelling need
arithmetic level model,support operator,<
cross-tree constraints,core language,propositional logic operator
arithmetic operator,fully include,*
uvl,support,alternative relationship
boolean level,support,flamapy
cross-tree constraints,term include,variable reference
cross-tree constraints,predicate use,<
arithmetic level model,directly represent,cp problem
feature tree,represent hierarchy,indentation
cross-tree constraints,core language,exclude constraint attribute
type level,introduce,float feature
cross-tree constraints,fully include,require
cross-tree constraints,use,bracket
cross-tree constraints,use operator,&
arithmetic operator,fully include,==
arithmetic level model,minor level,aggregate function
type level,support,v4rdiac
uvl,integrate,featureide
boolean level,support,fm fact level
uvl,be use for,tool interoperability
uvl,development start,2018
language extension,fully include,minor level
propositional logic operator,fully include,|
uvl,support,aggregate function
arithmetic level model,support,avg
feature tree,support,alternative group
cross-tree constraints,fully include,exclude
arithmetic level model,extend,type level
type level,drop string constraint,conversion
arithmetic level model,fully include,wildcard
type-level constraints,support,len function
cross-tree constraints,specify dependency base,string value
feature tree,decompose,subpart
predicate,fully include,>
cross-tree constraints,be,main uvl model
term,fully include,function
type level,support,include string length check
arithmetic level model,require,sat encode
arithmetic level model,support operator,*
predicate,connect,term
uvl,design goal,simplicity
uvl,design goal,exchangeability
language extension,provide information,language level
cross-tree constraints,type level,include string length check
predicate,specify dependency base,string value
propositional logic operator,fully include,=>
predicate,fully include,<
type level,be,language level
arithmetic operator,fully include,>=
aggregate function,fully include,average
uvl,integrate,flamapy
uvl,have,formal semantic
uvl,allow,language extension
language extension,fully include,major level
