Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,stands for,Universal Variability Language
1,UVL language,1,UVL language,is,concise
1,UVL language,1,UVL language,is,extensible
1,UVL language,1,UVL language,models,variability
1,UVL language,1,UVL language,models,software product lines
1,UVL language,1,UVL language,supports,multiple programming languages
1,UVL language,1,UVL language,provides,grammar-based foundation
1,UVL language,1,UVL language,uses,ANTLR4
1,UVL language,1,UVL language,supports,language-level modularity
1,UVL language,1,UVL language,supports,namespaces
1,UVL language,1,UVL language,supports,imports
1,UVL language,1,UVL language,supports,feature trees
1,UVL language,1,UVL language,supports,attributes
1,UVL language,1,UVL language,supports,cardinalities
1,UVL language,1,UVL language,supports,cross-tree constraints
1,UVL language,1,UVL language,enables,optional concepts via include keyword
1,UVL language,1,UVL language,includes,mandatory group type
1,UVL language,1,UVL language,includes,optional group type
1,UVL language,1,UVL language,includes,or group type
1,UVL language,1,UVL language,includes,alternative group type
1,UVL language,1,UVL language,supports,logical constraints
1,UVL language,1,UVL language,supports,arithmetic constraints
1,UVL language,1,UVL language,has,base grammar in EBNF form
1,UVL language,1,UVL language,has,Java parser
1,UVL language,1,UVL language,has,Python parser
1,UVL language,1,UVL language,has,JavaScript parser
1,UVL language,1,UVL language,defined by,ANTLR4 grammar files
1,UVL language,1,UVL language,allows,referencing from other UVL models
1,UVL language,2,UVL language,is,Universal Variability Language
1,UVL language,2,UVL language,is,concise
1,UVL language,2,UVL language,is,extensible
1,UVL language,2,UVL language,models,variability in software product lines
1,UVL language,2,UVL language,provides,grammar-based foundation for building tools
1,UVL language,2,UVL language,provides,grammar-based foundation for building parsers
1,UVL language,2,UVL language,uses,ANTLR4 as parser generator
1,UVL language,2,UVL language,features,language-level modularity
1,UVL language,2,UVL language,features,namespaces
1,UVL language,2,UVL language,features,imports
1,UVL language,2,UVL language,features,feature trees
1,UVL language,2,UVL language,features,attributes
1,UVL language,2,UVL language,features,cardinalities
1,UVL language,2,UVL language,features,cross-tree constraints
1,UVL language,2,UVL language,has section,language levels
1,UVL language,2,UVL language,has section,namespace
1,UVL language,2,UVL language,has section,imports
1,UVL language,2,UVL language,has section,feature tree
1,UVL language,2,UVL language,has section,cross-tree constraints
1,UVL language,2,UVL language,supports,multiple programming languages
1,UVL language,2,UVL language,base grammar format,EBNF
1,UVL language,2,UVL language,enables concepts via,include keyword
1,UVL language,2,UVL language,group type,mandatory
1,UVL language,2,UVL language,group type,optional
1,UVL language,2,UVL language,group type,or
1,UVL language,2,UVL language,group type,alternative
1,UVL language,2,UVL language,includes,logical constraints
1,UVL language,2,UVL language,includes,arithmetic constraints
1,UVL language,2,UVL language,major level,Boolean
1,UVL language,2,UVL language,major level,Arithmetic
1,UVL language,2,UVL language,major level,Type
1,UVL language,2,UVL language,minor level,group-cardinality
1,UVL language,2,UVL language,minor level,feature-cardinality
1,UVL language,2,UVL language,minor level,aggregate-function
1,UVL language,2,UVL language,minor level,string-constraints
1,UVL language,2,UVL language,aggregate function,sum
1,UVL language,2,UVL language,aggregate function,avg
1,UVL language,2,UVL language,aggregate function,len
1,UVL language,2,UVL language,aggregate function,floor
1,UVL language,2,UVL language,aggregate function,ceil
1,UVL language,2,UVL language,constraint operator,!
1,UVL language,2,UVL language,constraint operator,&
1,UVL language,2,UVL language,constraint operator,|
1,UVL language,2,UVL language,constraint operator,<=>
1,UVL language,2,UVL language,constraint operator,=>
1,UVL language,2,UVL language,constraint operator,==
1,UVL language,2,UVL language,constraint operator,<
1,UVL language,2,UVL language,constraint operator,<=
1,UVL language,2,UVL language,constraint operator,>
1,UVL language,2,UVL language,constraint operator,>=
1,UVL language,2,UVL language,constraint operator,!=
1,UVL language,2,UVL language,arithmetic operator,/
1,UVL language,2,UVL language,arithmetic operator,*
1,UVL language,2,UVL language,arithmetic operator,+
1,UVL language,2,UVL language,arithmetic operator,-
1,UVL language,2,UVL language,keyword,include
1,UVL language,2,UVL language,keyword,namespace
1,UVL language,2,UVL language,keyword,imports
1,UVL language,2,UVL language,keyword,features
1,UVL language,2,UVL language,keyword,constraints
1,UVL language,2,UVL language,keyword,as
1,UVL language,2,UVL language,keyword,cardinality
1,UVL language,3,UVL language,is,Universal Variability Language
1,UVL language,3,UVL language,is,concise
1,UVL language,3,UVL language,is,extensible
1,UVL language,3,UVL language,models,variability in software product lines
1,UVL language,3,UVL language,supports,multiple programming languages
1,UVL language,3,UVL language,provides,grammar-based foundation for building tools
1,UVL language,3,UVL language,provides,grammar-based foundation for building parsers
1,UVL language,3,UVL language,uses,ANTLR4 parser generator
1,UVL language,3,UVL language,features,language-level modularity
1,UVL language,3,UVL language,supports,namespaces
1,UVL language,3,UVL language,supports,imports
1,UVL language,3,UVL language,supports,feature trees
1,UVL language,3,UVL language,supports,feature attributes
1,UVL language,3,UVL language,supports,cardinalities
1,UVL language,3,UVL language,supports,cross-tree constraints
1,UVL language,3,UVL language,consists of,five optional sections
1,UVL language,3,UVL language sections,include,Language levels
1,UVL language,3,UVL language sections,include,Namespace
1,UVL language,3,UVL language sections,include,Imports
1,UVL language,3,UVL language sections,include,Feature tree
1,UVL language,3,UVL language sections,include,Cross-tree constraints
1,UVL language,3,UVL language,supports,logical constraints
1,UVL language,3,UVL language,supports,arithmetic constraints
1,UVL language,3,UVL language,uses file extension,.uvl
1,UVL language,3,UVL language,has base grammar in,EBNF form
1,UVL language,3,UVL language,has base grammar file,uvl/UVLParser.g4
1,UVL language,3,UVL language,has base lexer grammar file,uvl/UVLLexer.g4
1,UVL language,3,UVL language,has official website,https://universal-variability-language.github.io/
1,UVL language,3,UVL language,supports type,String
1,UVL language,3,UVL language,supports type,Boolean
1,UVL language,3,UVL language,supports type,Integer
1,UVL language,3,UVL language,supports type,Real
1,UVL language,3,UVL language,supports function,sum
1,UVL language,3,UVL language,supports function,avg
1,UVL language,3,UVL language,supports function,len
1,UVL language,3,UVL language,supports function,floor
1,UVL language,3,UVL language,supports function,ceil
1,UVL language,3,UVL language,uses group type,mandatory
1,UVL language,3,UVL language,uses group type,optional
1,UVL language,3,UVL language,uses group type,or
1,UVL language,3,UVL language,uses group type,alternative
1,UVL language,3,UVL language,uses group type,cardinality
1,UVL language,3,UVL language,allows,abstract features
1,UVL language,3,UVL language,allows,value attributes
1,UVL language,3,UVL language,allows,constraint attributes
1,UVL language,3,UVL language,allows,language-specific grammar files
1,UVL language,3,UVL language,supports,inclusion of other feature models
1,UVL language,3,UVL language,provides,pre-built parsers for Java
1,UVL language,3,UVL language,provides,pre-built parsers for Python
1,UVL language,3,UVL language,provides,pre-built parsers for JavaScript
1,UVL language,4,UVL language,stands for,Universal Variability Language
1,UVL language,4,UVL language,is,concise
1,UVL language,4,UVL language,is,extensible
1,UVL language,4,UVL language,models,variability in software product lines
