Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,is,Universal Variability Language
1,UVL language,1,UVL language,is,community effort
1,UVL language,1,UVL language,purpose,unified language for variability models
1,UVL language,1,UVL language,result of,MODEVAR initiative
1,UVL language,1,UVL language,uses,tree-like structure
1,UVL language,1,UVL language,represents,hierarchical structure of variability models
1,UVL language,1,UVL language,includes,language core
1,UVL language,1,UVL language,includes core concept,Mandatory
1,UVL language,1,UVL language,includes core concept,Optional
1,UVL language,1,UVL language,includes core concept,Or
1,UVL language,1,UVL language,includes core concept,Alternative
1,UVL language,1,UVL language,includes core concept,Cross-tree constraints
1,UVL language,1,UVL language,supports,Boolean Level
1,UVL language,1,UVL language,supports,Arithmetic Level
1,UVL language,1,UVL language,supports,Type Level
1,UVL language,1,UVL language,supports,Boolean Core
1,UVL language,1,UVL language,supports,Group Cardinality
1,UVL language,1,UVL language,supports,Arithmetic Core
1,UVL language,1,UVL language,supports,Attribute aggregates
1,UVL language,1,UVL language,supports,Feature Cardinality
1,UVL language,1,UVL language,supports,Type Core
1,UVL language,1,UVL language,supports,Type Numeric-Constraints
1,UVL language,1,UVL language,supports,Type String-Constraints
1,UVL language,1,UVL language,supports,feature attributes
1,UVL language,1,UVL language,supports,Import Mechanism
1,UVL language,1,UVL language,supports,submodels referencing
1,UVL language,1,UVL language,grammar includes,namespace
1,UVL language,1,UVL language,grammar includes,includes
1,UVL language,1,UVL language,grammar includes,imports
1,UVL language,1,UVL language,grammar includes,features
1,UVL language,1,UVL language,grammar includes,constraints
1,UVL language,1,UVL language,grammar includes,group
1,UVL language,1,UVL language,grammar includes,attribute
1,UVL language,1,UVL language,parser supports,Python
1,UVL language,1,UVL language,parser supports,Java
1,UVL language,1,UVL language,has tool support,ANTLR Base Parser
1,UVL language,1,UVL language,has tool support,Java Meta Model
1,UVL language,1,UVL language,has tool support,UVLS
1,UVL language,1,UVL language,has tool support,UVL Playground
1,UVL language,1,UVL language,has tool support,Visual Studio Code extension
1,UVL language,1,UVL language,integrated in,FeatureIDE
1,UVL language,1,UVL language,integrated in,Flama
1,UVL language,1,UVL language,integrated in,TraVarT
1,UVL language,1,UVL language,repository for exchange,UVLHub
1,UVL language,2,UVL language,is,Universal Variability Language
1,UVL language,2,UVL language,is,community effort
1,UVL language,2,UVL language,result of,MODEVAR initiative
1,UVL language,2,UVL language,purpose,unified language for variability models
1,UVL language,2,UVL language,uses,tree-like structure
1,UVL language,2,UVL language,represents,hierarchical structure of variability models
1,UVL language,2,UVL language,includes,language core
1,UVL language,2,UVL language,includes concept,Mandatory
1,UVL language,2,UVL language,includes concept,Optional
1,UVL language,2,UVL language,includes concept,Or
1,UVL language,2,UVL language,includes concept,Alternative
1,UVL language,2,UVL language,includes concept,Cross-tree constraints
1,UVL language,2,UVL language,supports,Boolean Level
1,UVL language,2,UVL language,supports,Arithmetic Level
1,UVL language,2,UVL language,supports,Type Level
1,UVL language,2,UVL language,supports,Boolean Core
1,UVL language,2,UVL language,supports,Group Cardinality
1,UVL language,2,UVL language,supports,Arithmetic Core
1,UVL language,2,UVL language,supports,Attribute aggregates
1,UVL language,2,UVL language,supports,Feature Cardinality
1,UVL language,2,UVL language,supports,Type Core
1,UVL language,2,UVL language,supports,Type Numeric-Constraints
1,UVL language,2,UVL language,supports,Type String-Constraints
1,UVL language,2,UVL language,supports,feature attributes
1,UVL language,2,UVL language,supports,Import Mechanism
1,UVL language,2,UVL language,supports,referencing submodels
1,UVL language,2,UVL language,has grammar in,ANTLR notation
1,UVL language,2,UVL language,grammar includes,namespace
1,UVL language,2,UVL language,grammar includes,includes
1,UVL language,2,UVL language,grammar includes,imports
1,UVL language,2,UVL language,grammar includes,features
1,UVL language,2,UVL language,grammar includes,constraints
1,UVL language,2,UVL language,parser supports,Python
1,UVL language,2,UVL language,parser supports,Java
1,UVL language,2,UVL language,has tool support,ANTLR Base Parser
1,UVL language,2,UVL language,has tool support,Java Meta Model
1,UVL language,2,UVL language,has tool support,UVLS
1,UVL language,2,UVL language,has tool support,UVL Playground
1,UVL language,2,UVL language,has tool support,Visual Studio Code extension
1,UVL language,2,UVL language,integrated in,FeatureIDE
1,UVL language,2,UVL language,integrated in,Flama
1,UVL language,2,UVL language,integrated in,TraVarT
1,UVL language,2,UVL language,integrated in,flamapy.IDE
1,UVL language,2,UVL language,repository for exchange,UVLHub
1,UVL language,3,UVL language,is,Universal Variability Language
1,UVL language,3,UVL language,is,community effort
1,UVL language,3,UVL language,result of,MODEVAR initiative
1,UVL language,3,UVL language,purpose,unified language for variability models
1,UVL language,3,UVL language,uses,tree-like structure
1,UVL language,3,UVL language,represents,hierarchical structure of variability models
1,UVL language,3,UVL language,includes,language core
1,UVL language,3,UVL language,includes core concept,Mandatory
1,UVL language,3,UVL language,includes core concept,Optional
1,UVL language,3,UVL language,includes core concept,Or
1,UVL language,3,UVL language,includes core concept,Alternative
1,UVL language,3,UVL language,includes core concept,Cross-tree constraints
1,UVL language,3,UVL language,supports,Boolean Level
1,UVL language,3,UVL language,supports,Arithmetic Level
1,UVL language,3,UVL language,supports,Type Level
1,UVL language,3,UVL language,supports,Boolean Core
1,UVL language,3,UVL language,supports,Group Cardinality
1,UVL language,3,UVL language,supports,Arithmetic Core
1,UVL language,3,UVL language,supports,Attribute aggregates
1,UVL language,3,UVL language,supports,Feature Cardinality
1,UVL language,3,UVL language,supports,Type Core
1,UVL language,3,UVL language,supports,Type Numeric-Constraints
1,UVL language,3,UVL language,supports,Type String-Constraints
1,UVL language,3,UVL language,supports,feature attributes
1,UVL language,3,UVL language,supports,Import Mechanism
1,UVL language,3,UVL language,supports,referencing submodels
1,UVL language,3,UVL language,has grammar notation,ANTLR
1,UVL language,3,UVL language,grammar includes,namespace
1,UVL language,3,UVL language,grammar includes,includes
1,UVL language,3,UVL language,grammar includes,imports
1,UVL language,3,UVL language,grammar includes,features
1,UVL language,3,UVL language,grammar includes,constraints
1,UVL language,3,UVL language,parser supports,Python
1,UVL language,3,UVL language,parser supports,Java
1,UVL language,3,UVL language,has tool support,ANTLR Base Parser
1,UVL language,3,UVL language,has tool support,Java Meta Model
1,UVL language,3,UVL language,has tool support,UVLS
1,UVL language,3,UVL language,has tool support,UVL Playground
1,UVL language,3,UVL language,has tool support,Visual Studio Code extension
1,UVL language,3,UVL language,integrated in,FeatureIDE
1,UVL language,3,UVL language,integrated in,Flama
1,UVL language,3,UVL language,integrated in,TraVarT
1,UVL language,3,UVL language,integrated in,flamapy.IDE
1,UVL language,3,UVL language,has exchange repository,UVLHub
1,UVL language,3,UVL language,can be transformed to,IVML
1,UVL language,3,UVL language,can be transformed to,pure::variants
1,UVL language,4,UVL language,is,Universal Variability Language
1,UVL language,4,UVL language,is,community effort
1,UVL language,4,UVL language,result of,MODEVAR initiative
1,UVL language,4,UVL language,purpose,unified language for variability models
1,UVL language,4,UVL language,uses,tree-like structure
1,UVL language,4,UVL language,represents,hierarchical structure of variability models
1,UVL language,4,UVL language,includes core concept,Mandatory
1,UVL language,4,UVL language,includes core concept,Optional
1,UVL language,4,UVL language,includes core concept,Or
1,UVL language,4,UVL language,includes core concept,Alternative
1,UVL language,4,UVL language,includes core concept,Cross-tree constraints
1,UVL language,4,UVL language,supports,Boolean Level
1,UVL language,4,UVL language,supports,Arithmetic Level
1,UVL language,4,UVL language,supports,Type Level
1,UVL language,4,UVL language,supports,Boolean Core
1,UVL language,4,UVL language,supports,Group Cardinality
1,UVL language,4,UVL language,supports,Arithmetic Core
1,UVL language,4,UVL language,supports,Attribute aggregates
1,UVL language,4,UVL language,supports,Feature Cardinality
1,UVL language,4,UVL language,supports,Type Core
1,UVL language,4,UVL language,supports,Type Numeric-Constraints
1,UVL language,4,UVL language,supports,Type String-Constraints
