Subject,Predicate,Object
uvl,support,numeric feature attribute input
arithmetic operation,convert,boolean core
language extension,provide,expressive language feature
boolean level,encapsulate,language construct
type level,allow,explicit boolean domain specification
uvl,aim,tool interoperability
predicate,use operator,>=
boolean level,be,core language uvl
language extension,encapsulate,language construct
type level,support,string length operation
language extension,be,optional
uvl,have,minor level arithmetic level
import feature,reference,namespace
include keyword,enable,minor level selection wildcard
extension mechanism,use,feature attributes tool-specific data
uvl,core include,alternative relationship
uvl,be,open-source
uvl,support,string feature
cross-tree constraints,mark,constraints keyword
uvl,include,import mechanism
arithmetic operation,group construct,reasoning engine
alternative group,be part of,boolean level
require relationship,be,cross-tree constraint
arithmetic operation,support operator,>
uvl,allow,group cardinality
uvl,allow,tool-specific data storage attributes
uvl,stand,uvl extension
term,include,function
boolean level,reason,sit solver
string constraint,drop,conversion
arithmetic operation,target,type level conversion
uvl,design goal include,information hiding
uvl,allow,model decomposition
exclude relationship,be,cross-tree constraint
uvl,provide,conversion strategy level
type level,minor level extension,numeric-constraints
feature attribute,contain,-line constraints
type level,introduce,type feature
language extension,extend,core language uvl
type level,introduce,string constraint
include keyword,enable,respective major level
predicate,specify dependency base,numerical value
boolean level,use,sit solver
type level,be,language level
boolean level,be use by,fm fact label
type level,extend,minor level arithmetic level
uvl,arithmetic level include,feature cardinality
boolean level,be use by,ddueruem
cross-tree constraints,represent,domain constraint
arithmetic operation,support,numeric constant
uvl,be,extensible
feature tree,contain,parent-child relationships
boolean level,be use by,featureide
type level,encapsulate,features non-boolean types
optional group,be part of,boolean level
type string-constraints,allow,len
feature tree,contain,feature attribute
feature tree,utilize,indentation represent relationship
uvl,be,textual language
aggregate function,include,avg
arithmetic operation,support operator,/
uvl,support,group cardinality
uvl,parse,java
type level,represent,cp problem
include keyword,enable,minor level type level
boolean variable,refer,feature unique name
boolean level,low level,high position language hierarchy
feature tree,know,feature diagram
uvl,support,float feature
feature tree,require,exactly root feature
feature,can have,feature cardinality
boolean level,consist,group cardinality
uvl,boolean level include,group cardinality
uvl,be,common textual exchange format
predicate,use operator,<
type level,support,integer feature
uvl,be,human-readable
type level,introduce,integer feature
feature tree,utilize,nest specify hierarchy
uvl,support,propositional logic
aggregate function,consider attribute value,select feature
uvl,type level include,type string-constraints
feature cardinality,enable,select feature multiple time
uvl,allow,language extension
uvl,feature,boolean core
uvl,store,cross-tree constraint
submodel,apply,compose model
boolean level,support,optional relationship
arithmetic operation,represent,cp problem
arithmetic operation,support operator,<
function constraint,include,avg
feature,have,unique identifier
type level,support,uvls
group cardinality,enable,select n m feature group
uvl,contain,alternative relationship
boolean level,be use by,variability.dev
language level,encapsulate,language construct
arithmetic operation,include,type major level
arithmetic operation,encode,smt instance
arithmetic operation,encode,cp instance
uvl,use,identifier protect quotation mark ambiguity
predicate,specify dependency base,string value
language extension,allow,tailor model tool limitation
uvl,be,concise
uvl,support,composition
feature tree,utilize,keywords specify parent-child relationships
feature,can have,feature attribute
uvl,model available,uvlhub repository
uvl,use,indentation block
uvl,have,import mechanism
cross-tree constraints,consist,inclusion statement
uvl,license,gnu less general public license
feature cardinality,use syntax,minmax
uvl,maintain,uvlhub repository
function constraint,include,len
type level,support,floor
type level,introduce,numeric feature attribute input
language extension,enable,tailor language specification
arithmetic operation,include,/
boolean level,support,optional group
arithmetic operation,include,arithmetic core
feature,can have,feature arbitrary number group
boolean level,encode,sit instance
uvl,integrate,uvls
boolean core,be,conversion target group cardinality
uvl,include,boolean level
arithmetic operation,encapsulate,arithmetic expression feature
uvl,feature,arithmetic core
arithmetic operation,require,process sit encode
uvl,feature,type string-constraints
arithmetic core,support,constraint attribute
uvl,support,language extension
predicate,use operator,>
binary expression,support,-
uvl,allow,feature attribute
arithmetic operation,support,uvls
type level,convert,boolean level
uvl,core include,cross-tree constraint
aggregate function,introduce,avg
function constraint,include,ceil
uvl,integrate,pure::variant
extension mechanism,allow,arbitrary datum storage
boolean level,be use by,flamapy
type level,introduce,numeric operation
uvl,arithmetic level include,attribute aggregate
feature tree,be,hierarchically arrange set feature
uvl,support,numeric constraint
arithmetic operation,include,-
boolean level,include,group keyword
cross-tree constraints,consist,arbitrary propositional formulae
boolean level,parse,python-based parser
uvl,support,feature cardinality
group cardinality,be,boolean level
feature tree,contain,feature cardinality
propositional operator,combine,boolean variable
boolean level,be use by,nemo
aggregate function,take,numeric feature attribute input
language level,represent,type feature
arithmetic operation,support,numeric feature attribute input
cross-tree constraints,major,uvl model
arithmetic operation,introduce,numeric feature attribute input
uvl,use,antlr
uvl,use,import
type level,support,travart
term,include,reference variable
type level,minor level extension,string-constraints
uvl,use,context-free grammar specification
boolean level,parse,clojure-based parser
arithmetic operation,allow wildcard,arithmetic*
uvl,originate,modevar initiative
uvl,support,import
numeric-constraints,allow,ceil
aggregate function,can take,feature second parameter
arithmetic operation,support operator,!=
feature tree,support,group cardinality
import mechanism,support,composition feature tree
boolean level,include,boolean core
uvl,support,feature attribute
cross-tree constraints,be,feature model
uvl,use,nest specify hierarchy
language level,be,uvl extension
language level,group construct,reasoning engine
cross-tree constraints,support operator,=>
boolean level,include,type major level
term,include,binary expression
language extension,group,reasoning engine
feature tree,support,group
language extension,preserve,simple core language
uvl,integrate,travart
uvl,have,antlr-based parser
arithmetic operation,require,sat encode
feature tree,represent hierarchy,nest
exclude relationship,denote,feature incompatibility
feature tree,contain,feature arbitrary number group
uvl,minor level extension,group cardinality
language level,be,optional extension major level
uvl,structure,boolean level
aggregate function,convert,arithmetic core
language extension,cover,sophisticated expression
uvl,integrate,fm fact label
type level,occupie,high position language hierarchy
arithmetic operation,support,travart
arithmetic operation,be,language level
boolean level,support operator,<=>
conversion strategy,translate,language extension
uvl,be,textual variability modeling language
boolean level,extend,type major level
uvl,have,boolean level
uvl,integrate,ddueruem
uvl,contain,cross-tree constraint
propositional operator,combine,predicate
boolean level,encode,cnf
binary expression,support,+
uvl,type level include,type numeric-constraints minor level
arithmetic operation,support operator,-
uvl,integrate,featureide
cross-tree constraints,support operator,&
import mechanism,apply submodel constraint,compose model
feature tree,utilize,keyword specify relationship
arithmetic operation,allow,term resolve boolean
boolean core,allow attribute,store feature information
uvl,allow,feature cardinality
aggregate function,include,sum
arithmetic operation,include,+
uvl,core include,optional relationship
type level,drop,string-constraints conversion
arithmetic operation,be use by,travart
minor level,include,respective major level
type level,support,string comparison
language level,provide,additional expressiveness
feature cardinality,convert,arithmetic core
cross-tree constraints,support operator,!
extension mechanism,maintain,simple core language
uvl,feature,attribute aggregate
feature tree,decompose,subpart
cross-tree constraints,restrict,number valid configuration
arithmetic operation,be use by,tool cp solver
term,include,constant
function constraint,include,sum
uvl,minor level extension,attribute aggregate
aggregate function,be,minor level arithmetic level
feature tree,support,optional group
boolean level,support operator,=>
arithmetic operation,support operator,<=
uvl,represent,hierarchical structure
type level,support,string feature
arithmetic core,support,standard arithmetic operation
uvl,structure,minor level arithmetic level
feature cardinality,be,minor level arithmetic level
feature,posses,unique identifier
type level,introduce,string feature
uvl,feature,type numeric-constraints minor level
cross-tree constraints,support operator,<=>
uvl,contain,real feature
binary expression,support,*
boolean level,be,language level
boolean level,limit constraint,propositional logic
arithmetic operation,be use by,tool smt solver
uvl,feature,group cardinality minor level
group cardinality,extend,boolean level
arithmetic operation,support operator,>=
predicate,use operator,==
boolean level,support,propositional cross-tree constraints
uvl,use,namespace
valid configuration,satisfy,attach constraint
language extension,know,language level
uvl,development start,2018
uvl,minor level extension,feature cardinality
predicate,use operator,!=
type level,represent,smt problem
boolean level,include,minor level arithmetic level
language level,represent,vary relationship type
feature tree,represent hierarchy,indentation block
function constraint,include,floor
boolean core,be,optional extension major level
arithmetic operation,include,*
uvl,integrate,v4rdiac
uvl,support,namespace
uvl,arithmetic level include,arithmetic core
boolean level,support operator,&
arithmetic operation,support operator,==
language level,extend,respective major level
uvl,use,tree-like structure
uvl,structure,type major level
type level,allow,configuration non-boolean values
type level,include,type core
cross-tree constraints,store,separately tree structure
arithmetic operation,represent,smt problem
cross-tree constraints,combine,boolean variable
uvl,type level include,type core
aggregate function,introduce,sum
cross-tree constraints,impose,limitation feature
language extension,add,complex construct
uvl,use,line break end statement
extension mechanism,add,sophisticated language property
arithmetic operation,allow,minor level selection wildcard
boolean level,group feature,reasoning engine
uvl,support,string constraint
arithmetic operation,support operator,+
boolean variable,refer,boolean-attribute keys
boolean level,extend,minor level arithmetic level
feature tree,contain,feature unique name
uvl,integrate,flamapy
boolean level,support operator,!
uvl,parse,python
uvl,have,type major level
boolean level,support operator,|
uvl,include,minor level arithmetic level
type level,encapsulate,reasoning engine
numeric-constraints,allow,floor
require relationship,imply,inclusion statement
uvl,serve,pivot language
feature,main element,composition feature tree
language extension,accommodate,diverse modeling need
type level,introduce,float feature
boolean level,support,group
type level,convert,minor level arithmetic level
uvl,allow,abstract feature
string operation,include,len
uvl,maintain,consortium institution
type level,support,real feature
uvl,parse,javascript
type level,introduce,real feature
language extension,extend,simple core language
boolean level,consist,group keyword
language extension,enhance,additional expressiveness
include keyword,declare,language extension
uvl,design goal include,simplicity
cross-tree constraints,evaluate,boolean level
cross-tree constraints,use,propositional logic
cross-tree constraints,handle,reasoning engine
group,main element,composition feature tree
type string-constraints,allow,string comparison
uvl,feature,type core
uvl,support,integer feature
feature tree,consist,real feature
language extension,enable,include keyword
arithmetic operation,include,ceil
numeric-constraints,be,minor level type level
uvl,design goal include,additional expressiveness
arithmetic operation,support operator,*
type level,use,boolean domain default
boolean level,consist,boolean core
type level,support,ceil
uvl,support,uvls
type level,minor level extension,type string-constraints
language extension,introduce,additional construct
uvl,support,decomposition
cross-tree constraints,combine,predicate
string constraint,be,minor level type level
feature tree,major,uvl model
boolean level,be use by,pure::variant
cross-tree constraints,support operator,|
submodel,attach,arbitrary location feature tree
language extension,enhance,uvl expressiveness
feature tree,component,feature model
arithmetic core,be part of,minor level arithmetic level
predicate,use operator,<=
uvl,represent,feature model
uvl,support,conversion strategy level
binary expression,support,/
boolean core,exclude,constraint attribute
