Subject,Predicate,Object
uvl,developer,chico sundermann
uvl,include,constraint feature attribute
uvl,implement,generic extension mechanism
feature attribute,enable,variety extension
uvl,logical operator,&
feature tree,separate,cross-tree constraints
uvl cross-tree constraints,include,-order-logic future versions
uvl cross-tree constraints,stored -line variability languages,
future language extension,enable,variety extension
uvl,syntax similar,python
uvl,structure,nest hierarchy
feature tree,locate,cross-tree constraints
uvl cross-tree constraints,store separately tree structure uvl,
uvl,support,default selection
uvl,be,open-source
feature tree,contain,feature attribute
uvl,use,import
future language extension,support,flexible nature feature attribute
extension mechanism,simplifie store,tool-specific data elements
uvl,store,cross-tree constraints
uvl,group description mechanism,-length keywords
uvl cross-tree constraints,reside,feature tree
uvl,require,space xml
feature tree,express,parent-child relationships
community,favor,propositional logic constraint
uvl cross-tree constraints,support,equivalence operator
future language extension,include,generic extension mechanism
uvl cross-tree constraints,store,-line variability languages
future language extension,facilitate,storage tool-specific data
future language extension,preferred,community
extension mechanism,receive zero,absolutely vote
uvl cross-tree constraints,support,conjunction operator &
uvl cross-tree constraints,support,| operator
uvl cross-tree constraints,identify,constraints keyword header
,,
feature tree,contain,feature name
future extension,include,-order-logic formulas constraints
uvl cross-tree constraints,support,conjunction operator
uvl,support,feature model
uvl,use,nest hierarchy
future language extension,include,constraint feature attribute
uvl cross-tree constraints,visually represent,feature diagram
uvl cross-tree constraints,support,negation operator !
uvl,identifie constraint block,constraints keyword header
extension mechanism,attaches,tool-specific data elements
uvl,develop,modevar initiative
uvl,group description mechanism,cardinality
uvl,constraint language,propositional logic constraint
uvl,logical operator,|
feature tree,visualize,feature diagram
future extension,include,use quantifier
feature tree,contain,concrete feature
feature tree,represent,uvl
uvl,publish,splc 2021
uvl cross-tree constraints,support,-order-logic formulas constraints
feature tree,contain,feature requirement
uvl,constraint location,tree structure
future language extension,allow,attach datum element
uvl cross-tree constraints,indicate,feature requirement
uvl,include,dataset real-world models
feature attribute,store,tool-specific data elements
uvl,develop,community effort
uvl,asset,real-world variability models
uvl cross-tree constraints,store,unify variability modeling language
uvl cross-tree constraints,specify,product line constraint
uvl,author include,chico sundermann
future language extension,be,generic
uvl,support,group descriptor
uvl,stand,uvl
uvl,implement extension mechanism,feature attribute
uvl,use,sparse format
