Subject,Predicate,Object
uvl language section,include,namespace
uvl,base lexer grammar,uvllexer.g4
uvl,defines group type,alternative
type level,support,integer feature type
arithmetic level,enable,addition
language extension,include,aggregate-function minor level
cross-tree constraints,utilize,avg aggregate function
arithmetic level,use,addition operator
uvl,aggregate function,len
language extension,support,wildcard
boolean level,support,logical negation
language extension,include,string-constraints
arithmetic level,enable,multiplication
arithmetic level,include,sum function
language extension,use,optional concept include keyword
uvl,have,javascript parser
feature tree,include,cardinality group type
comparison operator,include,greater_equal
uvl,be,uvl
boolean level,support,feature attribute
cross-tree constraints,include,string aggregate function
featuretype,can be,boolean
cross-tree constraints,contain,additive expression
uvl,feature,feature attribute
cross-tree constraints,support,arithmetic division
arithmetic level,support,arithmetic subtraction
feature tree,contain,feature attribute
uvl,use,antlr4 parser generator
cross-tree constraints,support,arithmetic operator
cross-tree constraints,support,len function
cross-tree constraints,use,boolean language level
boolean level,support,equivalence operator
language extension,consist,type major level
cross-tree constraints,use,addition operator
cross-tree constraints,precede,eof
cross-tree constraints,consist,equivalence constraint
comparison operator,include,equal
feature,can have,feature attribute
uvl,constraint operator,!
type level,use keyword,type
type level,contain test model,string-attributes-external.uvl
uvl,provide,grammar-based foundation
arithmetic level,enable,division
uvl,constraint operator,<=>
arithmetic level,support,multiplicative expression
arithmetic level,support,arithmetic constraint
language extension,allow,majorlevel.minorlevel pattern
uvl,include,mandatory group type
type level,support,featuretype
language extension,enable,optional
boolean level,include,implication constraint
uvl,use keyword,namespace
group type,include,alternative
boolean level,use,| operator
arithmetic level,include,avg aggregate function
uvl,official website,https://universal-variability-language.github.io/
logical operator,include,not
uvl,constraint operator,!=
uvl,provide,pre-built parsers javascript
feature tree,follow,import section
cross-tree constraints,consist,parenthesis constraint
feature tree,be,optional model section
uvl,doi,10.1016/j.jss.2024.112326
language extension,use,dot separator
uvl,support,feature attribute
boolean level,support,equivalence
boolean level,group type include,or
uvl,support,cardinality
language level section,include,wildcard
