Subject,Predicate,Object
arithmetic level,support,attribute aggregate
standard arithmetic operation,include,>
uvl,grammar include,include
cross-tree constraints,include,lenfunction
uvl,include,core language concept
numeric operation,include,ceil operation
boolean core,include,optional
uvl,represent,hierarchical structure variability model
language extension,support,type level
group cardinality,specifie,select nmchildren
uvl,support,boolean core
arithmetic level,be,uvl language core
cross-tree constraints,support,lenoperation
uvl,include concept,mandatory
uvl,support,attribute
cross-tree constraints,consist,reference
cross-tree constraints,support,constraint
arithmetic level,include,arithmetic core
uvl,result,modevar initiative
feature tree,support,feature cardinality
feature tree,specify,uvl
arithmetic level,include,arithmetic.aggregate-function
arithmetic core,support,-
type level,be a,uvl language core
uvl,support,attribute aggregate
feature tree,visualize,featureide representation
cross-tree constraints,include,equivalenceconstraint
uvl,include concept,alternative
type level,allow,ceilconstraint
arithmetic core,support,!=
uvl,parser support,java
cross-tree constraints,involve,attribute
cross-tree constraints,include,negation
cross-tree constraints,be,core language concept
boolean core,include,mandatory feature
standard arithmetic operation,include,-
arithmetic level,provide,additional language construct
arithmetic core,use,/
attribute aggregate,allow,sumaggregate
arithmetic core,use,*
cross-tree constraints,support,ceiloperation
arithmetic level,include,feature cardinality
uvlparser,extend,uvl conversion strategy
cross-tree constraints,include,numeric operation
attribute aggregate,allow,avgaggregate
cross-tree constraints,include,string operation constraint
arithmetic level,support,arithmetic core
attribute aggregate,simplify,constraint feature attribute
arithmetic core,use,>
type numeric-constraints,allow,numeric operation
type level,provide,additional language construct
type level,be,extension
cross-tree constraints,include,implicationconstraint
uvl,purpose,unify language variability model
uvl,tool support,uvl
type numeric-constraints,allow,string operation constraint
cross-tree constraints,include,conjunction
cross-tree constraints,include,attribute aggregate
boolean level,provide,additional language construct
feature tree,include,group
uvl,grammar include,attribute
uvl,transform,pure::variant
uvl,integrate,flama
type core,support,string feature
arithmetic.feature-cardinality,extend,arithmetic level
type level,allow,floorconstraint
uvl,be,community effort
arithmetic core,support,constraint feature attribute
cross-tree constraints,allow,subtraction
type level,contain,type core
type numeric-constraints,allow,ceil operation
feature tree,contain,optional
cross-tree constraints,be,arbitrary propositional constraint feature
cross-tree constraints,allow,equality comparison
cross-tree constraints,include,ceilfunction
arithmetic level,support,feature cardinality
cross-tree constraints,consist,equation
cross-tree constraints,support,equation
group cardinality,specifie,parent-children relationships
feature tree,contain,feature
boolean level,include,boolean core
type level,include,type core
uvl,support,arithmetic core
uvl,support,import mechanism
type numeric-constraints,allow,comparison string feature constraint
attribute aggregate,include,sum aggregate
arithmetic core,use,=
uvl,support,submodel reference
type level,be,language level
uvlparser,extend,uvl language core
feature tree,support,group cardinality
group cardinality,specifie,select n m child
language extension,include,type level
cross-tree constraints,support,parenthesis operation
standard arithmetic operation,include,=
arithmetic core,use,-
feature tree,define,parent-children relationships
cross-tree constraints,allow,ceil operation
arithmetic core,use,!=
cross-tree constraints,include,floorfunction
standard arithmetic operation,include,!=
feature tree,represent,hierarchical structure variability model
uvl,support,feature cardinality
uvl,grammar,antlr base parser
uvl,support,boolean level
cross-tree constraints,allow,sum aggregate
attribute aggregate,include,avg
uvl,include concept,cross-tree constraints
group cardinality,concern,parent-children relationships
arithmetic level,provide,arithmetic core
uvl,tool support,visual studio code extension
uvl,transform,ivml
numeric operation,include,floor
cross-tree constraints,include,parenthesisconstraint
uvl,tool support,uvl playground
feature tree,allow,feature cardinality
uvl,be,uvl
uvl,repository exchange,uvlhub
arithmetic core,support,<
language extension,include,boolean level
feature tree,allow,group cardinality
cross-tree constraints,use,propositional logic
boolean core,include,cross-tree constraints
cross-tree constraints,consist,operation
uvl,tool support,antlr base parser
cross-tree constraints,support,operation
feature tree,include,attribute
type numeric-constraints,allow,len operation
language extension,organize,language level
cross-tree constraints,belong,boolean level
uvl,support,type core
string operation,include,comparison string feature constraint
uvl,support,arithmetic level
standard arithmetic operation,include,<
uvl,include concept,or
uvl,tool support,uvl.js
uvl,support,type level
arithmetic core,support,+
arithmetic.aggregate-function,extend,arithmetic level
cross-tree constraints,support,literal reference
uvl,grammar include,namespace
standard arithmetic operation,include,+
cross-tree constraints,allow,great comparison
language extension,include,arithmetic level
type level,support,string feature
boolean core,be,boolean level
cross-tree constraints,allow,len operation
feature cardinality,allow,select single feature n m time
feature tree,include,optional
cross-tree constraints,allow,flooroperation
type level,contain,type string-constraints
cross-tree constraints,specify,variability model constraint
cross-tree constraints,allow,avg aggregate
feature tree,support,group
cross-tree constraints,define,feature
