Subject,Predicate,Object
uvl,support,avg function
extension mechanism,favor,half modevar participant
numeric constraint,apply,constant
boolean level feature,incorporate,uvl core language
uvl,core feature include,or
uvl,transform,ivml
uvl,support,string feature
uvl,declaration keyword,include
predicate,fully include,==
require relationship,imply,inclusion statement
arithmetic operation,fully include,feature-cardinality
type level,allow,comparison string feature
uvl,be,extensibility
aggregate function,fully include,floor
boolean level feature,contain,simple core language
boolean level feature,group type include,or
arithmetic operation,permit,numeric feature
uvl,support,group keyword
boolean level cross-tree constraints,predicate use operator,==
uvl,use,line break end statement
boolean level feature,support,optional minor feature
uvl,fully include,arithmetic level
arithmetic operation,fully include,>=
import mechanism,support,feature tree
boolean level cross-tree constraints,define,dependencie feature
type core,conversion strategy,non-boolean feature attributes
numeric constraint,support operator,-
minor level,be,optional complex extension
language level,facilitate,optional complex extension
uvl,aim,widespread adoption
uvl,section,feature tree
boolean level cross-tree constraints,store,unify language variability modeling
boolean core,be,conversion target group cardinality
boolean level feature,fully include,equivalence constraint
uvl,support,feature tree
boolean level cross-tree constraints,support,implication
feature tree,know,feature diagram
uvl,support relationship,optional
uvl,grammar include,separate constraint
type level,fully include,string constraint
type level,enable,optional keyword
arithmetic operation,fully include,sub operator
arithmetic core,support,arithmetic multiplication
feature tree,component,variability
uvl,define,antlr4 parser generator
arithmetic core,use,-
uvl,design goal,information hiding
arithmetic operation,enable,addition
uvl,be,unify language variability modeling
boolean level cross-tree constraints,allow,division
uvl,aggregate function apply,ceil operation
include keyword,enable,minor level type level
extension mechanism,allow,store arbitrary datum
numeric constraint,resolve,boolean result
feature tree,locate,attached cross-tree constraint
arithmetic operation,categorize,majorlevel
uvl,introduce,string feature domain
uvl,developer,chico sundermann
uvl,support operator,-
boolean level cross-tree constraints,support,ceil operation
extension mechanism,simplifie store,tool-specific data
boolean level feature,fully include,relationship
boolean level cross-tree constraints,follow,feature tree section grammar
boolean level cross-tree constraints,visually represent,feature tree
string constraint,cross-tree constraints limited,string feature
boolean level feature,consist,group keyword
uvl,support,operator /
arithmetic operation,allow,term resolve boolean
uvl,enable,optional keyword
feature tree,be part of,variability
uvl,support operator,floor
arithmetic operation,fully include,/
uvl,integrate,ddueruem
uvl,core relationship,or
language extension,extend,uvl core language
uvl,fully include,implication constraint
type level,have,hierarchy
uvl,support,group descriptor
community,favor,arbitrary propositional constraint feature
uvl,be use for,tool interoperability
minor level,fully include,group-cardinality
boolean level cross-tree constraints,consist,equivalence constraint
attribute aggregate,fully include,sum
uvl,parse,python
arithmetic operation,support,support aggregate function
boolean level feature,be,optional complex extension
function constraint,fully include,sum
aggregate function,be,arithmetic level
boolean level cross-tree constraints,reference,namespace alias
language extension,be,generic
language extension,fully include,arithmetic level
uvl,fully include,import mechanism
boolean level cross-tree constraints,store,separate tree structure
language level,group feature,construct specific reasoning engine
arithmetic operation,restrict term,boolean result
arithmetic operation,use,equal operator
future extension,fully include,quantifier
type level,support,operator len
uvl,support operator,=>
boolean level cross-tree constraints,support operator,=>
uvl,use,include-keyword level declaration
uvl,be,extensible target language
boolean level feature,enable,include keyword
arithmetic operation,fully include,==
arithmetic operation,fully include,=
boolean level cross-tree constraints,fully include,exclude
boolean level feature,fully include,ceilconstraint
type level,be,base language level
type level,introduce,real feature
language extension,simplify,store arbitrary datum
type level,support,v4rdiac
arithmetic operation,support operator,>
boolean level cross-tree constraints,use,greater_equal operator
boolean level feature,use,operator |
