Subject,Predicate,Object
cross-tree constraints,contain,binary expression
uvl,denotedby,=> symbol
boolean level,be,major uvl language level
type level,define,ceil operation
namespace,denotedby,namespace keyword
language extension,contain,aggregate function
arithmetic level,support,cp representation
uvl,isdevelopedby,karlsruhe institute technology
aggregate function,be,minor language level
arithmetic level,support,< operator
string constraint,be,minor language level
boolean level,be,major level
uvl,denotedby,lenfunction
feature tree section,support,optional relationship
language extension,support,tailor language specification
boolean level,support,featureide
uvl,denotedby,alternative keyword
uvl,maintain,consortium institution
alternative relationship,denotedby,alternative
language extension,contain,feature cardinality
uvl,integrate,flamapy
uvl,contain,import section
boolean level,contain,=> operator
mandatory relationship,denotedby,optional feature
uvl,have,rust-based language server protocol
language extension,group,feature reasoning engine
boolean level,support,sat encode
arithmetic level,be,type level
type level,define,type feature
feature tree section,contain,float feature
type level,contain,string constraint
language extension,contain,aggregate-function
uvl,contain,constraint
major language level,extend,major uvl language level
cross-tree constraints,support,& operator
arithmetic level,support,subtraction operator -
cross-tree constraints,be,structural component feature model
feature tree section,support,model composition
arithmetic level,have,conversion strategy boolean level
type level,be,support travart
arithmetic level,support,comparison operation
predicate,contain,== operator
uvl,support,composition
uvl,support,java implementation
uvl,author,josé a. galindo
arithmetic level,support,feature attribute
type level,support,len function
cross-tree constraints,be,separate feature tree uvl
alternative relationship,denotedby,or
uvl,support,javascript implementation
type level,contain,type core
type level,support,cp representation
feature cardinality,be,minor level
uvl,author,chico sundermann
uvl,support,import mechanism
arithmetic level,support,great operator
predicate,contain,<= operator
boolean level,support,optional feature
group cardinality,be,boolean minor level
uvl,support,feature model
numeric-constraints,be,minor language level
cross-tree constraints,have,boolean variable
boolean level,support,cnf encoding
type level,have,conversion arithmetic level
type level,define,integer feature
uvl,integrate,travart
arithmetic level,support,smt representation
type level,denotedby,type
uvl,have,boolean minor level
cross-tree constraints,contain,term
feature tree section,contain,boolean variable
boolean level,define,optional relationship
uvl,support,extension mechanism
major language level,contain,base arithmetic level
arithmetic level,denotedby,<=
uvl,isdevelopedby,universidad de sevilla
parent-child relationship,denotedby,indentation
uvl,have,kevin feichtinger
arithmetic level,extend,boolean minor level
boolean level,be,type level basis
major language level,contain,boolean minor level
import declaration,denotedby,import
boolean core,contain,optional feature
arithmetic level,support,lesser equal operator <=
uvl,support,automate analysis
uvl,contain,feature section
cross-tree constraints,contain,>= operator
uvl,have,type level
predicate,contain,> operator
arithmetic level,be,smt problem
uvl,support,submodel composition
language extension,support,diverse modelling need
arithmetic level,support,aggregate function
language extension,permit,additional construct
language extension,contain,base arithmetic level
major language level,contain,type level
boolean level,have,boolean variable
boolean level,support,fm fact level
feature tree section,contain,optional group
boolean level,support,sat solver backend
type level,contain,string feature
boolean level,define,boolean core
uvl,denotedby,mandatory keyword
numeric-constraints,support,type level
uvl,integrate,pure::variant support level
arithmetic level,support,float constant
cross-tree constraints,support,reference submodel namespace
uvl,support,feature modeling standardization
uvl,define,feature attribute
arithmetic level,support,feature cardinality
uvl,isdevelopedby,johannes kepler university linz
major language level,support,expressiveness enhancement
type level,extend,base arithmetic level
feature,contain,group
arithmetic level,support,avg function
type level,support,smt representation
boolean level,contain,cross-tree constraints
uvl,denotedby,<=> operator
uvl,have,feature attribute
numeric-constraints,support,ceil operation
arithmetic level,support,conversion strategy boolean level
feature cardinality,be,minor language level
aggregate function,be,minor level
cross-tree constraints,have,separate block tree structure
boolean level,support,sit solver
uvl,contain,include section
cross-tree constraints,contain,multiplication operator *
uvl,support,support uvls
arithmetic level,support,sum
uvl,denotedby,constraint
uvl,denotedby,!
logic imply,denotedby,<=>
arithmetic level,support,multiplication operator
feature tree section,have,root feature
arithmetic level,support,addition operator +
type level,support,string-constraints
feature tree section,be,hierarchically arrange set feature
constraint section,denotedby,constraint
cross-tree constraints,support,boolean variable
uvl,support,featureide
uvl,define,alternative relationship
major language level,support,constraints numeric value
cross-tree constraints,support,| operator
cross-tree constraints,be,core concept boolean language level
type level,support,integer feature
arithmetic level,denotedby,+
uvl,have,alternative relationship
uvl,have,aggregate function
uvl,support,decompose model
uvl,define,feature cardinality
type level,support,float feature
boolean level,support,variability analysis
feature tree section,support,feature cardinality
logic imply,denotedby,=>
uvl,be,pivot language diverse software engineering tool
type level,support,conversion strategy boolean level
uvl,denotedby,feature keyword
feature tree section,have,unique feature identifier
numeric-constraints,be,minor level
cross-tree constraints,support,len function
uvl,have,cardinality keyword
feature tree section,contain,group
boolean level,support,sit instance encode
