Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,stands for,Universal Variability Language
1,UVL language,1,UVL language,is,a textual language
1,UVL language,1,UVL language,represents,feature models
1,UVL language,1,UVL language,is,human-readable
1,UVL language,1,UVL language,serves as,a pivot language
1,UVL language,1,UVL language,is,community-driven
1,UVL language,1,UVL language,has,Boolean level
1,UVL language,1,UVL language,has,Arithmetic level
1,UVL language,1,UVL language,has,Type level
1,UVL language,1,UVL language,supports,language extensions
1,UVL language,1,UVL language,is integrated into,FeatureIDE
1,UVL language,1,UVL language,is integrated into,flamapy
1,UVL language,1,UVL language,has parser implementation for,Python
1,UVL language,1,UVL language,has parser implementation for,Java
1,UVL language,1,UVL language,has parser implementation for,JavaScript
1,UVL language,1,UVL language,uses,ANTLR
1,UVL language,1,UVL language,uses,tree-like structure
1,UVL language,1,UVL language,represents,hierarchical structure
1,UVL language,1,UVL language,core includes,Mandatory relationship
1,UVL language,1,UVL language,core includes,Optional relationship
1,UVL language,1,UVL language,core includes,Or relationship
1,UVL language,1,UVL language,core includes,Alternative relationship
1,UVL language,1,UVL language,core includes,Cross-tree constraints
1,UVL language,1,UVL language,Boolean level includes,Group Cardinality
1,UVL language,1,UVL language,Arithmetic level includes,Arithmetic Core
1,UVL language,1,UVL language,Arithmetic level includes,Attribute aggregates
1,UVL language,1,UVL language,Arithmetic level includes,Feature Cardinality
1,UVL language,1,UVL language,Type level includes,Type Core
1,UVL language,1,UVL language,Type level includes,Type Numeric-Constraints
1,UVL language,1,UVL language,Type level includes,Type String-Constraints
1,UVL language,1,UVL language,is,a common textual exchange format
1,UVL language,1,UVL language,is,open-source
1,UVL language,1,UVL language,uses,nesting to describe hierarchy
1,UVL language,1,UVL language,uses,complete keywords
1,UVL language,1,UVL language,stores,cross-tree constraints separately
1,UVL language,1,UVL language,supports,decomposition
1,UVL language,1,UVL language,supports,composition
1,UVL language,1,UVL language,supports,conversion strategies between levels
1,UVL language,1,UVL language,is maintained by,a consortium of institutions
1,UVL language,1,UVL language,is,concise
1,UVL language,1,UVL language,uses,namespaces
1,UVL language,1,UVL language,uses,imports
1,UVL language,1,UVL language,allows,feature attributes
1,UVL language,1,UVL language,allows,feature cardinalities
1,UVL language,1,UVL language,allows,group cardinalities
1,UVL language,1,UVL language,supports,propositional logic constraints
1,UVL language,1,UVL language,supports,numeric constraints
1,UVL language,1,UVL language,supports,string constraints
1,UVL language,2,UVL language,stands for,Universal Variability Language
1,UVL language,2,UVL language,is,a textual variability modeling language
1,UVL language,2,UVL language,represents,feature models
1,UVL language,2,UVL language,is,human-readable
1,UVL language,2,UVL language,serves as,a pivot language
1,UVL language,2,UVL language,is,community-driven
1,UVL language,2,UVL language,is,concise
1,UVL language,2,UVL language,is,extensible
1,UVL language,2,UVL language,includes,Boolean level
1,UVL language,2,UVL language,includes,Arithmetic level
1,UVL language,2,UVL language,includes,Type level
1,UVL language,2,UVL language,has,a tree-like structure
1,UVL language,2,UVL language,represents,hierarchical structure
1,UVL language,2,UVL language,uses,nesting for hierarchy
1,UVL language,2,UVL language,uses,indentation for blocks
1,UVL language,2,UVL language,contains,features
1,UVL language,2,UVL language,contains,relationships
1,UVL language,2,UVL language,contains,cross-tree constraints
1,UVL language,2,UVL language,supports,namespaces
1,UVL language,2,UVL language,supports,imports
1,UVL language,2,UVL language,allows,feature attributes
1,UVL language,2,UVL language,allows,feature cardinalities
1,UVL language,2,UVL language,allows,group cardinalities
1,UVL language,2,UVL language,includes,Mandatory relationship
1,UVL language,2,UVL language,includes,Optional relationship
1,UVL language,2,UVL language,includes,Or relationship
1,UVL language,2,UVL language,includes,Alternative relationship
1,UVL language,2,UVL language,features,Boolean Core
1,UVL language,2,UVL language,features,Group Cardinality minor level
1,UVL language,2,UVL language,features,Arithmetic Core
1,UVL language,2,UVL language,features,Attribute aggregates minor level
1,UVL language,2,UVL language,features,Feature Cardinality minor level
1,UVL language,2,UVL language,features,Type Core
1,UVL language,2,UVL language,features,Type Numeric-Constraints minor level
1,UVL language,2,UVL language,features,Type String-Constraints minor level
1,UVL language,2,UVL language,supports,numeric constraints over feature attributes
1,UVL language,2,UVL language,supports,string features
1,UVL language,2,UVL language,supports,integer features
1,UVL language,2,UVL language,supports,float features
1,UVL language,2,UVL language,originated from,MODEVAR initiative
1,UVL language,2,UVL language,development started in,2018
1,UVL language,2,UVL language,is maintained by,a consortium of institutions
1,UVL language,2,UVL language,is integrated into,FeatureIDE
1,UVL language,2,UVL language,is integrated into,flamapy
1,UVL language,2,UVL language,is integrated into,pure::variants
1,UVL language,2,UVL language,is integrated into,TraVarT
1,UVL language,2,UVL language,is supported by,UVLS
1,UVL language,2,UVL language,has,ANTLR-based parser
1,UVL language,2,UVL language,has parser implementation for,Python
1,UVL language,2,UVL language,has parser implementation for,Java
1,UVL language,2,UVL language,has parser implementation for,JavaScript
1,UVL language,2,UVL language,uses,propositional logic for constraints
1,UVL language,2,UVL language,supports,model decomposition
1,UVL language,2,UVL language,is,an open-source format
1,UVL language,2,UVL language,uses,line breaks to end statements
1,UVL language,2,UVL language,uses,complete keywords
1,UVL language,2,UVL language,allows,abstract features
1,UVL language,2,UVL language,is,a common textual exchange format
1,UVL language,3,UVL language,stands for,Universal Variability Language
1,UVL language,3,UVL language,is,a textual variability modeling language
1,UVL language,3,UVL language,represents,feature models
1,UVL language,3,UVL language,is,community-driven
1,UVL language,3,UVL language,originated from,MODEVAR initiative
1,UVL language,3,UVL language,development started in,2018
1,UVL language,3,UVL language,is,human-readable
1,UVL language,3,UVL language,serves as,a pivot language
1,UVL language,3,UVL language,is,open-source
1,UVL language,3,UVL language,has,Boolean level
1,UVL language,3,UVL language,has,Arithmetic level
1,UVL language,3,UVL language,has,Type level
1,UVL language,3,UVL language,uses,tree-like structure
1,UVL language,3,UVL language,uses,nesting for hierarchy
1,UVL language,3,UVL language,uses,indentation for blocks
1,UVL language,3,UVL language,includes,mandatory relationship
1,UVL language,3,UVL language,includes,optional relationship
1,UVL language,3,UVL language,includes,or relationship
1,UVL language,3,UVL language,includes,alternative relationship
1,UVL language,3,UVL language,includes,cross-tree constraints
1,UVL language,3,UVL language,allows,feature attributes
1,UVL language,3,UVL language,supports,feature cardinality
1,UVL language,3,UVL language,supports,group cardinality
1,UVL language,3,UVL language,has,import mechanism
1,UVL language,3,UVL language,has,namespaces
1,UVL language,3,UVL language,uses,ANTLR parser generator
1,UVL language,3,UVL language,has parser for,Java
1,UVL language,3,UVL language,has parser for,Python
1,UVL language,3,UVL language,has parser for,JavaScript
1,UVL language,3,UVL language,integrated into,FeatureIDE
1,UVL language,3,UVL language,integrated into,flamapy
1,UVL language,3,UVL language,integrated into,TraVarT
1,UVL language,3,UVL language,integrated into,UVLS
1,UVL language,3,UVL language,integrated into,pure::variants
1,UVL language,3,UVL language,is,concise
1,UVL language,3,UVL language,is,extensible
1,UVL language,3,UVL language,supports,propositional logic
1,UVL language,3,UVL language,supports,numeric constraints
1,UVL language,3,UVL language,supports,string constraints
1,UVL language,3,UVL language,allows,abstract features
1,UVL language,3,UVL language,supports,model decomposition
1,UVL language,3,UVL language,supports,model composition
1,UVL language,3,UVL language,aims for,tool interoperability
1,UVL language,3,UVL language,maintains,UVLHub repository
1,UVL language,3,UVL language,design goals include,simplicity
1,UVL language,3,UVL language,design goals include,expressiveness
1,UVL language,3,UVL language,design goals include,information hiding
1,UVL language,3,UVL language,supports,conversion strategies between levels
1,UVL language,3,UVL language,uses,complete keywords
1,UVL language,3,UVL language,uses,line breaks for statement ending
1,UVL language,4,UVL language,stands for,Universal Variability Language
1,UVL language,4,UVL language,is,a textual variability modeling language
1,UVL language,4,UVL language,represents,feature models
1,UVL language,4,UVL language,is,human-readable
1,UVL language,4,UVL language,serves as,a pivot language
1,UVL language,4,UVL language,is,community-driven
1,UVL language,4,UVL language,originated from,MODEVAR initiative
1,UVL language,4,UVL language,development started in,2018
1,UVL language,4,UVL language,is structured into,Boolean major level
1,UVL language,4,UVL language,is structured into,Arithmetic major level
1,UVL language,4,UVL language,is structured into,Type major level
1,UVL language,4,UVL language,uses,tree-like structure
1,UVL language,4,UVL language,uses,nesting for hierarchy
1,UVL language,4,UVL language,uses,indentation for blocks
1,UVL language,4,UVL language,includes,Mandatory relationship
1,UVL language,4,UVL language,includes,Optional relationship
1,UVL language,4,UVL language,includes,Or relationship
1,UVL language,4,UVL language,includes,Alternative relationship
1,UVL language,4,UVL language,supports,cross-tree constraints
1,UVL language,4,UVL language,supports,feature attributes
1,UVL language,4,UVL language,supports,feature cardinalities
1,UVL language,4,UVL language,supports,group cardinalities
1,UVL language,4,UVL language,includes,import mechanism
1,UVL language,4,UVL language,uses,namespaces
1,UVL language,4,UVL language,uses,ANTLR for parser generation
1,UVL language,4,UVL language,has parser implementation for,Java
1,UVL language,4,UVL language,has parser implementation for,Python
1,UVL language,4,UVL language,has parser implementation for,JavaScript
1,UVL language,4,UVL language,is integrated into,FeatureIDE
1,UVL language,4,UVL language,is integrated into,flamapy
1,UVL language,4,UVL language,is integrated into,TRAVART
1,UVL language,4,UVL language,is,open-source
1,UVL language,4,UVL language,uses,complete keywords
1,UVL language,4,UVL language,uses,line breaks for statement endings
1,UVL language,4,UVL language,allows,model decomposition
1,UVL language,4,UVL language,allows,abstract features
1,UVL language,4,UVL language,supports,propositional logic
1,UVL language,4,UVL language,supports,numeric constraints
1,UVL language,4,UVL language,supports,string constraints
1,UVL language,4,UVL language,includes minor level,Group Cardinality
1,UVL language,4,UVL language,includes minor level,Attribute aggregates
1,UVL language,4,UVL language,includes minor level,Feature Cardinality
1,UVL language,4,UVL language,includes minor level,Type Numeric-Constraints
1,UVL language,4,UVL language,includes minor level,Type String-Constraints
1,UVL language,4,UVL language,provides,conversion strategies between levels
1,UVL language,4,UVL language,is,extensible
1,UVL language,4,UVL language,is,concise
1,UVL language,4,UVL language,uses,context-free grammar for specification
1,UVL language,4,UVL language,allows,tool-specific data storage via attributes
1,UVL language,4,UVL language,uses,identifiers protected by quotation marks for ambiguity
1,UVL language,5,UVL language,stands for,Universal Variability Language
1,UVL language,5,UVL language,is,a textual variability modeling language
1,UVL language,5,UVL language,represents,feature models
1,UVL language,5,UVL language,is,human-readable
1,UVL language,5,UVL language,serves as,a pivot language
1,UVL language,5,UVL language,is,community-driven
1,UVL language,5,UVL language,is,open-source
1,UVL language,5,UVL language,is,concise
1,UVL language,5,UVL language,is,extensible
1,UVL language,5,UVL language,originated from,MODEVAR initiative
1,UVL language,5,UVL language,development started in,2018
1,UVL language,5,UVL language,is licensed under,GNU Lesser General Public License
1,UVL language,5,UVL language,has,Boolean level
1,UVL language,5,UVL language,has,Arithmetic level
1,UVL language,5,UVL language,has,Type level
1,UVL language,5,UVL language,uses,tree-like structure
1,UVL language,5,UVL language,represents,hierarchical structure
1,UVL language,5,UVL language,uses,nesting to describe hierarchy
1,UVL language,5,UVL language,uses,indentation for blocks
1,UVL language,5,UVL language,uses,complete keywords
1,UVL language,5,UVL language,includes,mandatory relationship
1,UVL language,5,UVL language,includes,optional relationship
1,UVL language,5,UVL language,includes,or relationship
1,UVL language,5,UVL language,includes,alternative relationship
1,UVL language,5,UVL language,includes,cross-tree constraints
1,UVL language,5,UVL language,supports,namespaces
1,UVL language,5,UVL language,supports,imports
1,UVL language,5,UVL language,allows,feature attributes
1,UVL language,5,UVL language,allows,feature cardinalities
1,UVL language,5,UVL language,allows,group cardinalities
1,UVL language,5,UVL language,allows,abstract features
1,UVL language,5,UVL language,supports,propositional logic
1,UVL language,5,UVL language,supports,numeric constraints
1,UVL language,5,UVL language,supports,string constraints
1,UVL language,5,UVL language,features minor level,Group Cardinality
1,UVL language,5,UVL language,features minor level,Attribute aggregates
1,UVL language,5,UVL language,features minor level,Feature Cardinality
1,UVL language,5,UVL language,features minor level,Type Numeric-Constraints
1,UVL language,5,UVL language,features minor level,Type String-Constraints
1,UVL language,5,UVL language,provides,conversion strategies between levels
1,UVL language,5,UVL language,is integrated into,FeatureIDE
1,UVL language,5,UVL language,is integrated into,flamapy
1,UVL language,5,UVL language,is integrated into,TraVarT
1,UVL language,5,UVL language,is integrated into,pure::variants
1,UVL language,5,UVL language,is integrated into,ddueruem
1,UVL language,5,UVL language,is integrated into,FM Fact Label
1,UVL language,5,UVL language,is integrated into,V4rdiac
1,UVL language,5,UVL language,is supported by,UVLS
1,UVL language,5,UVL language,uses,ANTLR parser generator
1,UVL language,5,UVL language,has parser implementation for,Java
1,UVL language,5,UVL language,has parser implementation for,Python
1,UVL language,5,UVL language,has parser implementation for,JavaScript
1,UVL language,5,UVL language,has models available in,UVLHub repository
2,Language extensions,1,Language extensions,enhance,expressiveness
2,Language extensions,1,Language extensions,accommodate,diverse modeling needs
2,Language extensions,1,Language extensions,encapsulate,language constructs
2,Language extensions,1,Language extensions,extend,UVL core language
2,Language extensions,1,Language extensions,are,optional
2,Language extensions,1,Language extensions,are known as,language levels
2,Language extensions,1,Language extensions,allow,tailoring models to specific use cases
2,Language extensions,1,Language extensions,allow,tailoring models to tool limitations
2,Language extensions,1,Language extensions,are enabled via,include keyword
2,Language extensions,1,Language extensions,are grouped by,reasoning engines
2,Language extensions,1,Minor language levels,are,optional extensions of major levels
2,Language extensions,1,Extension mechanism,adds,sophisticated language properties
2,Language extensions,1,Extension mechanism,maintains,simple base language
2,Language extensions,1,Extension mechanism,allows,arbitrary data storage
2,Language extensions,1,Extension mechanism,uses,feature attributes for tool-specific data
