Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,is,Universal Variability Language
1,UVL language,1,UVL language,is,textual specification for feature models
1,UVL language,1,UVL language,is,community effort
1,UVL language,1,UVL language,is,textual notation for variability models
1,UVL language,1,UVL language,developed by,MODEVAR initiative
1,UVL language,1,UVL language,aims for,widespread adoption
1,UVL language,1,UVL language,describes,feature tree hierarchy
1,UVL language,1,UVL language,supports,alternative parent-child relationships
1,UVL language,1,UVL language,supports,or parent-child relationships
1,UVL language,1,UVL language,supports,mandatory parent-child relationships
1,UVL language,1,UVL language,supports,optional parent-child relationships
1,UVL language,1,UVL language,supports,propositional logic constraints
1,UVL language,1,UVL language,supports,& operator
1,UVL language,1,UVL language,supports,| operator
1,UVL language,1,UVL language,supports,=> operator
1,UVL language,1,UVL language,supports,<=> operator
1,UVL language,1,UVL language,contains,import mechanism
1,UVL language,1,UVL language,includes,optional language levels
1,UVL language,1,UVL language,includes,Boolean level
1,UVL language,1,UVL language,includes,Arithmetic level
1,UVL language,1,UVL language,includes,Type level
1,UVL language,1,UVL language,supports,group cardinalities
1,UVL language,1,UVL language,supports,numeric constraints
1,UVL language,1,UVL language,supports,feature cardinalities
1,UVL language,1,UVL language,supports,aggregate functions
1,UVL language,1,UVL language,supports,sum function
1,UVL language,1,UVL language,supports,avg function
1,UVL language,1,UVL language,features,real features
1,UVL language,1,UVL language,features,integer features
1,UVL language,1,UVL language,features,string features
1,UVL language,1,UVL language,supports,string constraints
1,UVL language,1,UVL language,supports,len function
1,UVL language,1,UVL language,supports,== equality operator
1,UVL language,1,UVL language,uses,include-keyword for level declaration
1,UVL language,1,UVL language,provides,conversion strategies
1,UVL language,2,UVL language,is,community effort
1,UVL language,2,UVL language,is,textual specification
1,UVL language,2,UVL language,specification target,feature models
1,UVL language,2,UVL language,initiative,MODEVAR
1,UVL language,2,UVL language,notation type,textual
1,UVL language,2,UVL language,core hierarchy,tree hierarchy
1,UVL language,2,UVL language,core relationship,alternative
1,UVL language,2,UVL language,core relationship,or
1,UVL language,2,UVL language,core relationship,mandatory
1,UVL language,2,UVL language,core relationship,optional
1,UVL language,2,UVL language,constraint type,propositional logic
1,UVL language,2,UVL language,operator,&
1,UVL language,2,UVL language,operator,|
1,UVL language,2,UVL language,operator,=>
1,UVL language,2,UVL language,operator,<=>
1,UVL language,2,UVL language,mechanism,imports
1,UVL language,2,UVL language,contains,language levels
1,UVL language,2,UVL language,level,Boolean level
1,UVL language,2,UVL language,level,Arithmetic level
1,UVL language,2,UVL language,level,Type level
1,UVL language,2,UVL language,Boolean minor level,group cardinality
1,UVL language,2,UVL language,Arithmetic level feature,numeric constraints
1,UVL language,2,UVL language,Arithmetic operator,+
1,UVL language,2,UVL language,Arithmetic operator,-
1,UVL language,2,UVL language,Arithmetic operator,*
1,UVL language,2,UVL language,Arithmetic operator,/
1,UVL language,2,UVL language,Arithmetic operator,==
