Subject,Predicate,Object
type level,used for,mandatory
uvl,used for,tables
uvl,used for,intl
uvl,used for,manuals
uvl,used for,actions
boolean level,contains,excludes
uvl,used for,returns
uvl,used for,tools
uvl,used for,dissertations
boolean level,specifies,requires constraints
boolean level,representation,xml
uvl,used for,evalerror
language extensions,are used in,uvl
type level,includes,alternative
language extensions,support,feature model extensions
uvl,used for,instances
boolean level,described,uvl abstraction level
language extensions,define,new constraint types
language extensions,mechanism,language evolution
uvl,used for,implements
type level,used for,cardinality
uvl,used for,domains
boolean level,contains,requires statements
type level,is part of,uvl metamodel
uvl,used for,use
uvl,used for,proxy
language extensions,allow,adding new features
type level,defines,feature cardinalities
uvl,used for,conferences
uvl,used for,assignment operators
uvl,used for,defaults
uvl,used for,literals
type level,defines,feature types
boolean level,features,mandatory
uvl,used for,referenceerror
language extensions,related,uvl
uvl,used for,guides
uvl,implemented,python
language extensions,defines,dsls
uvl,implemented,java
boolean level,is above,arithmetic level
boolean level,constraints include,require
uvl,used for,tutorials
uvl,used for,performanceobserver
uvl,used for,svg
uvl,used for,standards
type level,is a,variability modeling level
type level,includes,integer type
uvl,used for,expressions
uvl,used for,headers
uvl,used for,matrices
language extensions,can be,implemented
uvl,used for,arrays
uvl,used for,workshops
uvl,used for,lists
uvl,used for,url
type level,used for,optional
type level,defines,feature model structure
uvl,used for,void
uvl,used for,analysis
type level,abstracted,concrete syntax
uvl,used for,iterators
uvl,used for,reports
language extensions,enable,dsl integration
uvl,used for,loops
type level,represented,uvl json format
uvl,used for,performancepainttiming
uvl,used for,sets
uvl,used for,performancemark
uvl,used for,else
uvl,used for,interpreters
uvl,used for,webaudio
language extensions,provide,flexibility
type level,is a,feature model level
uvl,used for,assignments
uvl,used for,by
boolean level,features,optional
uvl,used for,applications
uvl,used for,folders
uvl,used for,apis
uvl,used for,graphs
boolean level,precedes,type level
uvl,used for,comments
uvl,used for,navigator
uvl,used for,nan
uvl,used for,do
uvl,used for,math
language extensions,define,new attribute types
uvl,used for,comparisons
type level,used for,or
uvl,used for,serializers
uvl,used for,eval
boolean level,precedes,arithmetic level
uvl,used for,reasoning
language extensions,facilitate,adding new constraints
uvl,used for,declarations
uvl,used for,performance
uvl,used for,case studies
uvl,used for,performancelongtasktiming
uvl,used for,operators
uvl,used for,formdata
uvl,used for,documents
uvl,used for,comparison operators
uvl,used for,methods
boolean level,operates,feature model level
uvl,used for,sequences
type level,distinct,feature model level
uvl,used for,yield
language extensions,are,optional
uvl,used for,modules
uvl,used for,console
uvl,is part of,variability analysis tools
uvl,used for,typeof
uvl,used for,records
uvl,used for,blob
type level,used for,primitive types
uvl,used for,experiments
uvl,used for,const
uvl,used for,debugger
boolean level,represented,adding new constraints
language extensions,can be,user-defined
uvl,used for,stores
uvl,used for,async
boolean level,enables,configuration decisions
uvl,used for,new
uvl,used for,abortcontroller
uvl,used for,json
boolean level,defines,feature model structure
uvl,used for,weakmap
language extensions,allow,custom syntax
uvl,used for,chapters
uvl,used for,tuples
boolean level,representation,json
uvl,used for,frameworks
uvl,used for,urierror
uvl,used for,operations
uvl,used for,labels
language extensions,requires,meta-model extension
uvl,used for,transitions
uvl,used for,elements
uvl,used for,deserializers
uvl,used for,visualization
uvl,used for,rangeerror
type level,is a,concept
uvl,used for,reflect
uvl,used for,models
language extensions,define,new semantic checks
language extensions,enable,customization
uvl,used for,software product lines
uvl,used for,annotations
boolean level,specifies,presence conditions
uvl,used for,product derivation
uvl,used for,throws
uvl,used for,transformstream
uvl,used for,indexeddb
uvl,used for,solvers
boolean level,is part of,uvllayered structure
type level,includes,mandatory
uvl,used for,location
uvl,used for,entries
uvl,used for,window
uvl,used for,repositories
uvl,used for,abortsignal
uvl,used for,fields
uvl,used for,webvr
type level,used for,concrete features
uvl,used for,as
language extensions,define,feature types
boolean level,features,alternative groups
boolean level,defines,feature model constraints
uvl,used for,items
uvl,used for,interfaces
uvl,implemented,javascript
uvl,used for,procedures
uvl,defines,grammar rules
boolean level,used for,propositional formulas
uvl,used for,books
uvl,used for,body
uvl,used for,transformers
uvl,used for,webrtc
uvl,used for,ternary operators
uvl,used for,configuration
boolean level,specifies,alternative groups
language extensions,defines,grammar rules
uvl,used for,request
uvl,used for,var
uvl,used for,proceedings
uvl,used for,null
uvl,used for,editors
uvl,used for,articles
uvl,used for,generators
uvl,used for,if
uvl,used for,research
uvl,used for,sharedworker
uvl,used for,references
uvl,described,academic publications
uvl,used for,attribute level
uvl,used for,canvas
uvl,used for,services
uvl,used for,writablestream
uvl,used for,promise
uvl,used for,gotos
type level,distinct,group level
type level,is a,uvl abstraction level
uvl,used for,libraries
uvl,used for,checkers
type level,includes,enumeration type
type level,is above,instance level
uvl,used for,boolean type
type level,includes,optional
uvl,used for,tries
type level,includes,real type
uvl,used for,performancenavigationtiming
uvl,used for,instanceof
uvl,standardized,uvl
uvl,used for,properties
type level,includes,string type
uvl,used for,catalogs
uvl,used for,journals
uvl,used for,constants
uvl,used for,variability modeling level
uvl,used for,projects
uvl,used for,systems
language extensions,specify,grammar rules
uvl,described,technical reports
uvl,used for,response
uvl,used for,papers
uvl,used for,serviceworker
uvl,used for,converters
uvl,used for,worker
uvl,used for,super
uvl,used for,urlsearchparams
uvl,used for,switches
uvl,used for,sessionstorage
type level,used for,alternative
uvl,used for,bytelengthqueuingstrategy
uvl,used for,formats
uvl,used for,performanceresourcetiming
boolean level,includes,logical cross-tree constraints
uvl,described,user guide
uvl,used for,diagrams
boolean level,used for,boolean type
uvl,used for,unary operators
uvl,used for,files
language extensions,can be,domain-specific
uvl,used for,performanceeventtiming
uvl,used for,compilers
language extensions,allow,adding new constructs
language extensions,related,uvl meta-model
uvl,used for,date
uvl,used for,filereader
uvl,used for,performanceservertiming
uvl,is part of,vave
uvl,used for,cases
type level,includes,or
uvl,used for,let
boolean level,represented,feature tree
uvl,used for,key-value pairs
uvl,used for,regexp
uvl,used for,education
uvl,used for,transformation
uvl,used for,variables
uvl,used for,documentation
uvl,used for,xmlhttprequest
uvl,used for,syntaxerror
type level,is above,feature model level
language extensions,allow,adding new constraints
uvl,used for,indexes
uvl,used for,databases
uvl,used for,symbol
uvl,used for,conditions
uvl,used for,engines
language extensions,facilitate,tailoring uvl
uvl,used for,bitwise operators
uvl,used for,numbers
language extensions,can be,formalized
uvl,used for,extends
uvl,used for,webgl
uvl,used for,invocations
uvl,used for,theses
uvl,used for,industry
uvl,used for,definitions
uvl,used for,parsers
boolean level,is a,uvl abstraction level
uvl,used for,specifications
uvl,used for,await
language extensions,allow,additional semantics
uvl,used for,evaluations
uvl,used for,catches
boolean level,is above,attribute level
uvl,hosted,github
uvl,used for,objects
language extensions,can be,mandatory
