Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL language,full name,Universal Variability Language
1,UVL language,0,UVL language,domain,software product line engineering
1,UVL language,0,UVL language,purpose,modeling variability
1,UVL language,0,UVL language,model type,feature model
1,UVL language,0,UVL language,represents,features
1,UVL language,0,UVL language,represents,attributes
1,UVL language,0,UVL language,represents,constraints
1,UVL language,0,UVL language,represents,feature hierarchy
1,UVL language,0,UVL language,represents,feature groups
1,UVL language,0,UVL language,represents,cross tree constraints
1,UVL language,0,UVL language,syntax type,textual DSL
1,UVL language,0,UVL language,file extension,uvl
1,UVL language,0,UVL language,supports,mandatory feature
1,UVL language,0,UVL language,supports,optional feature
1,UVL language,0,UVL language,supports,alternative group
1,UVL language,0,UVL language,supports,or group
1,UVL language,0,UVL language,supports,cardinality based groups
1,UVL language,0,UVL language,supports,requires constraint
1,UVL language,0,UVL language,supports,excludes constraint
1,UVL language,0,UVL language,supports,boolean attributes
1,UVL language,0,UVL language,supports,integer attributes
1,UVL language,0,UVL language,supports,string attributes
1,UVL language,0,UVL language,supports,enumeration attributes
1,UVL language,1,UVL language,full name,Universal Variability Language
1,UVL language,1,UVL language,type,variability modeling language
1,UVL language,1,UVL language,domain,software product lines
1,UVL language,1,UVL language,used for,feature modeling
1,UVL language,1,UVL language,used for,variability modeling
1,UVL language,1,UVL language,provides,textual syntax
1,UVL language,1,UVL language,represents,feature models
1,UVL language,1,UVL language,supports,feature hierarchy
1,UVL language,1,UVL language,supports,mandatory feature
1,UVL language,1,UVL language,supports,optional feature
1,UVL language,1,UVL language,supports,feature groups
1,UVL language,1,UVL language,supports,alternative group
1,UVL language,1,UVL language,supports,or group
1,UVL language,1,UVL language,supports,cross tree constraints
1,UVL language,1,UVL language,supports,requires constraint
1,UVL language,1,UVL language,supports,excludes constraint
1,UVL language,1,UVL language,supports,attributes
1,UVL language,1,UVL language,supports,attribute types
1,UVL language,1,UVL language,supports,integer attribute
1,UVL language,1,UVL language,supports,boolean attribute
1,UVL language,1,UVL language,supports,string attribute
1,UVL language,1,UVL language,supports,enumeration attribute
1,UVL language,1,UVL language,supports,cardinality based groups
1,UVL language,1,UVL language,can be parsed by,UVL parser
1,UVL language,1,UVL language,goal,tool interoperability
1,UVL language,1,UVL language,goal,standardized exchange format
1,UVL language,2,UVL language,full name,Universal Variability Language
1,UVL language,2,UVL language,abbreviation,UVL
1,UVL language,2,UVL language,domain,software product line engineering
1,UVL language,2,UVL language,domain,variability modeling
1,UVL language,2,UVL language,used for,feature modeling
1,UVL language,2,UVL language,used for,product line variability specification
1,UVL language,2,UVL language,supports,feature hierarchies
1,UVL language,2,UVL language,supports,mandatory features
1,UVL language,2,UVL language,supports,optional features
1,UVL language,2,UVL language,supports,alternative groups
1,UVL language,2,UVL language,supports,or groups
1,UVL language,2,UVL language,supports,cross tree constraints
1,UVL language,2,UVL language,supports,requires constraints
1,UVL language,2,UVL language,supports,excludes constraints
1,UVL language,2,UVL language,supports,attributes
1,UVL language,2,UVL language,supports,cardinality based feature groups
1,UVL language,2,UVL language,representation,textual language
1,UVL language,2,UVL language,goal,tool independent variability exchange
1,UVL language,2,UVL language,goal,standardized variability modeling notation
1,UVL language,3,UVL language,full name,Universal Variability Language
1,UVL language,3,UVL language,type,variability modeling language
1,UVL language,3,UVL language,domain,software product lines
1,UVL language,3,UVL language,purpose,modeling feature models
1,UVL language,3,UVL language,artifact type,textual DSL
1,UVL language,3,UVL language,supports,feature hierarchies
1,UVL language,3,UVL language,supports,mandatory features
1,UVL language,3,UVL language,supports,optional features
1,UVL language,3,UVL language,supports,alternative groups
1,UVL language,3,UVL language,supports,or groups
1,UVL language,3,UVL language,supports,cross tree constraints
1,UVL language,3,UVL language,uses,boolean constraints
1,UVL language,3,UVL language,integrates with,FeatureIDE
1,UVL language,4,UVL language,full name,Universal Variability Language
1,UVL language,4,UVL language,abbreviation,UVL
1,UVL language,4,UVL language,domain,software product line variability modeling
1,UVL language,4,UVL language,purpose,define variability models
1,UVL language,4,UVL language,modeling construct,feature
1,UVL language,4,UVL language,modeling construct,feature group
1,UVL language,4,UVL language,modeling construct,attribute
1,UVL language,4,UVL language,modeling construct,constraint
1,UVL language,4,UVL language,modeling construct,cardinality
1,UVL language,4,UVL language,supports,feature models
1,UVL language,4,UVL language,supports,cross tree constraints
1,UVL language,4,UVL language,syntax type,textual
1,UVL language,4,UVL language,designed for,tool interoperability
1,UVL language,4,UVL language,designed for,exchange format for variability models
2,Language extensions,0,UVL Universal Variability Language,has concept,language extensions
2,Language extensions,0,language extensions,extends,UVL Universal Variability Language
2,Language extensions,0,language extensions,adds,additional syntax
2,Language extensions,0,language extensions,adds,additional semantics
2,Language extensions,0,language extensions,used for,domain specific constructs
2,Language extensions,0,language extensions,used for,tool specific constructs
2,Language extensions,1,Language extensions,related to,UVL Universal Variability Language
2,Language extensions,1,Language extensions,enable,extending UVL syntax
2,Language extensions,1,Language extensions,enable,extending UVL semantics
2,Language extensions,1,Language extensions,used for,domain specific variability constructs
2,Language extensions,2,UVL Universal Variability Language,supports,language extensions
2,Language extensions,2,language extensions,enable,additional syntax constructs
2,Language extensions,2,language extensions,enable,additional semantics
2,Language extensions,2,language extensions,can be used for,domain specific variability modeling
2,Language extensions,2,language extensions,can be used for,tool specific annotations
2,Language extensions,3,Language extensions,related to,UVL Universal Variability Language
2,Language extensions,3,Language extensions,category,UVL feature
2,Language extensions,3,Language extensions,used for,extending UVL syntax
2,Language extensions,3,Language extensions,used for,extending UVL semantics
2,Language extensions,4,UVL Universal Variability Language,supports,language extensions
2,Language extensions,4,Language extensions,extend,UVL Universal Variability Language
2,Language extensions,4,Language extensions,add,additional syntax
2,Language extensions,4,Language extensions,add,additional semantics
2,Language extensions,4,Language extensions,enable,custom constructs
