Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL language,is a,variability modeling language
1,UVL language,0,UVL language,is based on,feature models
1,UVL language,0,UVL language,supports,cross-tree constraints
1,UVL language,0,UVL language,supports,attributes
1,UVL language,0,UVL language,supports,group cardinalities
1,UVL language,0,UVL language,is,human-readable
1,UVL language,0,UVL language,is,machine-readable
1,UVL language,0,UVL language,uses,textual syntax
1,UVL language,0,UVL language,is,platform-independent
1,UVL language,0,UVL language,is,tool-agnostic
1,UVL language,0,UVL language,supports,hierarchical decomposition
1,UVL language,0,UVL language,supports,mandatory features
1,UVL language,0,UVL language,supports,optional features
1,UVL language,0,UVL language,supports,alternative groups
1,UVL language,0,UVL language,supports,or groups
1,UVL language,0,UVL language,is designed for,Software Product Lines
1,UVL language,0,UVL language,is designed for,Domain Engineering
1,UVL language,1,UVL,is,Variability Modeling Language
1,UVL language,1,UVL,is,Human Readable
1,UVL language,1,UVL,supports,Feature Models
1,UVL language,1,UVL,supports,Cross Tree Constraints
1,UVL language,1,UVL,supports,Attributes
1,UVL language,1,UVL,supports,Group Cardinalities
1,UVL language,1,UVL,uses,Textual Syntax
1,UVL language,1,UVL,is,Standardized by SPLC
1,UVL language,1,UVL,is,Platform Independent
1,UVL language,1,UVL,is,Machine Readable
1,UVL language,1,UVL,supports,Mandatory Features
1,UVL language,1,UVL,supports,Optional Features
1,UVL language,1,UVL,supports,Alternative Groups
1,UVL language,1,UVL,supports,Or Groups
1,UVL language,1,UVL,supports,Boolean Constraints
1,UVL language,1,UVL,supports,Numeric Constraints
1,UVL language,2,UVL,is,Variability Modeling Language
1,UVL language,2,UVL,is,Domain Specific Language
1,UVL language,2,UVL,supports,Feature Models
1,UVL language,2,UVL,supports,Cross-tree Constraints
1,UVL language,2,UVL,supports,Attributes
1,UVL language,2,UVL,supports,Group Cardinalities
1,UVL language,2,UVL,uses,Textual Syntax
1,UVL language,2,UVL,is,Human Readable
1,UVL language,2,UVL,is,Machine Readable
1,UVL language,2,UVL,promotes,Interoperability
1,UVL language,2,UVL,supports,Mandatory Features
1,UVL language,2,UVL,supports,Optional Features
1,UVL language,2,UVL,supports,Alternative Groups
1,UVL language,2,UVL,supports,Or Groups
1,UVL language,2,UVL,supports,Boolean Constraints
1,UVL language,2,UVL,supports,Numeric Constraints
1,UVL language,2,UVL,supports,String Constraints
1,UVL language,3,UVL,is,Variability Modeling Language
1,UVL language,3,UVL,is,Standardized Language
1,UVL language,3,UVL,supports,Feature Models
1,UVL language,3,UVL,supports,Cross-tree Constraints
1,UVL language,3,UVL,supports,Attributes
1,UVL language,3,UVL,supports,Group Cardinalities
1,UVL language,3,UVL,supports,Mandatory Features
1,UVL language,3,UVL,supports,Optional Features
1,UVL language,3,UVL,supports,Alternative Groups
1,UVL language,3,UVL,supports,Or Groups
1,UVL language,3,UVL,is,Human Readable
1,UVL language,3,UVL,is,Machine Readable
1,UVL language,3,UVL,uses,Indentation Based Syntax
1,UVL language,3,UVL,is,Platform Independent
1,UVL language,3,UVL,is,Tool Agnostic
1,UVL language,4,UVL language,is,variability modeling language
1,UVL language,4,UVL language,supports,feature models
1,UVL language,4,UVL language,supports,cross-tree constraints
1,UVL language,4,UVL language,supports,attributes
1,UVL language,4,UVL language,supports,cardinalities
1,UVL language,4,UVL language,is,text-based
1,UVL language,4,UVL language,is,human-readable
1,UVL language,4,UVL language,is,machine-readable
1,UVL language,4,UVL language,promotes,interoperability
1,UVL language,4,UVL language,uses,indentation for hierarchy
1,UVL language,4,UVL language,is,standardized by UVL community
1,UVL language,4,UVL language,replaces,proprietary variability formats
1,UVL language,4,UVL language,supports,nested features
1,UVL language,4,UVL language,supports,mandatory features
1,UVL language,4,UVL language,supports,optional features
1,UVL language,4,UVL language,supports,alternative groups
1,UVL language,4,UVL language,supports,or groups
2,Language extensions,0,UVL language,supports,language extensions
2,Language extensions,0,UVL language,allows,custom constraints
2,Language extensions,0,UVL language,enables,domain specific semantics
2,Language extensions,0,UVL language,uses,extension mechanism
2,Language extensions,0,UVL language,supports,modular extensions
2,Language extensions,0,UVL language,integrates,external variability models
2,Language extensions,0,UVL language,facilitates,cross tree constraints
2,Language extensions,0,UVL language,allows,attribute extensions
2,Language extensions,0,UVL language,supports,user defined types
2,Language extensions,1,UVL language,supports,language extensions
2,Language extensions,1,Language extensions,enable,custom variability constraints
2,Language extensions,1,Language extensions,allow,domain specific syntax
2,Language extensions,1,Language extensions,improve,model expressiveness
2,Language extensions,1,Language extensions,facilitate,integration with external tools
2,Language extensions,1,Language extensions,extend,core UVL grammar
2,Language extensions,1,Language extensions,support,specialized variability semantics
2,Language extensions,2,UVL language,supports,language extensions
2,Language extensions,2,UVL language,allows,custom constraints
