Subject,Predicate,Object
cross-tree constraints,support,uvl grammar
uvl,be use for,software product line variability modeling
require constraint,mean,select feature mandate select feature
boolean level,support,group cardinality
boolean level,support,cross-tree constraints boolean logic
boolean level,refer,level feature modeling feature select select
boolean level,deal,binary variability decision
boolean level,allow,propositional logic constraint
uvl,propose,software product line community
feature tree,define,indentation-based notation uvl
uvl,support,group cardinality
boolean level,enable,extended cross-tree constraints
cross-tree constraints,relevant,product derivation
uvl,translate,sit formula
boolean level,define,basic feature hierarchy level
boolean level,use,propositional logic formula
cross-tree constraints,constrain,valid product configuration
cross-tree constraints,lead,false optional feature
feature tree,organize feature,parent-child relationships
boolean level,be above,arithmetic level
uvl,support,namespace declaration
feature tree,can have,multiple level nest
cross-tree constraints,represent,require constraint
type level,builds_upon,arithmetic level
language extension,relate,sat-level uvl
uvl,enable,interoperability feature modeling tool
boolean level,represent,basic level feature model uvl
language extension,example include,feature cardinality
boolean level,expressive,arithmetic level
arithmetic level,be a,core concept uvl universal variability language
boolean level,sufficient,feature model
type level,allows_specification_of,specification attribute type feature
feature tree,write uvl,cardinality-based feature groups
feature tree,group type include,group cardinality
boolean level,extend,set valid feature combinations cross-tree constraints
cross-tree constraints,use operator,negation constraint
type level,allow,specification attribute type feature
uvl,have,modular structure import namespace
exclude constraint,mean,select feature forbid select feature
type level,is_defined_in,uvl type system
uvl,support,uvls language server
cross-tree constraints,express,complex dependency feature
feature tree,group type include,group
arithmetic level,enable,comparison arithmetic expression
boolean level,represent feature,true false value
language extension,relate,smt-level uvl
uvl,support,uvl parser support
uvl,support,arithmetic constraint extension
feature tree,define,complex dependency feature
language extension,maintain,common core syntax
language extension,allow,add new construct base language
cross-tree constraints,evaluate,valid product configuration
uvl,present,splc conference
cross-tree constraints,relate feature,different branch feature tree
arithmetic level,extend,type level
uvl,section call,constraint section
uvl,evolve,early feature modeling notation
type level,belongs_to,uvl language modularity level
cross-tree constraints,can make,feature model analysis computationally hard
uvl,support,boolean constraint
uvl,root concept,root feature
language extension,originally introduce,new feature attribute
language extension,define,arithmetic-level constructs
uvl,support,feature cardinality
uvl,support,string attribute type
uvl,example include,boolean level
uvl,have,tree-shaped hierarchy
uvl,example include,type level
boolean level,support,propositional logic constraint
language extension,allow,domain-specific customization
uvl,section call,import
language extension,define,separate language module
uvl,be use in,valid product configuration
feature tree,child feature represent,sub-features parent feature
cross-tree constraints,encode,complex dependency feature
cross-tree constraints,lead,dead feature
uvl,support,sat-based analysis
cross-tree constraints,support,propositional logic formula
language extension,define,boolean-level constructs
cross-tree constraints,be part of,feature model
uvl,parsers available,rust
cross-tree constraints,example exclude form,feature exclude feature b
uvl,open source,specification
language extension,specify,uvl grammar
cross-tree constraints,represent,exclude constraint
feature tree,be a,core concept variability modeling
uvl,relate,splot format
uvl,support,nest feature tree
arithmetic level,support,addition operator
boolean level,allow,extended cross-tree constraints
language extension,identify,unique namespace identifier
type level,add,type annotation feature attribute
cross-tree constraints,use operator,logical
boolean level,be part of,constraints section uvl model
boolean level,extend,arithmetic level
type level,is_below,cardinality level
arithmetic level,extend,uvl type system
uvl,extensible,language level
feature tree,enforce,parent-child selection constraints
uvl,parsers available,java
uvl,support,uvlparser
feature tree,support,group cardinalitie uvl
