Subject,Predicate,Object
uvl,describe,academic publication
uvl,use in,solver
uvl,use in,body
language extension,can be,mandatory
uvl,use in,by
uvl,use in,standard
uvl,use in,state
uvl,use,transformation
type level,be above,feature level
language extension,enable,dsl integration
language extension,specify,grammar rule
uvl,use in,example
uvl,use in,date
uvl,use in,tool
language extension,require,tool support
uvl,use in,new
language extension,define,dsls
uvl,use in,engine
uvl,use in,webrtc
uvl,use in,instance
boolean level,representation,json
language extension,can be,implement
language extension,mechanism,language evolution
uvl,use in,urierror
uvl,use in,history
uvl,use in,do
language extension,relate,uvl meta-model
uvl,use in,field
uvl,use,software product line
uvl,use in,case study
uvl,use in,localstorage
uvl,use in,svg
uvl,use in,comparison operator
language extension,enhance,expressiveness
uvl,use in,break
language extension,can be,domain-specific
uvl,use in,default
language extension,enable,domain-specific adaptations
boolean level,be above,feature level
uvl,use in,tutorial
uvl,use in,report
uvl,use in,list
uvl,use in,environment
uvl,implement,python
boolean level,include,logical cross-tree constraints
uvl,use in,performanceservertime
uvl,use in,switch
type level,specify,feature model header
uvl,use in,indexeddb
uvl,use in,converter
uvl,use in,entry
uvl,use in,expression
boolean level,feature,optional
uvl,use in,transformstream
uvl,use in,performanceentry
language extension,be part of,uvlextensibility mechanism
uvl,use in,rangeerror
type level,use,mandatory
uvl,use in,table
uvl,host,github
uvl,use in,eventsource
uvl,implement,javascript
uvl,use in,tree
uvl,use in,catch
uvl,describe,technical report
language extension,enable,customization
uvl,use in,model
boolean level,representation,xml
boolean level,be above,arithmetic level
uvl,use,reasoning
language extension,can be,formalize
type level,be a,modeling variability
type level,be a,feature level
uvl,use in,implement
uvl,use in,webgl
type level,be a,concept
uvl,use in,var
uvl,use in,formdata
uvl,use in,performancemark
uvl,use in,dissertation
uvl,use in,iterator
language extension,facilitate,tailor uvl
uvl,use in,invocation
uvl,use in,require
type level,be a,uvl level
boolean level,define,feature model structure
uvl,use in,project
uvl,use in,fetch
uvl,use in,specification
uvl,use in,stream
type level,abstract,concrete syntax
type level,precede,cardinality level
type level,be a,uvl abstraction level
boolean level,enable,configuration
type level,distinct,feature level
language extension,allow,add new construct
boolean level,be for,configuration
boolean level,represent,feature tree
type level,use,concrete feature
uvl,use in,domain
uvl,use in,evalerror
uvl,use in,format
