Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL language,is acronym for,Universal Variability Language
1,UVL language,0,UVL language,is a,domain-specific language
1,UVL language,0,UVL language,is used for,modeling feature models
1,UVL language,0,UVL language,is used for,software product line variability modeling
1,UVL language,0,UVL language,supports,feature hierarchies
1,UVL language,0,UVL language,supports,cross-tree constraints
1,UVL language,0,UVL language,supports,group features
1,UVL language,0,UVL language,supports,mandatory features
1,UVL language,0,UVL language,supports,optional features
1,UVL language,0,UVL language,supports,alternative groups
1,UVL language,0,UVL language,supports,or groups
1,UVL language,0,UVL language,has,textual syntax
1,UVL language,0,UVL language,uses,indentation-based notation
1,UVL language,0,UVL language,is designed to be,human-readable
1,UVL language,0,UVL language,is designed to be,machine-processable
1,UVL language,0,UVL language,supports,feature attributes
1,UVL language,0,UVL language,supports,feature cardinalities
1,UVL language,0,UVL language,supports,group cardinalities
1,UVL language,0,UVL language,supports,type-level constraints
1,UVL language,0,UVL language,supports,boolean constraints
1,UVL language,0,UVL language,supports,arithmetic constraints
1,UVL language,0,UVL language,supports,string attributes
1,UVL language,0,UVL language,supports,integer attributes
1,UVL language,0,UVL language,supports,real attributes
1,UVL language,0,UVL language,supports,boolean attributes
1,UVL language,0,UVL language,was developed as,a community standard
1,UVL language,0,UVL language,aims to replace,proprietary variability modeling formats
1,UVL language,0,UVL language,is supported by,UVLPARSER
1,UVL language,0,UVL language,is supported by,FeatureIDE
1,UVL language,0,UVL language,is related to,SPLOT format
1,UVL language,0,UVL language,is related to,FeatureIDE XML format
1,UVL language,0,UVL language,is related to,DIMACS format
1,UVL language,0,UVL language,has,namespace support
1,UVL language,0,UVL language,has,import mechanism
1,UVL language,0,UVL language,supports,submodels
1,UVL language,0,UVL language,enables,tool interoperability
1,UVL language,0,UVL language,has,formal grammar
1,UVL language,0,UVL language,grammar is defined using,ANTLR
1,UVL language,0,UVL language,has file extension,.uvl
1,UVL language,0,UVL language,was proposed by,the software product line community
1,UVL language,0,UVL language,supports,includes keyword for imports
1,UVL language,0,UVL language,has section,features
1,UVL language,0,UVL language,has section,constraints
1,UVL language,0,UVL language,has section,imports
1,UVL language,0,UVL language,has section,namespace
1,UVL language,0,UVL language,supports,nested feature trees
1,UVL language,0,UVL language,can be analyzed by,SAT solvers
1,UVL language,0,UVL language,can be analyzed by,SMT solvers
1,UVL language,0,UVL language,can be analyzed by,BDD-based tools
1,UVL language,0,UVL language,supports,configuration validation
1,UVL language,0,UVL language,is used in,variability analysis
1,UVL language,0,UVL language,is used in,product configuration
1,UVL language,0,UVL language,supports,language levels
1,UVL language,0,UVL language,has level,Boolean level
1,UVL language,0,UVL language,has level,Arithmetic level
1,UVL language,0,UVL language,has level,Type level
1,UVL language,1,UVL language,is acronym for,Universal Variability Language
1,UVL language,1,UVL language,is a,domain-specific language
1,UVL language,1,UVL language,is used for,modeling feature models
1,UVL language,1,UVL language,is used for,software product line variability modeling
1,UVL language,1,UVL language,supports,feature hierarchies
1,UVL language,1,UVL language,supports,cross-tree constraints
1,UVL language,1,UVL language,supports,group features
1,UVL language,1,UVL language,supports,mandatory features
1,UVL language,1,UVL language,supports,optional features
1,UVL language,1,UVL language,supports,alternative groups
1,UVL language,1,UVL language,supports,or groups
1,UVL language,1,UVL language,has,textual syntax
1,UVL language,1,UVL language,has,tree-like structure
1,UVL language,1,UVL language,uses,indentation-based notation
1,UVL language,1,UVL language,is designed to be,human-readable
1,UVL language,1,UVL language,is designed to be,tool-independent
1,UVL language,1,UVL language,serves as,exchange format for feature models
1,UVL language,1,UVL language,supports,feature attributes
1,UVL language,1,UVL language,supports,feature cardinalities
1,UVL language,1,UVL language,supports,group cardinalities
1,UVL language,1,UVL language,supports,type-level constraints
1,UVL language,1,UVL language,supports,Boolean constraints
1,UVL language,1,UVL language,supports,arithmetic constraints
1,UVL language,1,UVL language,supports,string attributes
1,UVL language,1,UVL language,supports,integer attributes
1,UVL language,1,UVL language,supports,real attributes
1,UVL language,1,UVL language,supports,Boolean attributes
1,UVL language,1,UVL language,was developed by,MODEVAR initiative
1,UVL language,1,UVL language,is related to,MODEVAR community
1,UVL language,1,UVL language,has,multiple language levels
1,UVL language,1,UVL language,has,Boolean level
1,UVL language,1,UVL language,has,arithmetic level
1,UVL language,1,UVL language,has,type level
1,UVL language,1,UVL language,can be parsed by,UVLS parser
1,UVL language,1,UVL language,can be integrated with,FeatureIDE
1,UVL language,1,UVL language,can be integrated with,Glencoe
1,UVL language,1,UVL language,aims to replace,proprietary feature model formats
1,UVL language,1,UVL language,supports,imports mechanism
1,UVL language,1,UVL language,supports,namespace mechanism
1,UVL language,1,UVL language,supports,submodels
1,UVL language,1,UVL language,enables,interoperability between feature modeling tools
1,UVL language,1,UVL language,has,formal grammar
1,UVL language,1,UVL language,grammar is defined using,ANTLR
1,UVL language,1,UVL language,has,abstract syntax
1,UVL language,1,UVL language,has,concrete syntax
1,UVL language,1,UVL language,supports,SAT-based analysis
1,UVL language,1,UVL language,supports,SMT-based analysis
1,UVL language,1,UVL language,is related to,feature-oriented software development
1,UVL language,1,UVL language,file extension is,.uvl
1,UVL language,1,UVL language,supports,root feature declaration
1,UVL language,1,UVL language,supports,nested feature trees
1,UVL language,1,UVL language,supports,requires constraints
1,UVL language,1,UVL language,supports,excludes constraints
1,UVL language,1,UVL language,supports,implication constraints
1,UVL language,1,UVL language,supports,equivalence constraints
1,UVL language,1,UVL language,is an evolution of,earlier feature model notations
1,UVL language,1,UVL language,is related to,FODA method
1,UVL language,1,UVL language,is related to,software variability management
1,UVL language,1,UVL language,has,open-source tooling ecosystem
