Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL language is,used for,modeling variability
1,UVL language,0,UVL language is,used for,managing variability
1,UVL language,0,UVL language is,used in,Software Product Lines
1,UVL language,0,UVL language has,file extension,.uvl
1,UVL language,0,UVL language is,designed for,exchange format
1,UVL language,0,UVL language is,designed for,interoperability
1,UVL language,0,UVL language is,implemented in,Java
1,UVL language,0,UVL language is,part of,Variability Exchange Format project
1,UVL language,0,UVL language is,part of,SPLOT repository
1,UVL language,0,UVL language is,part of,FeatureIDE
1,UVL language,0,UVL language is,part of,DeltaEcore
1,UVL language,0,UVL language is,part of,DeltaJ
1,UVL language,0,UVL language is,part of,DeltaL
1,UVL language,0,UVL language is,part of,DeltaXML
1,UVL language,0,UVL language is,part of,DeltaJSON
1,UVL language,0,UVL language is,part of,DeltaYAML
1,UVL language,0,UVL language is,part of,DeltaMarkdown
1,UVL language,0,UVL language is,part of,DeltaHTML
1,UVL language,0,UVL language is,part of,DeltaCSS
1,UVL language,0,UVL language is,part of,DeltaJS
1,UVL language,0,UVL language is,part of,DeltaTS
1,UVL language,0,UVL language is,part of,DeltaJava
1,UVL language,0,UVL language is,part of,DeltaC
1,UVL language,0,UVL language is,part of,DeltaCpp
1,UVL language,0,UVL language is,part of,DeltaCSharp
1,UVL language,0,UVL language is,part of,DeltaPython
1,UVL language,0,UVL language is,part of,DeltaRuby
1,UVL language,0,UVL language is,part of,DeltaPHP
1,UVL language,0,UVL language is,part of,DeltaGo
1,UVL language,0,UVL language is,part of,DeltaRust
1,UVL language,0,UVL language is,part of,DeltaKotlin
1,UVL language,0,UVL language is,part of,DeltaSwift
1,UVL language,0,UVL language is,part of,DeltaObjectiveC
1,UVL language,0,UVL language is,part of,DeltaScala
1,UVL language,0,UVL language is,part of,DeltaClojure
1,UVL language,0,UVL language is,part of,DeltaHaskell
1,UVL language,0,UVL language is,part of,DeltaFSharp
1,UVL language,0,UVL language is,part of,DeltaOCaml
1,UVL language,0,UVL language is,part of,DeltaRacket
1,UVL language,0,UVL language is,part of,DeltaLisp
1,UVL language,0,UVL language is,part of,DeltaScheme
1,UVL language,0,UVL language is,part of,DeltaProlog
1,UVL language,0,UVL language is,part of,DeltaSQL
1,UVL language,0,UVL language is,part of,DeltaNoSQL
1,UVL language,0,UVL language is,part of,DeltaGraphQL
1,UVL language,0,UVL language is,part of,DeltaREST
1,UVL language,0,UVL language is,part of,DeltaSOAP
1,UVL language,0,UVL language is,part of,DeltaXMLSchema
1,UVL language,0,UVL language is,part of,DeltaJSONSchema
1,UVL language,0,UVL language is,part of,DeltaYAMLSchema
1,UVL language,0,UVL language is,part of,DeltaMarkdownSchema
1,UVL language,0,UVL language is,part of,DeltaHTMLSchema
1,UVL language,0,UVL language is,part of,DeltaCSSSchema
1,UVL language,0,UVL language is,part of,DeltaJSSchema
1,UVL language,0,UVL language is,part of,DeltaTSSchema
1,UVL language,0,UVL language is,part of,DeltaJavaSchema
1,UVL language,0,UVL language is,part of,DeltaCSchema
1,UVL language,0,UVL language is,part of,DeltaCppSchema
1,UVL language,0,UVL language is,part of,DeltaCSharpSchema
1,UVL language,0,UVL language is,part of,DeltaPythonSchema
1,UVL language,0,UVL language is,part of,DeltaRubySchema
1,UVL language,0,UVL language is,part of,DeltaPHPSchema
1,UVL language,0,UVL language is,part of,DeltaGoSchema
1,UVL language,0,UVL language is,part of,DeltaRustSchema
1,UVL language,0,UVL language is,part of,DeltaKotlinSchema
1,UVL language,0,UVL language is,part of,DeltaSwiftSchema
