Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,0,UVL,is,Variability Modeling Language
1,UVL language,0,UVL,is,Standardized Language
1,UVL language,0,UVL,supports,Feature Models
1,UVL language,0,UVL,supports,Cross-tree Constraints
1,UVL language,0,UVL,supports,Attributes
1,UVL language,0,UVL,supports,Group Cardinalities
1,UVL language,0,UVL,supports,Mandatory Features
1,UVL language,0,UVL,supports,Optional Features
1,UVL language,0,UVL,supports,Alternative Groups
1,UVL language,0,UVL,supports,Or Groups
1,UVL language,0,UVL,uses,Textual Syntax
1,UVL language,0,UVL,is,Human Readable
1,UVL language,0,UVL,is,Machine Readable
1,UVL language,0,UVL,promotes,Interoperability
1,UVL language,0,UVL,is,Domain Specific Language
1,UVL language,0,UVL,replaces,Proprietary Variability Formats
1,UVL language,1,UVL language,is,Variability Modeling Language
1,UVL language,1,UVL language,supports,Feature Models
1,UVL language,1,UVL language,supports,Cross-tree Constraints
1,UVL language,1,UVL language,is,Human-readable
1,UVL language,1,UVL language,is,Machine-readable
1,UVL language,1,UVL language,uses,Textual Syntax
1,UVL language,1,UVL language,supports,Hierarchical Structure
1,UVL language,1,UVL language,supports,Mandatory Features
1,UVL language,1,UVL language,supports,Optional Features
1,UVL language,1,UVL language,supports,Alternative Groups
1,UVL language,1,UVL language,supports,Or Groups
1,UVL language,1,UVL language,supports,Boolean Constraints
1,UVL language,1,UVL language,supports,Arithmetic Constraints
1,UVL language,1,UVL language,is,Platform Independent
1,UVL language,1,UVL language,is,Tool Agnostic
1,UVL language,2,UVL,is,Variability Modeling Language
1,UVL language,2,UVL,is,Human Readable
1,UVL language,2,UVL,supports,Feature Models
1,UVL language,2,UVL,supports,Cross Tree Constraints
1,UVL language,2,UVL,supports,Attributes
1,UVL language,2,UVL,supports,Cardinalities
1,UVL language,2,UVL,uses,Indentation for Hierarchy
1,UVL language,2,UVL,is,Platform Independent
1,UVL language,2,UVL,is,Tool Agnostic
1,UVL language,2,UVL,replaces,TVL
1,UVL language,2,UVL,replaces,SXFM
1,UVL language,2,UVL,is,Domain Specific Language
2,Language extensions,0,UVL language,supports,language extensions
2,Language extensions,0,Language extensions,enable,custom variability constraints
2,Language extensions,0,Language extensions,allow,domain specific syntax
2,Language extensions,0,Language extensions,improve,model expressiveness
2,Language extensions,0,Language extensions,facilitate,integration with external tools
2,Language extensions,0,Language extensions,are,optional features
2,Language extensions,0,Language extensions,extend,core UVL grammar
2,Language extensions,1,UVL language,supports,language extensions
2,Language extensions,1,Language extensions,enable,custom variability constraints
2,Language extensions,1,Language extensions,allow,domain specific syntax
2,Language extensions,1,Language extensions,improve,model expressiveness
2,Language extensions,1,Language extensions,facilitate,integration with external tools
2,Language extensions,1,Language extensions,are,optional features
2,Language extensions,1,Language extensions,extend,core UVL grammar
2,Language extensions,2,UVL language,supports,language extensions
2,Language extensions,2,UVL language,enables,custom constraints
2,Language extensions,2,UVL language,allows,domain specific attributes
2,Language extensions,2,UVL language,supports,modular variability modeling
2,Language extensions,2,UVL language,facilitates,cross tree constraints
2,Language extensions,2,UVL language,permits,extension mechanisms
2,Language extensions,2,UVL language,integrates,external variability models
3,Feature Tree,0,Feature Tree,is part of,UVL model
3,Feature Tree,0,Feature Tree,defines,hierarchical structure
3,Feature Tree,0,Feature Tree,contains,Features
3,Feature Tree,0,Feature Tree,contains,Constraints
3,Feature Tree,0,Feature Tree,supports,Mandatory relationship
3,Feature Tree,0,Feature Tree,supports,Optional relationship
3,Feature Tree,0,Feature Tree,supports,Alternative group
3,Feature Tree,0,Feature Tree,supports,Or group
3,Feature Tree,0,Feature Tree,represents,Variability
3,Feature Tree,0,Feature Tree,is root of,UVL model
