Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,acronym for,Universal Variability Language
1,UVL language,1,UVL language,represents,feature models
1,UVL language,1,UVL language,type,textual language
1,UVL language,1,UVL language,property,human-readable
1,UVL language,1,UVL language,role,pivot language
1,UVL language,1,UVL language,origin,MODEVAR initiative
1,UVL language,1,UVL language,development start date,2018
1,UVL language,1,UVL language,major level,Boolean
1,UVL language,1,UVL language,major level,Arithmetic
1,UVL language,1,UVL language,major level,Type
1,UVL language,1,Boolean level,includes,Boolean Core
1,UVL language,1,Boolean level,includes,Group Cardinality
1,UVL language,1,Arithmetic level,includes,Arithmetic Core
1,UVL language,1,Arithmetic level,includes,Attribute aggregates
1,UVL language,1,Arithmetic level,includes,Feature Cardinality
1,UVL language,1,Type level,includes,Type Core
1,UVL language,1,Type level,includes,Numeric-Constraints
1,UVL language,1,Type level,includes,String-Constraints
1,UVL language,1,UVL language,support,language extensions
1,UVL language,1,UVL language,integrated in,FeatureIDE
1,UVL language,1,UVL language,integrated in,flamapy
1,UVL language,1,UVL language,integrated in,pure::variants
1,UVL language,1,UVL language,supported by,Python parser
1,UVL language,1,UVL language,supported by,Java parser
1,UVL language,1,UVL language,supported by,JavaScript parser
1,UVL language,1,UVL language,use parser generator,ANTLR
1,UVL language,1,UVL language,structure,tree-like
1,UVL language,1,UVL language,support,cross-tree constraints
1,UVL language,1,UVL language,keyword,mandatory
1,UVL language,1,UVL language,keyword,optional
1,UVL language,1,UVL language,keyword,or
1,UVL language,1,UVL language,keyword,alternative
1,UVL language,1,UVL language,keyword,include
1,UVL language,1,UVL language,keyword,features
1,UVL language,1,UVL language,keyword,imports
1,UVL language,1,UVL language,keyword,namespace
1,UVL language,1,UVL language,keyword,as
1,UVL language,1,UVL language,keyword,cardinality
1,UVL language,1,UVL language,operator,sum
1,UVL language,1,UVL language,operator,avg
1,UVL language,1,UVL language,operator,floor
1,UVL language,1,UVL language,operator,ceil
1,UVL language,1,UVL language,operator,len
1,UVL language,1,UVL language,feature type,String
1,UVL language,1,UVL language,feature type,Integer
1,UVL language,1,UVL language,feature type,Real
1,UVL language,1,UVL language,feature type,Boolean
1,UVL language,1,UVL language,mechanism,import
1,UVL language,1,UVL language,maintenance by,consortium of institutions
1,UVL language,1,UVL language,contributor,David Benavides
1,UVL language,1,UVL language,contributor,Chico Sundermann
1,UVL language,1,UVL language,contributor,Kevin Feichtinger
1,UVL language,1,UVL language,contributor,José A. Galindo
1,UVL language,1,UVL language,contributor,Rick Rabiser
1,UVL language,1,UVL language,contributor,Thomas Thüm
1,UVL language,1,UVL language,institution,University of Seville
1,UVL language,1,UVL language,institution,University of Ulm
1,UVL language,1,UVL language,institution,KIT
1,UVL language,1,UVL language,institution,JKU Linz
1,UVL language,1,UVL language,institution,TU Braunschweig
1,UVL language,1,UVL language,operation,knowledge sharing
1,UVL language,1,UVL language,operation,educational instruction
1,UVL language,1,UVL language,operation,tool integration
1,UVL language,1,UVL language,operation,tool interoperability
1,UVL language,2,UVL,stands for,Universal Variability Language
1,UVL language,2,UVL,is,textual language
1,UVL language,2,UVL,represents,feature models
1,UVL language,2,UVL,developed by,MODEVAR initiative
1,UVL language,2,UVL,created in,2018
1,UVL language,2,UVL,includes,Boolean level
1,UVL language,2,UVL,includes,Arithmetic level
1,UVL language,2,UVL,includes,Type level
1,UVL language,2,Boolean level,includes,Boolean Core
1,UVL language,2,Boolean level,includes,Group Cardinality
1,UVL language,2,Boolean Core,includes,Mandatory
1,UVL language,2,Boolean Core,includes,Optional
1,UVL language,2,Boolean Core,includes,Or
