Subject,Predicate,Object
uvl language,stands for,uvl
uvl language,is,textual language
uvl language,represents,feature model
uvl language,is,humanreadable
uvl language,serves as,pivot language
uvl language,is,communitydriven
uvl language,has,boolean level
uvl language,has,arithmetic level
uvl language,has,type level
uvl language,supports,language extension
uvl language,is integrated into,featureide
uvl language,is integrated into,flamapy
uvl language,has parser implementation for,python
uvl language,has parser implementation for,java
uvl language,has parser implementation for,javascript
uvl language,uses,antlr
uvl language,uses,treelike structure
uvl language,represents,hierarchical structure
uvl language,core includes,mandatory relationship
uvl language,core includes,optional relationship
uvl language,core includes,relationship
uvl language,core includes,alternative relationship
uvl language,core includes,constraint
uvl language,Boolean level includes,group cardinality
uvl language,Arithmetic level includes,arithmetic core
uvl language,Arithmetic level includes,attribute aggregate
uvl language,Arithmetic level includes,feature cardinality
uvl language,Type level includes,type core
uvl language,Type level includes,type numericconstraint
uvl language,Type level includes,type stringconstraint
uvl language,is,common textual exchange format
uvl language,is,opensource
uvl language,uses,nest hierarchy
uvl language,uses,complete keyword
uvl language,stores,propositional crosstree constraint
uvl language,supports,decomposition
uvl language,supports,composition
uvl language,supports,conversion strategy level
uvl language,is maintained by,consortium institution
uvl language,is,concise
uvl language,uses,namespace
uvl language,uses,import
uvl language,allows,feature attribute
uvl language,allows,feature cardinality
uvl language,allows,group cardinality
uvl language,supports,propositional logic
uvl language,supports,numeric constraint
uvl language,supports,string constraint
uvl language,is,textual variability modeling language
uvl language,is,extensible
uvl language,include,boolean level
uvl language,include,arithmetic level
uvl language,include,type level
uvl language,has,treelike structure
uvl language,uses,indentation block
uvl language,contains,feature
uvl language,contains,relationship
uvl language,contains,constraint
uvl language,supports,namespace
uvl language,supports,import
uvl language,include,mandatory relationship
uvl language,include,optional relationship
uvl language,include,relationship
uvl language,include,alternative relationship
uvl language,features,boolean core
uvl language,features,group cardinality minor level
uvl language,features,arithmetic core
uvl language,features,attribute aggregate
uvl language,features,feature cardinality minor level
uvl language,features,type core
uvl language,features,type numericconstraint
uvl language,features,type stringconstraint
uvl language,supports,numeric constraints feature attribute
uvl language,supports,string feature
uvl language,supports,integer feature
uvl language,supports,float feature
uvl language,originated from,modevar initiative
uvl language,development started in,2018
uvl language,is integrated into,pure::variant
uvl language,is integrated into,travart
uvl language,is supported by,uvl
uvl language,has,antlr parser generator
uvl language,uses,propositional logic
uvl language,supports,model decomposition
uvl language,uses,line break end statement
uvl language,allows,abstract feature
uvl language,include,constraint
uvl language,supports,feature cardinality
uvl language,supports,group cardinality
uvl language,has,import mechanism
uvl language,has,namespace
uvl language,uses,antlr parser generator
uvl language,is integrated into,uvl
uvl language,supports,compose model
uvl language,aims for,tool interoperability
uvl language,maintains,uvlhub repository
uvl language,design goals include,simplicity
uvl language,design goals include,expressiveness
uvl language,design goals include,information hiding
uvl language,is structured into,boolean level
uvl language,is structured into,arithmetic level
uvl language,is structured into,type level
uvl language,supports,constraint
uvl language,supports,feature attribute
uvl language,include,import mechanism
uvl language,allows,model decomposition
uvl language,includes minor level,group cardinality
uvl language,includes minor level,attribute aggregate
uvl language,includes minor level,feature cardinality
uvl language,includes minor level,type numericconstraint
uvl language,includes minor level,type stringconstraint
uvl language,provide,conversion strategy level
uvl language,uses,contextfree grammar specification
uvl language,allows,toolspecific data storage attribute
uvl language,uses,identifier protect quotation mark ambiguity
uvl language,is licensed under,gnu less general public license
uvl language,features minor level,group cardinality
uvl language,features minor level,attribute aggregate
uvl language,features minor level,feature cardinality
uvl language,features minor level,type numericconstraint
uvl language,features minor level,type stringconstraint
uvl language,is integrated into,ddueruem
uvl language,is integrated into,fm fact label
uvl language,is integrated into,v4rdiac
uvl language,has models available in,uvlhub repository
language extension,enhance,expressiveness
language extension,accommodate,diverse modelling need
language extension,encapsulates,language construct
language extension,extends,core language uvl
language extension,are,optional
language extension,is also known as,major language level
language extension,allows,tailor model specific use case
language extension,allows,tailor model tool limitation
language extension,are enabled via,include keyword
language extension,are grouped by,reasoning engine
minor language level,are,optional extension
extension mechanism,adds,sophisticated language property
extension mechanism,maintains,simple base language
extension mechanism,allows,arbitrary datum storage
extension mechanism,uses,feature attribute toolspecific data
conversion strategy,translate between,language extension
language extension,extends,core language simplicity
language extension,introduces,additional construct
language extension,enhance,uvl expressiveness
uvl language,allows,language extension
minor language level,are,uvl
minor language level,encapsulates,language construct
minor language level,extends,core language uvl
minor language level,provide,expressiveness
group cardinality,is,boolean level
feature cardinality,is,arithmetic level
aggregate function,are,arithmetic level
string constraint,are,minor level type level
numericconstraint,is,minor level type level
include keyword,declares,language extension
include keyword,enables,major level
include keyword,enables,minor level type level
include keyword,enables,minor level selection wildcard
minor level,include,major level
minor language level,groups constructs by,reasoning engine
language extension,enable,tailor language specification
language extension,cover,sophisticated expression
language extension,preserve,core language simplicity
minor language level,represent,type feature
minor language level,represent,vary relationship type
language extension,are,major language level
minor language level,extends,major level
language extension,provide,expressive language feature
language extension,adds,complex construct
language extension,allows,tailor language specification
aggregate function,is,arithmetic level
string constraint,is,minor level type level
feature tree,is,hierarchically arrange set feature
feature tree,is also known as,feature diagram
feature tree,is a component of,feature model
feature tree,consists of,feature
feature tree,consists of,group
feature tree,requires,exactly root feature
feature,possess,unique name identifier
feature,can have,feature cardinality
feature,can have,feature attribute
feature,can have,arbitrary number group
group,can have,integer feature
feature tree,utilizes,indentation represent relationship
feature tree,utilizes,nest hierarchy
feature tree,supports,optional group
feature tree,supports,mandatory group
feature tree,supports,group
feature tree,supports,alternative group
feature tree,supports,group cardinality
optional group,is part of,boolean level
group,is part of,boolean level
alternative group,is part of,boolean level
group cardinality,is,boolean minor level extension
feature tree,represents,hierarchical structure variability model
feature tree,represents hierarchy using,indentation block
feature tree,represents hierarchy using,nest
feature tree,contains,parentchild relationship
feature tree,can be decomposed into,subpart
feature tree,utilizes,keyword specify relationship
feature,is a main element of,feature tree
group,is a main element of,feature tree
feature,has,unique name identifier
feature tree,utilizes,parentchild relationship
feature,requires,unique name identifier
import mechanism,supports,feature tree
feature tree,uses,parentchild relationship
feature tree,are a major part of,uvl model
feature tree,contains,feature name
feature tree,contains,feature cardinality
feature tree,contains,feature attribute
feature tree,contains,arbitrary number group
import mechanism,allows,feature tree
submodel,can be attached to,arbitrary location feature tree
constraint,are,feature model
