Iteration,Seed,Run,Subject,Predicate,Object
1,UVL language,1,UVL language,isA,textual language
1,UVL language,1,UVL language,isA,pivot language
1,UVL language,1,UVL language,typeOf,human-readable language
1,UVL language,1,UVL language,launchedIn,2018
1,UVL language,1,UVL language,isA,community-driven initiative
1,UVL language,1,UVL language,authoredBy,David Benavides
1,UVL language,1,UVL language,authoredBy,Chico Sundermann
1,UVL language,1,UVL language,authoredBy,Kevin Feichtinger
1,UVL language,1,UVL language,authoredBy,José A. Galindo
1,UVL language,1,UVL language,authoredBy,Rick Rabiser
1,UVL language,1,UVL language,authoredBy,Thomas Thüm
1,UVL language,1,UVL language,maintainedBy,consortium of institutions
1,UVL language,1,UVL language,supportedBy,Universidad de Sevilla
1,UVL language,1,UVL language,supportedBy,University of Ulm
1,UVL language,1,UVL language,supportedBy,Karlsruhe Institute of Technology
1,UVL language,1,UVL language,supportedBy,Johannes Kepler University Linz
1,UVL language,1,UVL language,supportedBy,TU Braunschweig
1,UVL language,1,UVL language,defines,Boolean level
1,UVL language,1,UVL language,defines,Arithmetic level
1,UVL language,1,UVL language,defines,Type level
1,UVL language,1,Boolean level,isA,core language of UVL
1,UVL language,1,Boolean level,partOf,UVL language
1,UVL language,1,Arithmetic level,partOf,UVL language
1,UVL language,1,Type level,partOf,UVL language
1,UVL language,1,Boolean.group-cardinality,isA,minor language level
1,UVL language,1,Arithmetic.feature-cardinality,isA,minor language level
1,UVL language,1,Arithmetic.aggregate-function,isA,minor language level
1,UVL language,1,Type.string-constraints,isA,minor language level
1,UVL language,1,imports,partOf,UVL model structure
1,UVL language,1,language levels,partOf,UVL model structure
1,UVL language,1,feature tree,partOf,UVL model structure
1,UVL language,1,cross-tree constraints,partOf,UVL model structure
1,UVL language,1,features,isA,UVL keyword
1,UVL language,1,constraints,isA,UVL keyword
1,UVL language,1,imports,isA,UVL keyword
1,UVL language,1,include,isA,UVL keyword
1,UVL language,1,mandatory,isA,UVL keyword
1,UVL language,1,optional,isA,UVL keyword
1,UVL language,1,alternative,isA,UVL keyword
1,UVL language,1,or,isA,UVL keyword
1,UVL language,1,cardinality,isA,UVL keyword
1,UVL language,1,as,isA,UVL keyword
1,UVL language,1,UVL language,defines,import mechanism
1,UVL language,1,UVL language,defines,extension mechanism
1,UVL language,1,UVL language,defines,conversion strategies
1,UVL language,1,UVL language,allows,knowledge sharing
1,UVL language,1,UVL language,allows,educational instruction
1,UVL language,1,UVL language,allows,tool integration
1,UVL language,1,UVL language,allows,model decomposition
1,UVL language,1,UVL language,allows,representation of software variability
1,UVL language,1,UVL language,integratedIn,FeatureIDE
1,UVL language,1,UVL language,integratedIn,flamapy
1,UVL language,1,UVL language,integratedIn,pure::variants
1,UVL language,1,UVL language,integratedIn,TRAVART
1,UVL language,1,UVL language,integratedIn,UVLS
1,UVL language,1,UVL language,integratedIn,variability.dev
1,UVL language,1,UVL language,integratedIn,ddueruem
1,UVL language,1,UVL language,integratedIn,FM Fact Label
1,UVL language,1,UVL language,integratedIn,V4rdiac
1,UVL language,1,UVL language,integratedIn,UVLHub
1,UVL language,1,UVL parser,implementedIn,Python
1,UVL language,1,UVL parser,implementedIn,Java
1,UVL language,1,UVL parser,basedOn,ANTLR
2,Language levels,1,Language Levels,partOf,UVL
2,Language levels,1,Language Levels,areCategorizedAs,major levels
2,Language levels,1,Language Levels,areCategorizedAs,minor levels
2,Language levels,1,Major levels,have,hierarchical order
2,Language levels,1,Boolean level,isA,core language
2,Language levels,1,Boolean level,isA,major level
2,Language levels,1,Boolean level,includes,optional group type
2,Language levels,1,Boolean level,includes,mandatory group type
2,Language levels,1,Boolean level,includes,alternative group type
2,Language levels,1,Boolean level,includes,or group type
2,Language levels,1,Boolean level,limitedTo,propositional logic
2,Language levels,1,Boolean level,encodedAs,SAT problem
2,Language levels,1,Arithmetic level,isA,major level
2,Language levels,1,Arithmetic level,includes,Boolean level
2,Language levels,1,Arithmetic level,defines,numeric constraints
2,Language levels,1,Arithmetic level,defines,feature attributes
2,Language levels,1,Arithmetic level,representedAs,SMT problem
2,Language levels,1,Arithmetic level,representedAs,CP problem
2,Language levels,1,Type level,isA,major level
2,Language levels,1,Type level,includes,Arithmetic level
2,Language levels,1,Type level,includes,Boolean level
2,Language levels,1,Type level,defines,integer features
2,Language levels,1,Type level,defines,float features
2,Language levels,1,Type level,defines,string features
2,Language levels,1,Minor language levels,are,optional extensions
2,Language levels,1,Minor language levels,extend,major levels
2,Language levels,1,Minor language levels,areNot,automatically included in higher levels
2,Language levels,1,Boolean.group-cardinality,isA,minor level
2,Language levels,1,Arithmetic.feature-cardinality,isA,minor level
2,Language levels,1,Arithmetic.aggregate-function,isA,minor level
2,Language levels,1,Type.string-constraints,isA,minor level
2,Language levels,1,Language Levels,specifiedWith,include keyword
2,Language levels,1,Language Levels,provide,conversion strategies
2,Language levels,1,UVL parser,implements,conversion strategies
2,Language levels,1,Conversion strategies,enable,exchange between tools
3,Feature tree,1,Feature tree,partOf,UVL model
3,Feature tree,1,Feature tree,isA,feature diagram
3,Feature tree,1,Feature tree,isA,hierarchically arranged set of features
3,Feature tree,1,Features,partOf,Feature tree
3,Feature tree,1,Groups,partOf,Feature tree
3,Feature tree,1,Root feature,partOf,Feature tree
3,Feature tree,1,Feature tree,requires,exactly one root feature
3,Feature tree,1,Feature tree,defines,tree hierarchy
3,Feature tree,1,Feature tree,defines,parent-child relationship
3,Feature tree,1,Indentation,defines,tree hierarchy
3,Feature tree,1,Keywords,specify,parent-child relationship
3,Feature tree,1,Feature,defines,unique name
