Subject,Predicate,Object
tree hierarchy, structuredBy, indentation
parent-child relationship, structuredBy, indentation
features, structuredBy, newlines
mandatory group, hasKeyword, mandatory
optional group, hasKeyword, optional
alternative group, hasKeyword, alternative
or group, hasKeyword, or
cardinality group, hasKeyword, [a..b]
feature cardinality, hasKeyword, cardinality [a..b]
constraints, specifiedBy, operators
operators, includes, logic operators
operators, includes, arithmetic operators
operators, includes, string operators
operators, includes, aggregate functions
logic operators, includes, implication
logic operators, includes, equivalence
logic operators, includes, negation
logic operators, includes, logic or
logic operators, includes, logic and
implication, denotedBy, =>
equivalence, denotedBy, <=>
negation, denotedBy, !
logic or, denotedBy, |
logic and, denotedBy, &
arithmetic operators, includes, equality
arithmetic operators, includes, inequality
arithmetic operators, includes, less than
arithmetic operators, includes, less than or equal to
arithmetic operators, includes, greater than
arithmetic operators, includes, greater than or equal to
equality, denotedBy, ==
inequality, denotedBy, !=
less than, denotedBy, <
less than or equal to, denotedBy, <=
greater than, denotedBy, >
greater than or equal to, denotedBy, >=
string operators, includes, equality
string operators, includes, inequality
string operators, includes, less than
string operators, includes, less than or equal to
string operators, includes, greater than
string operators, includes, greater than or equal to
aggregate functions, includes, length
aggregate functions, includes, sum
aggregate functions, includes, average
aggregate functions, includes, floor
aggregate functions, includes, ceiling
length, denotedBy, len
sum, denotedBy, sum
average, denotedBy, avg
floor, denotedBy, floor
ceiling, denotedBy, ceil
aggregation functions, accepts, arguments
arguments, receives, identifiers
arguments, separatedBy, comma
identifiers, refers to, features
identifiers, refers to, attributes
