llm,model,levenshtein_distance,levenshtein_similarity_ratio,syntax_errors,semantics_errors,language_level,feature_similarity,constraint_similarity,attribute_similarity,configurations_model2,jaccard_similarity,precision,recall,f1_score,global_similarity
Claude,Benavides2025_eshop_Arithmetic2_claude-opus-4-6_pdfs,153,0.81,0,0,"Arithmetic (Group cardinality, Feature cardinality, Aggregate function)",1.0,1.0,0.8571,38,1.0,1.0,1.0,1.0,0.9714
Claude,Benavides2025_eshop_Arithmetic_claude-opus-4-6_pdfs,156,0.8,0,0,"Arithmetic (Group cardinality, Aggregate function)",1.0,1.0,1.0,38,1.0,1.0,1.0,1.0,1.0
Claude,Benavides2025_eshop_Boolean2_claude-opus-4-6_pdfs,84,0.87,0,0,Boolean (Group cardinality),0.9231,1.0,1.0,38,0.2963,0.4211,0.5,0.4572,0.7031
Claude,Benavides2025_eshop_Boolean_claude-opus-4-6_pdfs,64,0.9,0,0,Boolean,1.0,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0
Claude,Benavides2025_eshop_Type_claude-opus-4-6_pdfs,79,0.92,0,1,"Type (String constraints, Feature cardinality, Group cardinality, Aggregate function)",1.0,0.6667,1.0,0,,,,,
Claude,Horcas2021_AAFM_Boolean_claude-opus-4-6_pdfs,35,0.92,0,0,Boolean,1.0,1.0,1.0,110,1.0,1.0,1.0,1.0,1.0
Claude,Horcas2023_AAFM_Attributes_claude-opus-4-6_pdfs,48,0.93,0,0,Boolean,1.0,0.6,1.0,112,0.9821,0.9821,1.0,0.991,0.9128
Claude,Horcas2026_LLMs_Type_claude-opus-4-6_pdfs,161,0.82,0,,,,,,,,,,,
Claude,Knuppel2017_Pizza_Boolean_claude-opus-4-6_pdfs,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Claude,Munoz2022_Edge_Boolean_claude-opus-4-6_pdfs,47,0.91,0,0,Boolean,0.8824,1.0,0.8571,252,0.0,0.0,0.0,0.0,0.5479
Claude,SerranoGutierrez2023_Multifunctional_Type_claude-opus-4-6_pdfs,164,0.73,0,,,,,,,,,,,
Claude,Sundermann2024_Pizza_Type_claude-opus-4-6_pdfs,199,0.79,0,1,"Type (String constraints, Feature cardinality, Group cardinality, Aggregate function)",0.7895,0.2222,0.7273,0,,,,,
Deepseek,Benavides2025_eshop_Arithmetic2_deepseek-chat_pdfs,34,0.95,2,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Arithmetic_deepseek-chat_pdfs,0,1.0,2,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Boolean2_deepseek-chat_pdfs,83,0.87,0,0,Boolean (Group cardinality),0.9231,1.0,1.0,38,0.2963,0.4211,0.5,0.4572,0.7031
Deepseek,Benavides2025_eshop_Boolean_deepseek-chat_pdfs,44,0.93,0,0,Boolean,1.0,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0
Deepseek,Benavides2025_eshop_Type_deepseek-chat_pdfs,180,0.83,5,,,,,,,,,,,
Deepseek,Horcas2021_AAFM_Boolean_deepseek-chat_pdfs,118,0.76,2,,,,,,,,,,,
Deepseek,Horcas2023_AAFM_Attributes_deepseek-chat_pdfs,120,0.83,2,,,,,,,,,,,
Deepseek,Horcas2026_LLMs_Type_deepseek-chat_pdfs,76,0.91,3,,,,,,,,,,,
Deepseek,Knuppel2017_Pizza_Boolean_deepseek-chat_pdfs,29,0.92,4,,,,,,,,,,,
Deepseek,Munoz2022_Edge_Boolean_deepseek-chat_pdfs,44,0.91,7,,,,,,,,,,,
Deepseek,SerranoGutierrez2023_Multifunctional_Type_deepseek-chat_pdfs,191,0.64,7,,,,,,,,,,,
Deepseek,Sundermann2024_Pizza_Type_deepseek-chat_pdfs,191,0.8,14,,,,,,,,,,,
GPT,Benavides2025_eshop_Arithmetic2_gpt-5.2_pdfs,230,0.66,3,,,,,,,,,,,
GPT,Benavides2025_eshop_Arithmetic_gpt-5.2_pdfs,117,0.82,0,0,"Arithmetic (Group cardinality, Aggregate function)",1.0,0.5,0.2,38,1.0,1.0,1.0,1.0,0.74
GPT,Benavides2025_eshop_Boolean2_gpt-5.2_pdfs,121,0.8,7,,,,,,,,,,,
GPT,Benavides2025_eshop_Boolean_gpt-5.2_pdfs,121,0.79,7,,,,,,,,,,,
GPT,Benavides2025_eshop_Type_gpt-5.2_pdfs,276,0.67,4,,,,,,,,,,,
GPT,Horcas2021_AAFM_Boolean_gpt-5.2_pdfs,62,0.88,0,0,Boolean,1.0,1.0,1.0,110,1.0,1.0,1.0,1.0,1.0
GPT,Horcas2023_AAFM_Attributes_gpt-5.2_pdfs,82,0.9,4,,,,,,,,,,,
GPT,Horcas2026_LLMs_Type_gpt-5.2_pdfs,202,0.79,7,,,,,,,,,,,
GPT,Knuppel2017_Pizza_Boolean_gpt-5.2_pdfs,121,0.72,10,,,,,,,,,,,
GPT,Munoz2022_Edge_Boolean_gpt-5.2_pdfs,85,0.85,6,,,,,,,,,,,
GPT,SerranoGutierrez2023_Multifunctional_Type_gpt-5.2_pdfs,206,0.63,9,,,,,,,,,,,
GPT,Sundermann2024_Pizza_Type_gpt-5.2_pdfs,328,0.69,2,,,,,,,,,,,
Gemini,Benavides2025_eshop_Arithmetic2_gemini-3-flash-preview_pdfs,217,0.74,0,0,"Arithmetic (Group cardinality, Feature cardinality, Aggregate function)",1.0,1.0,0.8571,38,1.0,1.0,1.0,1.0,0.9714
Gemini,Benavides2025_eshop_Arithmetic_gemini-3-flash-preview_pdfs,161,0.78,0,0,"Arithmetic (Group cardinality, Aggregate function)",1.0,0.5,0.2,38,1.0,1.0,1.0,1.0,0.74
Gemini,Benavides2025_eshop_Boolean2_gemini-3-flash-preview_pdfs,138,0.8,0,0,Boolean (Group cardinality),0.9231,1.0,1.0,38,0.2963,0.4211,0.5,0.4572,0.7031
Gemini,Benavides2025_eshop_Boolean_gemini-3-flash-preview_pdfs,64,0.9,0,0,Boolean,1.0,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0
Gemini,Benavides2025_eshop_Type_gemini-3-flash-preview_pdfs,185,0.79,0,1,"Type (String constraints, Feature cardinality, Group cardinality, Aggregate function)",1.0,1.0,1.0,0,,,,,
Gemini,Horcas2021_AAFM_Boolean_gemini-3-flash-preview_pdfs,42,0.91,0,0,Boolean,1.0,1.0,1.0,112,0.9821,0.9821,1.0,0.991,0.9928
Gemini,Horcas2023_AAFM_Attributes_gemini-3-flash-preview_pdfs,70,0.91,0,0,Boolean,1.0,1.0,1.0,112,0.9821,0.9821,1.0,0.991,0.9928
Gemini,Horcas2026_LLMs_Type_gemini-3-flash-preview_pdfs,61,0.93,0,,,,,,,,,,,
Gemini,Knuppel2017_Pizza_Boolean_gemini-3-flash-preview_pdfs,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Gemini,Munoz2022_Edge_Boolean_gemini-3-flash-preview_pdfs,105,0.79,0,0,Boolean,0.6842,0.0,0.8571,448,0.0,0.0,0.0,0.0,0.3083
Gemini,SerranoGutierrez2023_Multifunctional_Type_gemini-3-flash-preview_pdfs,258,0.61,2,,,,,,,,,,,
Gemini,Sundermann2024_Pizza_Type_gemini-3-flash-preview_pdfs,192,0.8,0,1,"Type (String constraints, Feature cardinality, Group cardinality, Aggregate function)",0.8889,0.2222,0.7273,0,,,,,
