Subject,Predicate,Object
uvl,include core concept,optional concept
feature cardinality,convert,arithmetic core
type level,term include,numeric-constraints
uvl,support type,integer
uvl,grammar include,feature attribute
cross-tree constraints,support operator,|
arithmetic level model,term include,comparison operator
uvl,integrate,pure::variant
uvl,use,tool integration
language level,term include,wildcard
arithmetic level model,categorize,majorlevel
cross-tree constraints,support,aggregate function
cross-tree constraints,consist,literal constraint
boolean level,support,flamapy.ide
type level,associate test file,string-quotes.uvl
feature tree,import,subtree
cross-tree constraints,function include,average
uvl,support,inclusion feature model
uvl,integrate,featureide
uvl,author,kevin feichtinger
uvl,integrate,nemo
cross-tree constraints,term include,floorfunction
cross-tree constraints,be,exclusion statement
standard arithmetic operation,term include,>
cross-tree constraints,allow,integer literal
uvl,include core concept,cross-tree constraints
uvl,base lexer grammar,uvl/uvlparser.g4
arithmetic level model,support,addition
cross-tree constraints,support,implication
uvl,design goal include,expressiveness
numeric operation,term include,floor
arithmetic level model,allow wildcard,arithmetic*
uvl,support,aggregate function
uvl,keyword,feature
cross-tree constraints,support,arithmetic multiplication
cross-tree constraints,allow,equality comparison
uvl,maintain,uvlhub
language extension,be,optional model section
submodel constraint,attach,arbitrary location feature tree
type level,have,high hierarchy
uvl,defines group type,or
cross-tree constraints,function include,length
feature tree,support,feature attribute
cross-tree constraints,allow,string literal expression
cross-tree constraints,precede,eof
feature tree,allow,group cardinality
uvl,support,group cardinality
boolean core,group feature,construct specific reasoning engine
boolean level,fully include,feature tree
compose model constraint,reference feature,alia
cross-tree constraints,define,logical constraint feature
uvl,have,type level
arithmetic level model,support,avg
boolean level,be,optional extension
type string-constraints,allow,string comparison
arithmetic level model,directly represent,smt problem
uvl,support,equationconstraint
type level,occupie,high position language hierarchy
uvl,use,line break end statement
uvl,support operator,floor
cross-tree constraints,predicate use,<
uvl,term include,core language
language level,comprise,minor level
uvl,parse,java
boolean variable,refer,feature
feature tree,be,hierarchically arrange set feature
arithmetic level model,support operator,>
boolean level,logical operator include,!
binary expression,support,+
cross-tree constraints,predicate use,==
language extension,provide,expressive language feature
uvl,term include,alternative group type
arithmetic level model,group construct,construct specific reasoning engine
cross-tree constraints,support,constraint attribute
boolean level,be,type feature
uvl,section,namespace
string constraint,be,minor level
uvl,support,propositional logic
cross-tree constraints,term include,constant
arithmetic level model,be,majorlevel
arithmetic operator,term include,mul
uvl,arithmetic operator,/
uvl,support operator,sum function
uvl,minor level extension,aggregate-function
type level,support,include string length check
cross-tree constraints,term include,lenfunction
uvl,feature,cross-tree constraints
cross-tree constraints,appear,listconstraintattribute
uvl,parse,javascript
uvl,use,tree-like structure
boolean core,support operator,<=>
cross-tree constraints,predicate use,>
cross-tree constraints,use,propositional logic
numeric-constraints,allow,ceil operation
language extension,term include,string-constraints
arithmetic core,support,>
language level,represent,type feature
language extension,know,language level
valid configuration,satisfy,attach constraint
uvl,allow,decomposition large model
uvl,support,composition
arithmetic level model,support,feature cardinality
uvl,feature,numeric-constraints
uvl,support,uvls
uvl,use,knowledge sharing
cross-tree constraints,consist,operation
cross-tree constraints,support,operation
type level,extend,arithmetic level
type level,test model,test_models/type_level/ directory
uvl,minor level extension,group-cardinality
standard arithmetic operation,term include,*
uvl,integrate,variability
group cardinality,specifie,select nmchildren
arithmetic core,be part of,arithmetic level
type level,support,travart
feature cardinality,use syntax,minmax
minor level,term include,aggregate-function
arithmetic level model,provide,additional language construct
extension mechanism,use,feature attributes tool-specific data
boolean core,term include,arithmetic level
language extension,call,language level
comparison operator,term include,greater_equal
boolean core,term include,core boolean level
uvl,support,language-level modularity
language level,term include,arithmetic multiplication
feature tree,contain,group
binary expression,support,/
boolean level,minor level extension,group cardinality
uvl,have,import mechanism
type level,enable,optional concept include keyword
feature tree,term include,group
uvl,constraint operator,!
language extension,enhance,uvl expressiveness
uvl,aggregate function,ceil operation
language extension,implement,language level
uvl,use,namespace
arithmetic level model,support operator,<=
type level,be a,uvl core language
cross-tree constraints,fully include,require
language extension,term include,type level
uvl,have,base grammar ebnf form
uvl,provide foundation,build parser
arithmetic level model,minor level extension,aggregate function
uvl,support,string feature
uvl,section,import
boolean level,provide,additional language construct
arithmetic level model,support operator,!=
language extension,allow,vary type relationship
uvl,support,feature attribute
language extension,provide,type feature
propositional operator,combine,boolean constant
uvl,support,arithmetic core
cross-tree constraints,allow,string comparison
feature tree,term include,group cardinality
group type,term include,or
cross-tree constraints,satisfy,valid configuration
function constraint,term include,ceil operation
type level,introduce,feature
arithmetic level model,term include,type level
uvl,aggregate function,avg
language extension,add,complex construct
feature tree,contain,feature unique
boolean core,support operator,|
boolean core,encode,cnf
arithmetic level model,enable,equationconstraint
uvl,base lexer grammar,uvllexer.g4
language level,extend,respective major level
type level,support,string attribute
aggregate function,term include,len
cross-tree constraints,be,core language
boolean core,be,uvl core language
type level,term include,type core
cross-tree constraints,compose model,reference feature namespace
boolean level,fully include,arithmetic-level
cross-tree constraints,predicate use,<=
uvl language section,term include,cross-tree constraints
uvl,support,namespace
require relationship,be,cross-tree constraints
uvl,major level,arithmetic multiplication
boolean level,support,optional concept
uvl,feature,language-level modularity
arithmetic level model,support,multiplicative expression
boolean level,term include,implication constraint
arithmetic core,use,!=
uvl,use,identifier protect quotation mark ambiguity
language extension,fully include,respective major level
boolean level,logical operator include,&
language extension,support,type level
aggregate function,consider attribute value,select feature
cross-tree constraints,predicate use,>=
uvl,grammar include,group
boolean core,support,cross-tree constraints
attribute aggregate,simplify,constraint attribute
arithmetic operator,term include,sub
cross-tree constraints,evaluate,boolean constant
arithmetic core,support,!=
cross-tree constraints,binary expression include,+
aggregate function,convert,arithmetic core
type string-constraints,allow,len
feature tree,major,main uvl model
cross-tree constraints,support,literal reference
arithmetic level model,support,arithmetic subtraction
uvl,support,decomposition
boolean level,store,feature information
language extension,term include,boolean major level
type level,test model,string-constraints
test_models/type_level/,contain,string-attributes.uvl
uvl,integrate,flamapy.ide
type level,associate directory,type_level/
boolean level,support,cross-tree constraints
arithmetic level model,term include,attribute aggregate minor level
group cardinality,specifie,select n m child
function constraint,term include,floor
boolean level,support,disjunction
uvl,support,mandatory relationship
boolean level,support,implication
uvl,doi,10.1016/j.jss.2024.112326
feature tree,consist,feature
uvl,feature,feature attribute
arithmetic level model,use,cross-tree constraints
uvl,minor level extension,feature cardinality
uvl,feature,arithmetic core
predicate,use operator,<
type level,associate test file,string-attributes.uvl
uvl,be,extensible target language
type level,represent,cp problem
feature tree,contain,alternative group type
arithmetic level model,allow,minor level selection wildcard
feature,have,unique identifier
boolean core,term include,mandatory feature
uvl,transform feature,pure::variant
type level,be a,type level
cross-tree constraints,term include,parenthesis constraint
uvl,arithmetic level,arithmetic core
arithmetic level model,minor level extension,feature cardinality interaction
uvl,include core concept,alternative
cross-tree constraints,support,floor
aggregate function,be,arithmetic level
valid configuration,satisfy,cross-tree constraints
arithmetic core,use,=
cross-tree constraints,type level,len function
uvl,keyword,import
cross-tree constraints,utilize,floor aggregate function
uvl,use,import
feature tree,support,group
string constraint,be,optional extension
language extension,term include,group-cardinality minor level
arithmetic level model,provide function,ceil operation
conversion strategy,translate,language extension
