Subject,Predicate,Object
boolean level minor level,support,attribute
boolean level minor level,logical operator include,&
uvl,constraint operator,>=
feature tree,support,mandatory group type
cross-tree constraints,declare,attribute
cross-tree constraints,use operator,!
arithmetic level,enable,optional feature
arithmetic core,be part of,arithmetic level
major level,include,arithmetic
predicate,include,<=
cross-tree constraints,specify dependency base,string value
uvl,be,uvl
boolean level minor level,be use by,featureide
type level conversion,be a,respective major level
minor level,be,optional extension
compose model constraint,reference feature,alias
cross-tree constraints,use,string-constraints
uvl,boolean level include,cardinality group type
cross-tree constraints,support,parenthesis operation
language level,provide,expressiveness need
aggregate function,introduce,avg function
feature tree,contain,thousand feature
uvl,constraint operator,==
cross-tree constraints,utilize,aggregate function
cross-tree constraints,support,flooroperation
import mechanism,apply submodel constraint,compose model
language extension,include,type major level
type level conversion,introduce,string feature
group type,include,mandatory
uvl,support,namespace
uvl,allow,language-specific grammar files
uvl,include,logical constraint
arithmetic level,support,uvl
predicate,use operator,<
arithmetic level,include,sum function
language extension,implement,major language level
cross-tree constraints,allow,flooroperation
test_models/type_level/,contain,string-attributes.uvl
uvl,support,decomposition
uvl,minor level extension,feature cardinality
language extension,provide,string constraint
cross-tree constraints,binary expression include,-
boolean level minor level,support function,!
uvl,author,thomas thüm
feature,can have,feature cardinality
cross-tree constraints,include,conjunction
boolean level minor level,encode,sit problem
uvl,section,import
featuretype,can be,boolean value
arithmetic level,include,comparison equation
arithmetic level,include,arithmetic core
uvl,grammar include,include
uvl,allow,feature cardinality
boolean level minor level,use,| operator
cross-tree constraints,support,operation
type level conversion,represent,smt problem
feature tree,contain,feature unique name
uvl,represent,component feature model
cross-tree constraints,represent,feature relationship
arithmetic operator,include,sub
feature tree,support,attribute
cross-tree constraints,include,disjunction
arithmetic core,support,+
uvl,have,import mechanism
language extension,add,complex construct
cross-tree constraints,predicate use operator,operator
arithmetic.aggregate-function,extend,arithmetic level
require relationship,imply,inclusion statement
uvl,integrate,featureide
uvl,support,submodel reference
uvl,design goal include,simplicity
feature tree,denote relationship feature group,indentation block
type level conversion,support,string feature
cross-tree constraints,follow,feature tree section model structure
feature tree,include,optional feature
group,main element,composition feature tree
arithmetic level,enable,include keyword
type level conversion,convert,arithmetic level
cross-tree constraints cloned features,replace occurrence,clone feature
cross-tree constraints,evaluate,true false
feature tree,contain,feature arbitrary number group
arithmetic level,be use by,travart
language extension,support,wildcard symbol
uvl,include,convert boolean level
boolean level minor level,parse,clojure-based parser
uvl,represent hierarchy,indentation block
language extension,enable,expressiveness need
feature tree,use group type,or
uvl,arithmetic operator,-
cross-tree constraints,compose model,reference feature namespace
arithmetic level,support,construct numeric constraint
language extension,allow,tailor model specific use case
language level,be,optional extension
feature tree,major,reference uvl model
language extension,allow,representation different feature
boolean level minor level,support,fm fact label
valid configuration,satisfy,attach constraint
arithmetic level,test model directory,test_models/arithmetic_level/
boolean level minor level,be use by,flamapy
uvl,core include,optional feature
arithmetic core,use,/
boolean level minor level,encapsulate,language construct
boolean level minor level,logical operator include,<=>
major level,include,type
arithmetic level,include,great equal operator
language level,be,uvl
cross-tree constraints,restrict,number valid configuration
type level conversion,occupie,language hierarchy
uvl,grammar include,import
uvl,structure,arithmetic level
extension mechanism,maintain,simple base language
type level conversion,transform,boolean feature attribute
uvl,doi,10.1016/j.jss.2024.112326
arithmetic level,minor level extension,group-cardinality
uvl,constraint operator,>
language extension,utilize,dot notation
test_models/type_level/,contain,string-quotes.uvl
cross-tree constraints,core language,exclude constraint attribute
arithmetic level,include,sub operator
predicate,use,operator
cross-tree constraints,contain,constraint line
language extension,include,respective major level
boolean level minor level,be use by,nemo
cross-tree constraints,predicate use operator,<=
uvl,author,rick rabiser
type level conversion,be,major language level
cross-tree constraints,include,string aggregate function
feature tree,utilize,indentation represent relationship
language extension,be,extensible language
type level conversion,contain,type core
arithmetic level,support function,/
feature cardinality,use syntax,minmax
type level conversion,support,ceil function
predicate,use operator,>=
uvl,provide foundation,building parser
cross-tree constraints,support function,&
arithmetic operator,include,<
language extension,use,dot separator
binary expression,support,*
cross-tree constraints,import submodel,compose model
uvl,support,composition feature tree
propositional logic operator,combine,predicate
language extension,include,string-constraints
uvl,integrate,flamapy
uvl,author,josé a. galindo
attribute aggregate,simplify,attribute constraint
minor level,include,group-cardinality
uvl,support,construct numeric constraint
arithmetic level,include,ceil function
cross-tree constraints,precede,eof
predicate,specify dependency base,string value
uvl,enable,model decomposition
uvl,be,community-driven
cross-tree constraints,support,literal reference
standard arithmetic operation,include,*
arithmetic level,support,float literal expression
feature tree,follow,import section
predicate,use operator,==
uvl,govern,gnu less general public license version 3
boolean level minor level,allow,true literal
type level conversion,drop,string constraint
type level conversion,contain test model,string-attributes-external.uvl
boolean level minor level,support,implication operator
arithmetic core,support,>
uvl,support function,sum function
arithmetic level,target,type level conversion
uvl,support type,real
include keyword,enable,minor level selection wildcard
language extension,include,arithmetic level
cross-tree constraints,support,avg function
boolean level minor level,include,relationship
language level,extend,respective major level
uvl,be,extensible language
uvl,support,multiple programming language
uvl,integrate,nemo
uvl,parse,java
language level,include,respective major level
cross-tree constraints,support,floor function
type level conversion,support,flooroperation
uvl,section,namespace
optional group,be part of,convert boolean level
valid configuration,satisfy,cross-tree constraints section
uvl,support function,len
cross-tree constraints,use,implication operator
minor level,include,respective major level
cross-tree constraints,can be,reference
boolean level minor level,consist,boolean core level
uvl,include concept,alternative
submodel constraint,attach,arbitrary location feature tree
uvl,tool support,uvl playground
uvl,constraint operator,&
cross-tree constraints,be,key feature uvl
type level conversion,minor level extension,type numeric-constraints minor level
language extension,ensure,tool compatibility
logical constraint,define,dependencie feature
feature tree,define,nmchildren parent-children relationships
uvl,minor level extension,feature-cardinality
uvl,support,mandatory relationship
uvl,arithmetic operator,/
language extension,encapsulate,language construct
cross-tree constraints,consist,inclusion statement
numeric operation,include,floor
uvl,have,type major level
language extension,use,conversion strategy level
cross-tree constraints,support,sumaggregate
cross-tree constraints,consist,reference
arithmetic level,require process,sat encode
cross-tree constraints,include,equivalence constraint
boolean level minor level,use,sit solver backend
arithmetic level,enable,construct numeric constraint
uvl,base lexer grammar file,uvl/uvllexer.g4
boolean level minor level,include,notconstraint
type level conversion,provide,language construct
uvl,have,convert boolean level
uvl,keyword,include
language level,group construct,construct specific reasoning engine
uvl,use,tree-like structure
language extension,be,optional section
extension mechanism,add,sophisticated language property
uvl,keyword,constraints keyword
group cardinality,specifie,select nmchildren
cross-tree constraints,allow,string comparison
cross-tree constraints,type level include,string comparison
cross-tree constraints,support function,<=>
compose model constraint,reference feature,namespace
boolean level minor level,support function,&
arithmetic operator,include,>=
uvl,support,attribute
uvl,grammar include,namespace
feature tree,identify,feature keyword
arithmetic level,encode,smt instance
feature tree,be,optional section uvl model
uvl,be use for,tool integration
type level conversion,test model,string-attributes.uvl
uvl,use file extension,uvl
boolean level minor level,use,! operator
type level conversion,encapsulate,features non-boolean types
type level conversion,enable,optional feature
type level conversion,introduce,numeric feature
uvl,core include,relationship
predicate,use operator,>
boolean level minor level,consist,group keyword
uvl,be,textual language
language extension,provide,language-level modularity
type level conversion,contain,string-constraints
submodel constraint,apply,compose model
uvlparser,extend,core language uvl
type level conversion,allow feature,deselecte
arithmetic operator,include,==
cross-tree constraints,arithmetic level,support arithmetic operator
uvl,allow,attribute
boolean level minor level,represent,cnf instance
constraint expression,support,parenthesis operation
cross-tree constraints,major,reference uvl model
boolean level minor level,support,composition feature tree
arithmetic level,provide function,avg function
arithmetic core,support,-
boolean level minor level,support,optional group
boolean level minor level,group type include,or
language extension,reside,language level section
group type,include,feature cardinality
arithmetic level,use,great equal operator
term,include,reference variable
cross-tree constraints,include,exclude
uvl,design goal include,exchangeability
propositional logic operator,include,not
boolean level minor level,logical operator include,|
cross-tree constraints,include,ceil function
uvl,keyword,import
uvl,constraint operator,<=
uvl core language constraint,exclude,attribute constraint
type level conversion,encapsulate,construct specific reasoning engine
language level,use,include keyword
group cardinality,concern,nmchildren parent-children relationships
uvl,support,arbitrary propositional constraint feature
cross-tree constraints,support,greater_equal operator
uvl,aggregate function,floor
uvl,aggregate function,sum function
uvl,feature,attribute aggregate minor level
cross-tree constraints,include,constant
uvl,support,different feature type
feature tree,represent,hierarchical structure variability model
type level conversion,support,numeric feature
uvl,constraint operator,<=>
uvl,transform,ivml
type level conversion,represent,cp problem
boolean level minor level,support,propositional logic operator
language level,comprise,minor level type level
feature,can have,different feature type
uvl,tool support,visual studio code extension
uvl,aggregate function,len
arithmetic level,support,aggregate function
uvl,core include,mandatory
arithmetic level,be use by,tool cp solver
conversion strategy,translate,language extension
propositional logic operator,include,implication
type level conversion,allow,explicit boolean domain specification
cross-tree constraints,allow,float literal expression
cross-tree constraints,combine,predicate
language extension,include,aggregate-function minor level
type string-constraints,allow,string operation constraint
group cardinality,enable,select n m feature group
cross-tree constraints,use,propositional logic operator
boolean variable,refer,boolean-attribute key
attribute aggregate,include,sum function
type level conversion,test model,string-quotes.uvl
language extension,follow,hierarchical order
uvl,dataset repository,uvlhub
uvl,allow,tool-specific data storage attributes
uvl,consist,composition feature tree
feature tree,support,optional group
boolean level minor level,support,group
boolean level minor level,include,arithmetic level
aggregate function,can take,feature second parameter
boolean core,be,conversion target group cardinality
cross-tree constraints,include,aggregate function
arithmetic level,include,avg function
cross-tree constraints,include,lenfunction
arithmetic level,support,numeric constant
uvl,section,cross-tree constraints section
language level,encapsulate,language construct
feature tree,represent hierarchy,indentation block
cross-tree constraints,use,bracket
type level conversion,keyword,type
type string-constraints,include,string length operation
uvl,tool support,antlr notation
arithmetic level,allow,minor level selection wildcard
arithmetic operator,include,>
arithmetic level,include,floor function
uvl,have,arithmetic level
uvl,feature,cross-tree constraints section
uvl,contain,relationship
feature tree,decompose,subpart
arithmetic level,use,addition operator
language extension,enable,optional feature
type string-constraints,support,len function
uvl,purpose,unify language variability model
arithmetic level,include,type major level
uvl,support,aggregate function
feature tree,utilize,keyword specify relationship
boolean level minor level,be,simple base language
language extension,introduce,additional construct
boolean level minor level,encode,sit instance
cross-tree constraints,define,logical dependency feature
aggregate function,include,floor
feature cardinality,allow,select single feature n m time
arithmetic core,use,!=
type level conversion,support,string comparison
cross-tree constraints,support,attribute constraint
cross-tree constraints,arithmetic level,numeric constraints feature attribute
cross-tree constraints,be,component feature model
uvl,use,import
feature tree,represent hierarchy,nest
uvl,open-source support tools,
uvl,use,identifier protect quotation mark ambiguity
arithmetic level,support,division
