Subject,Predicate,Object
future language extension,support,uvlparser library
uvl,allow,language extension
uvl,parse,javascript
uvl,support,conversion strategy level
uvl,support,optional concept include keyword
uvl,support,alternative keyword
future language extension,store,layoute information
uvl,contain,alternative relationship
feature tree,require,root feature
uvl,support,arithmetic core
type level,support,string comparison
boolean level,support,feature cardinality
type level,allow,explicit domain set boolean feature
predicate,include,==
feature,can have,feature cardinality
uvl,model,software product line
type level,represent,smt problem
language level section,use,optional concept include keyword
uvl,defines group type,cardinality
cross-tree constraints,include,-order-logic future versions
future language extension,include,feature cardinality
numeric constraint,involve,numeric attribute
language level section,group construct,smt reasoning engine
uvl,operator,!
type level,support,string length operation
arithmetic level,directly represent,smt problem
uvl,store,cross-tree constraints
feature,can have,feature arbitrary number group
propositional logic operator,include,=>
type level,support,travart
arithmetic level,use,cross-tree constraints
group cardinality,specifie,parent-children relationships
group cardinality minor level,convert,boolean core enumerate constraint
arithmetic level,require,process sit encode
future language extension,organize,language level section
boolean level,provide,specific language construct
type level,introduce,numeric operation
attribute aggregate,allow,avgaggregate
term,include,binary expression
uvl,tool support,uvlparser library
extension mechanism,simplifie store,tool-specific data elements
boolean core,allow attribute,store feature information
community,favor,arbitrary propositional constraint feature
standard arithmetic operation,allow,term resolve boolean
standard arithmetic operation,support function,<=
boolean level,group type include,mandatory
uvl,allow,language construct default
uvl,support,integer feature
feature tree,decompose,subpart
aggregate function,include,avg
uvl,feature,namespace alias
cross-tree constraints,support function,<=>
uvl,constraint operator,<=
major language level,encapsulate,relate language feature
predicate,operator,>=
cross-tree constraints,support,negation
boolean level,be,majorlevel
string constraint,be,optional extension arithmetic level
feature tree,support,optional parent-child relationship
cross-tree constraints,predicate use operator,==
cross-tree constraints,support,operator >
boolean level,use,fm fact label
future language extension,ensure,tool compatibility
arithmetic level core,conversion strategy result,boolean core enumerate constraint
arithmetic level core,use,>
uvl,include concept,mandatory
uvl,include,-order-logic formulas constraints
feature tree,utilize,keyword specify relationship
uvl,serve,pivot language travart
uvl,use,import
cross-tree constraints,restrict,number valid configuration
uvl,enable,optional concept include keyword
uvl,cardinality notation,b
uvl,grammar include,import
future language extension,group,smt reasoning engine
uvl,use,line break end statement
boolean level,encode,sit instance
uvl,use,complete keyword
future language extension,preferred,community
cross-tree constraints,drop,string operation constraint
feature tree,contain,abstract feature
uvl,implement,designate mechanism extension
feature tree,represent,feature diagram
uvl,transform,ivml
uvl,structure,arithmetic level
