Subject,Predicate,Object
uvl language,isa,textual language
uvl language,isa,pivot language
uvl language,typeof,human readable language
uvl language,launchedin,2018
uvl language,isa,community drive initiative
uvl language,authoredby,david benavides
uvl language,authoredby,chico sundermann
uvl language,authoredby,kevin feichtinger
uvl language,authoredby,josé a. galindo
uvl language,authoredby,rick rabiser
uvl language,authoredby,thomas thüm
uvl language,maintainedby,consortium institution
uvl language,supportedby,universidad de sevilla
uvl language,supportedby,university ulm
uvl language,supportedby,karlsruhe institute technology
uvl language,supportedby,johannes kepler university linz
uvl language,supportedby,tu braunschweig
uvl language,define,boolean level
uvl language,define,arithmetic level
uvl language,define,type level
boolean level,isa,core language uvl
boolean level,partof,uvl language
arithmetic level,partof,uvl language
type level,partof,uvl language
boolean.group cardinality,isa,minor language level
arithmetic.feature cardinality,isa,minor language level
arithmetic.aggregate function,isa,minor language level
type.string constraint,isa,minor language level
import,partof,uvl model structure
language level,partof,uvl model structure
feature tree,partof,uvl model structure
cross tree constraint,partof,uvl model structure
feature,isa,uvl keyword
constraint,isa,uvl keyword
import,isa,uvl keyword
include,isa,uvl keyword
mandatory,isa,uvl keyword
optional,isa,uvl keyword
alternative,isa,uvl keyword
or,isa,uvl keyword
cardinality,isa,uvl keyword
as,isa,uvl keyword
uvl language,define,import mechanism
uvl language,define,extension mechanism
uvl language,define,conversion strategy
uvl language,allow,knowledge sharing
uvl language,allow,educational instruction
uvl language,allow,tool integration
uvl language,allow,model decomposition
uvl language,allow,representation software variability
uvl language,integratedin,featureide
uvl language,integratedin,flamapy
uvl language,integratedin,pure::variant
uvl language,integratedin,travart
uvl language,integratedin,uvls
uvl language,integratedin,variability.dev
uvl language,integratedin,ddueruem
uvl language,integratedin,fm fact label
uvl language,integratedin,v4rdiac
uvl language,integratedin,uvlhub
uvl parser,implementedin,python
uvl parser,implementedin,java
uvl parser,basedon,antlr
language level,partof,uvl
language level,arecategorizeda,major level
language level,arecategorizeda,minor level
major level,have,hierarchical order
boolean level,isa,core language
boolean level,isa,major level
boolean level,include,optional group type
boolean level,include,mandatory group type
boolean level,include,alternative group type
boolean level,include,group type
boolean level,limitedto,propositional logic
boolean level,encodeda,sit problem
arithmetic level,isa,major level
arithmetic level,include,boolean level
arithmetic level,define,numeric constraint
arithmetic level,define,feature attribute
arithmetic level,representeda,smt problem
arithmetic level,representeda,cp problem
type level,isa,major level
type level,include,arithmetic level
type level,include,boolean level
type level,define,integer feature
type level,define,float feature
type level,define,string feature
minor language level,be,optional extension
minor language level,extend,major level
minor language level,arenot,automatically include high level
boolean.group cardinality,isa,minor level
arithmetic.feature cardinality,isa,minor level
arithmetic.aggregate function,isa,minor level
type.string constraint,isa,minor level
language level,specifiedwith,include keyword
language level,provide,conversion strategy
uvl parser,implement,conversion strategy
conversion strategy,enable,exchange tool
feature tree,partof,uvl model
feature tree,isa,feature diagram
feature tree,isa,hierarchically arrange set feature
feature,partof,feature tree
group,partof,feature tree
root feature,partof,feature tree
feature tree,require,exactly root feature
feature tree,define,tree hierarchy
feature tree,define,parent child relationship
indentation,define,tree hierarchy
keyword,specify,parent child relationship
feature,define,unique
feature,define,feature cardinality
feature,define,attribute
optional,isa,feature group type
mandatory,isa,feature group type
alternative,isa,feature group type
or,isa,feature group type
group cardinality,isa,feature group type
cross tree constraint,partof,uvl model
cross tree constraint,defineduse,constraints keyword
cross tree constraint,define,inclusion statement
cross tree constraint,define,exclusion statement
cross tree constraint,define,propositional formulae
cross tree constraint,include,propositional logic operator
!,isa,propositional logic operator
&,isa,propositional logic operator
|,isa,propositional logic operator
= >,isa,propositional logic operator
< = >,isa,propositional logic operator
cross tree constraint,consistof,boolean variable
cross tree constraint,consistof,boolean constant
cross tree constraint,consistof,predicate
boolean variable,referto,feature
boolean variable,referto,boolean attribute key
predicate,include,comparison operator
= =,isa,comparison operator
>,isa,comparison operator
<,isa,comparison operator
=,isa,comparison operator
> =,isa,comparison operator
< =,isa,comparison operator
predicate,connect,term
term,include,variable
term,include,constant
term,include,function
term,include,binary expression
sum,isa,numeric function
average,isa,numeric function
length,isa,string function
binary expression,use,arithmetic operator
+,isa,arithmetic operator
-,isa,arithmetic operator
*,isa,arithmetic operator
/,isa,arithmetic operator
boolean level,limit,cross tree constraint propositional logic
arithmetic level,enable,numeric constraint
type level,enable,string constraint
cross tree constraint,reference,feature import submodel
cross tree constraint,use,namespace import feature
cross tree constraint,mustbesatisfiedby,valid configuration
boolean level,isa,major language level
boolean level,isa,core language uvl
boolean level,partof,uvl language
boolean level,encodeda,sit problem
boolean level,limit,cross tree constraint propositional
boolean level,include,optional group type
boolean level,include,mandatory group type
boolean level,include,alternative group type
boolean level,include,group type
boolean level,define,boolean variable
boolean level,define,boolean constant
boolean level,define,propositional logic operator
boolean level,define,operator
boolean level,define,operator
boolean level,define,| operator
boolean level,define,= > operator
boolean level,define,< = > operator
boolean level,define,bracket
boolean.group cardinality,isa,minor language level
boolean.group cardinality,extend,boolean level
boolean level,supportedby,featureide
boolean level,supportedby,flamapy
boolean level,supportedby,nemo
boolean level,supportedby,variability.dev
boolean level,supportedby,ddueruem
boolean level,supportedby,fm fact label
boolean level,supportedby,pure::variant
arithmetic level,isa,major language level
arithmetic level,partof,uvl language
arithmetic level,include,boolean level
arithmetic level,extend,boolean level
arithmetic level,define,numeric constraint
arithmetic level,define,feature attribute
arithmetic level,representeda,smt problem
arithmetic level,representeda,cp problem
arithmetic level,define,+ operator
arithmetic level,define,operator
arithmetic level,define,operator
arithmetic level,define,operator
arithmetic level,define,= = operator
arithmetic level,define,< operator
arithmetic level,define,> operator
arithmetic level,define,< = operator
arithmetic level,define,> = operator
arithmetic level,convertedto,boolean level
arithmetic level,lowerthan,type level
arithmetic.feature cardinality,isa,minor language level
arithmetic.feature cardinality,extend,arithmetic level
arithmetic.feature cardinality,enable,feature cloning
arithmetic.aggregate function,isa,minor language level
arithmetic.aggregate function,extend,arithmetic level
arithmetic.aggregate function,define,sum function
arithmetic.aggregate function,define,avg function
arithmetic level,require,process sit encode
arithmetic level,enable,reasoning numeric value
type level,isa,major language level
type level,partof,uvl language
type level,include,arithmetic level
type level,include,boolean level
type level,define,integer feature
type level,define,float feature
type level,define,string feature
type level,define,type feature
type level,enable,string constraint
type.string constraint,isa,minor language level
type.string constraint,partof,type level
type.string constraint,define,len function
type.string constraint,define,string equality check
type level,convertedto,arithmetic level
type level,supportedby,travart
type level,supportedby,uvls
type level,supportedby,v4rdiac
type level,require,specific reasoning engine
type level,highestin,level hierarchy
type.string constraint,droppedduring,level conversion
